Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6QiC4SbbznTswMh3VpzNTR,"Stop Your Tears","Aldous Harding","Aldous Harding",2015-12-18,338666,0,false,sartoip888,2020-04-08T19:03:01Z,"ambient folk","Aldous Harding",0.45,0.122,10,-13.425,0,0.0335,0.857,0.00000923,0.108,0.205,126.472,4
spotify:track:365h9AQorWpNnXrRehcYAG,"No Peace at All","Aldous Harding","Aldous Harding",2015-12-18,337733,0,false,sartoip888,2020-04-08T19:20:43Z,"ambient folk","Aldous Harding",0.376,0.125,4,-11.064,0,0.0384,0.931,0.000335,0.107,0.0814,113.575,4
spotify:track:3dl7RKwoZw6mJMipIaXpJc,"Small Bones of Courage","Aldous Harding","Aldous Harding",2015-12-18,375920,0,false,sartoip888,2020-04-08T19:21:18Z,"ambient folk","Aldous Harding",0.411,0.127,9,-13.149,1,0.0318,0.926,0.0000791,0.111,0.154,149.933,4
spotify:track:3Gl3sE6ZhmXOkJhrumZTVS,"Blend","Party","Aldous Harding",2017-05-19,149133,0,false,sartoip888,2020-04-08T19:23:22Z,"ambient folk","4AD",0.878,0.308,1,-15.335,0,0.0798,0.736,0.241,0.092,0.218,126.107,4
spotify:track:3GPn9iom10tAEmg4pZPKNc,"Treasure","Designer","Aldous Harding",2019-04-26,251520,0,false,sartoip888,2020-04-08T20:46:39Z,"ambient folk","4AD",0.607,0.154,9,-12.44,0,0.0468,0.949,0.000823,0.0901,0.35,135.543,4
spotify:track:7sqxbAwB1tl6MfQXHhA2R5,"Horizon","Horizon","Aldous Harding",2017-02-09,249146,0,false,sartoip888,2020-04-08T19:09:24Z,"ambient folk","4AD",0.427,0.11,8,-10.486,1,0.0392,0.883,0,0.113,0.229,58.555,4
spotify:track:04XeEuHyG4Z3NKY1zgAYEO,"The Barrel","Designer","Aldous Harding",2019-04-26,299440,0,false,sartoip888,2020-04-09T09:43:40Z,"ambient folk","4AD",0.732,0.408,11,-8.475,1,0.036,0.747,0.000229,0.069,0.663,87.016,4
spotify:track:0BCfeeumZD4ihu8sAGAHAD,"What If Birds Aren't Singing They're Screaming","Party","Aldous Harding",2017-05-19,184400,0,false,sartoip888,2020-04-09T10:45:07Z,"ambient folk","4AD",0.553,0.119,0,-17.251,1,0.032,0.985,0.0197,0.106,0.243,106.883,3
spotify:track:1IkxGMZrlQi73vDBHAOk46,"Swell Does the Skull","Party","Aldous Harding",2017-05-19,348893,0,false,sartoip888,2020-04-09T10:55:42Z,"ambient folk","4AD",0.365,0.0332,8,-15.794,1,0.0431,0.953,0.000181,0.111,0.159,96.591,4
spotify:track:70P6IW1hUe07KPYJh9Kgg0,"Hunter","Aldous Harding","Aldous Harding",2015-12-18,269920,0,false,sartoip888,2020-04-09T10:59:40Z,"ambient folk","Aldous Harding",0.259,0.451,6,-7.924,0,0.0282,0.681,0.00318,0.183,0.308,79.022,4
spotify:track:71mb6QpSNwBjc1fGfeO8Mg,"Beast","Aldous Harding","Aldous Harding",2015-12-18,160333,0,false,sartoip888,2020-04-09T11:21:30Z,"ambient folk","Aldous Harding",0.51,0.374,11,-11.876,0,0.0298,0.789,0.00285,0.102,0.425,98.61,1
spotify:track:6GkT9QiFbi7BZzKK7sP2JD,"Titus Alone","Aldous Harding","Aldous Harding",2015-12-18,317013,0,false,sartoip888,2020-04-08T19:21:46Z,"ambient folk","Aldous Harding",0.432,0.282,7,-12.394,0,0.0301,0.885,0.000243,0.0782,0.405,75.921,4
spotify:track:6EdszPYwMaSHhnJlOARNfB,"Titus Groan","Aldous Harding","Aldous Harding",2015-12-18,306093,0,false,sartoip888,2020-04-08T19:19:02Z,"ambient folk","Aldous Harding",0.366,0.466,7,-7.559,0,0.0292,0.602,0.0002,0.477,0.275,80.82,4
