Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4pWtZW1qpTvdALV8Pwl9Dr,"Birds With Broken Wings","Birds With Broken Wings","Ben Caplan",2015-09-18,220492,43,false,sartoip888,2023-11-17T14:55:43Z,"gotyk południowy","Coalition Music (Records)",0.657,0.815,1,-8.23,0,0.081,0.471,0.0000993,0.533,0.66,124.956,4
spotify:track:41yeHyojdgpAUXeRVW5B24,"Drift Apart","In the Time of the Great Remembering","Ben Caplan",2011-10-20,327706,22,false,sartoip888,2024-01-06T12:34:27Z,"gotyk południowy","Ben Caplan Music",0.51,0.283,6,-9.86,0,0.029,0.363,0.0000173,0.117,0.147,128.034,4
spotify:track:10DgiGNUmLNPJ1VfnHAico,"Truth Doesn't Live in a Book","Old Stock","Ben Caplan",2018-06-15,293205,31,false,sartoip888,2023-11-17T14:56:08Z,"gotyk południowy","Under Control Entertainment, ltd.",0.455,0.586,7,-7.767,1,0.053,0.714,0,0.214,0.839,147.775,4
spotify:track:6C5Vd7aQgpbTIVh3JGBJCg,"I Got Me A Woman","Birds With Broken Wings","Ben Caplan",2015-09-18,186186,32,false,sartoip888,2023-11-17T15:10:05Z,"gotyk południowy","Coalition Music (Records)",0.334,0.621,0,-7.109,1,0.0681,0.451,0,0.0537,0.609,182.021,3
spotify:track:25C28On1ijnRE7LbQAtKJ3,"Down to the River","In the Time of the Great Remembering","Ben Caplan",2011-10-20,297021,41,false,sartoip888,2023-11-17T14:55:36Z,"gotyk południowy","Ben Caplan Music",0.3,0.384,0,-8.36,0,0.0378,0.283,0,0.077,0.267,70.673,4
spotify:track:1F4whv5cBxGDaUkgW3ybt5,"What Love Can Heartbreak Allow?","Old Stock","Ben Caplan",2018-06-15,186792,38,false,sartoip888,2023-11-17T14:55:49Z,"gotyk południowy","Under Control Entertainment, ltd.",0.494,0.35,2,-10.068,0,0.029,0.709,0.000222,0.111,0.125,91.874,4
spotify:track:4YzXj0tUpPb2h1mxxV9mO6,"Plough the Shit","Old Stock","Ben Caplan",2018-06-15,302143,35,true,sartoip888,2023-11-17T14:56:01Z,"gotyk południowy","Under Control Entertainment, ltd.",0.233,0.852,3,-5.801,0,0.0595,0.338,0.00000606,0.129,0.277,97.136,4
spotify:track:1Qr9vP50tWE2uYJ1QyZZkr,"40 Days & 40 Nights","Birds With Broken Wings","Ben Caplan",2015-09-18,327880,25,false,sartoip888,2023-11-17T20:24:53Z,"gotyk południowy","Coalition Music (Records)",0.542,0.525,9,-5.814,0,0.0244,0.518,0,0.116,0.664,81.947,3
spotify:track:7A4JEGcEje6MY9oDTjUwGs,"Seed of Love","In the Time of the Great Remembering","Ben Caplan",2011-10-20,280550,25,false,sartoip888,2023-11-17T15:18:08Z,"gotyk południowy","Ben Caplan Music",0.575,0.371,2,-9.169,1,0.0348,0.099,0,0.13,0.229,78.474,4
spotify:track:6Wyk2VDFpb4qTdz5fQGBH8,"Beautiful","In the Time of the Great Remembering","Ben Caplan",2011-10-20,165893,27,false,sartoip888,2023-11-17T15:12:23Z,"gotyk południowy","Ben Caplan Music",0.6,0.585,7,-7.897,0,0.0539,0.377,0.0000482,0.0515,0.782,159.969,4
