Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4H59uJthrVvZKXxqH8mBZr,"Hunger","Black Hawk Down (Original Motion Picture Soundtrack)","Hans Zimmer",2001-01-29,395720,0,false,sartoip888,2019-12-27T16:05:00Z,"ścieżka dźwiękowa","Decca",0.311,0.329,2,-15.955,1,0.0493,0.146,0.886,0.111,0.0352,111.916,4
spotify:track:1ILmEQy0MgQttMSmA3tmz9,"Barra Barra","Black Hawk Down (Original Motion Picture Soundtrack)","Rachid Taha",2001-01-29,347800,0,false,sartoip888,2019-12-27T16:05:00Z,"raï,gnawa","Decca",0.638,0.765,7,-7.65,1,0.0442,0.0803,0.0495,0.109,0.531,100,4
spotify:track:6592wOkz6GTFoOUI0JkNTJ,"Vale Of Plenty","Black Hawk Down (Original Motion Picture Soundtrack)","Hans Zimmer",2001-01-29,147880,0,false,sartoip888,2019-12-27T16:05:00Z,"ścieżka dźwiękowa","Decca",0.153,0.138,7,-15.034,1,0.0379,0.951,0.906,0.123,0.0623,73.778,3
spotify:track:1dhR6glOImdxhzhnSFTN0v,"Chant","Black Hawk Down (Original Motion Picture Soundtrack)","Hans Zimmer",2001-01-29,153933,0,false,sartoip888,2019-12-27T16:05:00Z,"ścieżka dźwiękowa","Decca",0.489,0.6,0,-12.345,0,0.0375,0.0901,0.894,0.109,0.094,99.981,4
spotify:track:2BdX0ao0SqEDFcT01xlLpi,"Still","Black Hawk Down (Original Motion Picture Soundtrack)","Hans Zimmer",2001-01-29,288186,0,false,sartoip888,2019-12-27T16:05:00Z,"ścieżka dźwiękowa","Decca",0.219,0.251,7,-16.192,0,0.0362,0.839,0.00365,0.145,0.104,83.941,4
spotify:track:12e0xzxNcUT4C4dvwsfqC8,"Mogadishu Blues","Black Hawk Down (Original Motion Picture Soundtrack)","Hans Zimmer",2001-01-29,173520,0,false,sartoip888,2019-12-27T16:05:00Z,"ścieżka dźwiękowa","Decca",0.489,0.105,7,-20.021,1,0.0441,0.696,0.735,0.0724,0.0805,99.396,4
spotify:track:2qFouSX7CEuZo4kbtCPOwS,"Synchrotone","Black Hawk Down (Original Motion Picture Soundtrack)","Hans Zimmer",2001-01-29,535146,0,false,sartoip888,2019-12-27T16:05:00Z,"ścieżka dźwiękowa","Decca",0.34,0.493,2,-17.194,1,0.0409,0.241,0.816,0.114,0.0397,144.075,4
spotify:track:7CTwioB8SKpKBdFFNgdb40,"Bakara","Black Hawk Down (Original Motion Picture Soundtrack)","Hans Zimmer",2001-01-29,192440,0,false,sartoip888,2019-12-27T16:05:00Z,"ścieżka dźwiękowa","Decca",0.835,0.711,1,-10.3,1,0.0505,0.00208,0.929,0.109,0.503,99.98,4
spotify:track:0Mzno0dC7GEL43bGorGxJb,"Of The Earth","Black Hawk Down (Original Motion Picture Soundtrack)","Hans Zimmer",2001-01-29,139146,0,false,sartoip888,2019-12-27T16:05:00Z,"ścieżka dźwiękowa","Decca",0.414,0.0476,7,-26.544,0,0.0377,0.877,0.739,0.08,0.102,119.006,4
spotify:track:5tlQBjJiGj5wFJnH5CO6wE,"Ashes To Ashes","Black Hawk Down (Original Motion Picture Soundtrack)","Hans Zimmer",2001-01-29,283283,0,false,sartoip888,2019-12-27T16:05:00Z,"ścieżka dźwiękowa","Decca",0.335,0.395,2,-15.396,1,0.042,0.15,0.838,0.112,0.0287,99.939,3
spotify:track:1H3gOebPjpmH2NVs4ssC2L,"Gortoz A Ran","Black Hawk Down (Original Motion Picture Soundtrack)","Denez Prigent",2001-01-29,351640,0,false,sartoip888,2019-12-27T16:05:00Z,"muzyka celtycka","Decca",0.232,0.134,10,-14.354,0,0.0403,0.928,0.00468,0.132,0.037,125.593,3
spotify:track:1f2elZgUitqMmutiJ5ZTU4,"Tribal War","Black Hawk Down (Original Motion Picture Soundtrack)","Hans Zimmer",2001-01-29,159426,0,false,sartoip888,2019-12-27T16:05:00Z,"ścieżka dźwiękowa","Decca",0.698,0.403,0,-17.139,0,0.0863,0.133,0.856,0.358,0.189,134.029,4
spotify:track:3JCkRz2PAUq7vG9C9bwdHj,"Leave No Man Behind","Black Hawk Down (Original Motion Picture Soundtrack)","Hans Zimmer",2001-01-29,378760,0,false,sartoip888,2019-12-27T16:05:00Z,"ścieżka dźwiękowa","Decca",0.286,0.185,9,-15.67,0,0.0319,0.78,0.952,0.0878,0.0541,84.032,3
spotify:track:5YWelfDTqgoodpDsTaLk3v,"Minstrel Boy","Black Hawk Down (Original Motion Picture Soundtrack)","Joe Strummer;Scott Shields;Martin Slattery;Richard Flack;Paul Thomas Cook;Tymon Murray;Joe Strummer & The Mescaleros",2001-01-29,342586,0,false,sartoip888,2019-12-27T16:05:00Z,"","Decca",0.375,0.502,7,-13.471,1,0.0334,0.00447,0.226,0.0542,0.396,174.067,3
spotify:track:6IAuDcIlq12lYqqErgejka,"Still Reprise","Black Hawk Down (Original Motion Picture Soundtrack)","Hans Zimmer",2001-01-29,132373,0,false,sartoip888,2019-12-27T16:05:00Z,"ścieżka dźwiękowa","Decca",0.193,0.0746,7,-23.075,0,0.0353,0.915,0.63,0.18,0.0771,78.583,5
