Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6wjIpYRswycl3wfz3IhEfi,"Tao Nr. 43","Colour Haze","Colour Haze;Stefan Koglek",2005,326693,17,false,sartoip888,2018-12-07T11:10:59Z,"stoner rock,space rock,stoner metal,rock psychodeliczny,sludge metal,krautrock,acid rock,doom metal,neo-psychodelia","electrohasch",0.427,0.292,5,-11.569,1,0.0339,0.52,0.74,0.112,0.193,124.283,4
spotify:track:75z4LIFEorndhHSb95Fams,"Arbores","In Her Garden","Colour Haze",2017-03-24,241960,10,false,sartoip888,2018-12-07T11:10:59Z,"stoner rock,space rock,stoner metal,rock psychodeliczny,sludge metal,krautrock,acid rock,doom metal,neo-psychodelia","electrohasch",0.164,0.723,0,-9.118,1,0.058,0.212,0.909,0.11,0.535,107.281,4
spotify:track:6PwTuLonTkmxGAnx47zn06,"Into Her Garden","In Her Garden","Colour Haze",2017-03-24,67466,12,false,sartoip888,2018-12-07T11:10:59Z,"stoner rock,space rock,stoner metal,rock psychodeliczny,sludge metal,krautrock,acid rock,doom metal,neo-psychodelia","electrohasch",0.372,0.253,5,-11.746,1,0.0375,0.944,0.117,0.178,0.118,124.807,3
spotify:track:0Xg2lEdjNzSrZeGNcUFJgK,"Fire","Tempel","Colour Haze",2006,348666,22,false,sartoip888,2018-12-07T11:10:59Z,"stoner rock,space rock,stoner metal,rock psychodeliczny,sludge metal,krautrock,acid rock,doom metal,neo-psychodelia","electrohasch",0.461,0.152,5,-12.793,1,0.0429,0.856,0.446,0.234,0.184,112.255,4
spotify:track:5aFLTUCBI1iXt4Bd7avIzY,"Magnolia","In Her Garden","Colour Haze",2017-03-24,359226,19,false,sartoip888,2018-12-07T11:10:59Z,"stoner rock,space rock,stoner metal,rock psychodeliczny,sludge metal,krautrock,acid rock,doom metal,neo-psychodelia","electrohasch",0.38,0.633,5,-11.26,1,0.0306,0.559,0.931,0.111,0.389,106.746,4
spotify:track:35HTeZ3Eum8E1GHERCR0jl,"Mountain","Colour Haze","Colour Haze",2005,397813,28,false,sartoip888,2018-12-07T11:10:59Z,"stoner rock,space rock,stoner metal,rock psychodeliczny,sludge metal,krautrock,acid rock,doom metal,neo-psychodelia","electrohasch",0.324,0.592,5,-10.29,1,0.042,0.72,0.878,0.109,0.504,176.055,4
spotify:track:0JHW6P8sKS9GdN11fuGN1G,"Black Lilly","In Her Garden","Colour Haze",2017-03-24,408373,27,false,sartoip888,2018-12-07T11:10:59Z,"stoner rock,space rock,stoner metal,rock psychodeliczny,sludge metal,krautrock,acid rock,doom metal,neo-psychodelia","electrohasch",0.277,0.621,5,-10.074,1,0.0315,0.482,0.922,0.0826,0.377,74.941,4
spotify:track:2i5bgAGbbMxaJgGcpKuTes,"Tempel","Tempel","Colour Haze",2006,511466,30,false,sartoip888,2018-12-07T11:10:59Z,"stoner rock,space rock,stoner metal,rock psychodeliczny,sludge metal,krautrock,acid rock,doom metal,neo-psychodelia","electrohasch",0.404,0.605,5,-11.043,1,0.0345,0.677,0.792,0.112,0.345,102.376,4
spotify:track:6s5BwPPzz4bdY5aUHWzqAE,"Aquamaria","Tempel","Colour Haze",2006,526293,37,false,sartoip888,2018-12-07T11:10:59Z,"stoner rock,space rock,stoner metal,rock psychodeliczny,sludge metal,krautrock,acid rock,doom metal,neo-psychodelia","electrohasch",0.341,0.527,5,-11.066,1,0.0301,0.746,0.889,0.0988,0.505,98.193,4
spotify:track:2hRJ0RcQAwxvrApfvFODaB,"Love","Colour Haze","Colour Haze;Stefan Koglek",2005,560066,32,false,sartoip888,2018-12-07T11:10:59Z,"stoner rock,space rock,stoner metal,rock psychodeliczny,sludge metal,krautrock,acid rock,doom metal,neo-psychodelia","electrohasch",0.365,0.378,0,-10.621,0,0.0372,0.398,0.85,0.112,0.413,114.511,4
spotify:track:4xUlOxwGkdhsQuirAp5RfV,"Moonshadow","Teaser And The Firecat","Yusuf / Cat Stevens",1971-01-01,172533,0,false,sartoip888,2019-11-27T15:30:36Z,"folk rock,folk,wokaliści i autorzy piosenek","Universal-Island Records Ltd.",0.641,0.297,2,-11.316,1,0.0319,0.712,0.0000778,0.122,0.511,130.658,4
