Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:79wFxHIwLa9mzaheh7hpHE,"Black Acid","Death Hawks","Death Hawks",2013-09-13,546640,28,false,sartoip888,2017-07-25T12:53:46Z,"neo-psychodelia,space rock,rock psychodeliczny,stoner rock","GAEA",0.535,0.561,4,-12.346,0,0.0372,0.309,0.846,0.104,0.137,118.912,4
spotify:track:5dcXSzDk6DHtYgO1tnNi9R,"Behind Thyme","Sun Future Moon","Death Hawks",2015-11-13,280400,0,false,sartoip888,2017-07-25T12:53:46Z,"neo-psychodelia,space rock,rock psychodeliczny,stoner rock","Svart Records",0.431,0.471,9,-11.529,0,0.0265,0.471,0.168,0.117,0.528,141.548,4
spotify:track:0XdjinJgw4lLi5s5kKue9k,"Blind Daughter of Death","Death Hawks","Death Hawks",2013-09-13,291520,7,false,sartoip888,2017-07-25T12:53:46Z,"neo-psychodelia,space rock,rock psychodeliczny,stoner rock","GAEA",0.407,0.336,6,-12.579,1,0.0267,0.775,0.753,0.0998,0.191,108.592,4
spotify:track:2n8UzfDHcwFqRzSlooMxH1,"Hey Ya Sun Ra","Sun Future Moon","Death Hawks",2015-11-13,323826,0,false,sartoip888,2017-07-25T12:53:46Z,"neo-psychodelia,space rock,rock psychodeliczny,stoner rock","Svart Records",0.467,0.591,6,-13.197,0,0.0303,0.155,0.745,0.309,0.371,146.93,4
spotify:track:0rDmqxJMLjI8hko8cfJ6iW,"Ripe Fruits","Sun Future Moon","Death Hawks",2015-11-13,300000,0,false,sartoip888,2017-07-25T12:53:46Z,"neo-psychodelia,space rock,rock psychodeliczny,stoner rock","Svart Records",0.472,0.701,7,-9.837,0,0.0305,0.0385,0.305,0.0878,0.417,89.707,4
spotify:track:4ShUy3toqPKkrGicEILlDS,"Dream Machine","Sun Future Moon","Death Hawks",2015-11-13,294920,0,false,sartoip888,2017-07-25T12:53:46Z,"neo-psychodelia,space rock,rock psychodeliczny,stoner rock","Svart Records",0.337,0.59,8,-10.333,0,0.0322,0.156,0.199,0.101,0.227,81.469,4
spotify:track:0KtV7dTrrS9uC6sHDLAe0N,"Cain Go Home (2. Session)","Death Hawks","Death Hawks",2013-09-13,216069,11,false,sartoip888,2017-07-25T12:53:46Z,"neo-psychodelia,space rock,rock psychodeliczny,stoner rock","GAEA",0.493,0.34,8,-10.535,0,0.0274,0.643,0.841,0.189,0.139,61.017,3
spotify:track:3cY9qIxTyjH82VwV4j4IiM,"Seaweed","Sun Future Moon","Death Hawks",2015-11-13,299226,0,false,sartoip888,2017-07-25T12:53:46Z,"neo-psychodelia,space rock,rock psychodeliczny,stoner rock","Svart Records",0.264,0.333,5,-12.453,1,0.0299,0.515,0.944,0.352,0.0927,144.022,4
spotify:track:5sxora1eCxV5HeIWPhT2kJ,"Night Children","Death Hawks","Death Hawks",2013-09-13,373293,8,false,sartoip888,2017-07-25T12:53:46Z,"neo-psychodelia,space rock,rock psychodeliczny,stoner rock","GAEA",0.185,0.563,6,-14.488,1,0.0448,0.313,0.891,0.0907,0.312,91.81,4
spotify:track:2KxcRZ2Xmn8uQ19FjfV402,"Dream Life, Waking Life","Sun Future Moon","Death Hawks",2015-11-13,224760,0,false,sartoip888,2017-07-25T12:53:46Z,"neo-psychodelia,space rock,rock psychodeliczny,stoner rock","Svart Records",0.564,0.516,0,-14.261,1,0.0344,0.271,0.906,0.0945,0.391,80.998,4
