Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0vlCOzte4bru0gK74lfUIJ,"Once Upon A Time In The West","Communiqué","Dire Straits",1979-06-15,324200,69,false,sartoip888,2025-09-05T09:58:54Z,"rock klasyczny","EMI",0.679,0.655,9,-11.859,0,0.0456,0.22,0.0198,0.109,0.898,146.556,4
spotify:track:37Tmv4NnfQeb0ZgUC4fOJj,"Sultans Of Swing","Dire Straits","Dire Straits",1978-10-07,348400,83,false,sartoip888,2023-06-25T10:20:12Z,"rock klasyczny","EMI",0.733,0.794,5,-10.023,1,0.0307,0.0614,0.0367,0.33,0.931,148.174,4
spotify:track:4nFNJmjfgBF7jwv2oBC45b,"Money For Nothing - Remastered 1996","Brothers In Arms (Remastered 1996)","Dire Straits",1985-05-13,505333,76,true,sartoip888,2023-06-25T10:20:41Z,"rock klasyczny","UMC (Universal Music Catalogue)",0.674,0.649,2,-9.321,0,0.0356,0.0456,0.000766,0.0644,0.645,134.212,4
spotify:track:0PNt5WTw092eED0ru9SuIp,"Romeo And Juliet","Making Movies","Dire Straits",1980-10-17,360666,71,false,sartoip888,2023-06-25T10:20:54Z,"rock klasyczny","EMI",0.613,0.441,5,-11.999,1,0.0309,0.546,0.0132,0.0869,0.525,87.573,4
spotify:track:3elV4E1GOKfF0MVRgdp6eU,"Brothers In Arms - Remastered 1996","Brothers In Arms (Remastered 1996)","Dire Straits",1985-05-13,420240,73,false,sartoip888,2023-06-25T10:21:05Z,"rock klasyczny","UMC (Universal Music Catalogue)",0.398,0.301,8,-13.88,0,0.0282,0.532,0.838,0.0685,0.138,79.109,4
spotify:track:2gxnxbz9a1aUBSQjaikKxu,"Ride Across The River - Remastered 1996","Brothers In Arms (Remastered 1996)","Dire Straits",1985-05-13,418133,52,false,sartoip888,2023-06-25T10:23:30Z,"rock klasyczny","UMC (Universal Music Catalogue)",0.543,0.305,4,-14.15,0,0.0397,0.847,0.184,0.0673,0.639,146.451,4
spotify:track:4ZSDreApKOo6eQYFx9qXfD,"Tunnel Of Love","Making Movies","Dire Straits",1980-10-17,489506,65,false,sartoip888,2023-06-25T10:25:42Z,"rock klasyczny","EMI",0.488,0.792,5,-7.882,1,0.0373,0.242,0.0147,0.217,0.617,137.541,4
spotify:track:5hbxfDA0SZbyIilb9NUjqx,"Why Worry?","Brothers In Arms - 20th Anniversary Edition","Dire Straits",1985-05-13,503173,8,false,sartoip888,2023-06-25T10:30:03Z,"rock klasyczny","Mercury Records Limited",0.608,0.213,4,-16.502,1,0.0291,0.925,0.243,0.113,0.111,93.689,4
spotify:track:0Bg100ruK1ZD7H96rNo6fR,"Telegraph Road","Love Over Gold","Dire Straits",1982-09-20,858133,58,false,sartoip888,2023-06-25T10:30:22Z,"rock klasyczny","EMI",0.381,0.59,2,-10.108,0,0.0321,0.0152,0.464,0.169,0.282,123.272,4
spotify:track:0P5QEcwZfgLBjpATCGsUGH,"Expresso Love","Making Movies","Dire Straits",1980-10-17,311426,53,false,sartoip888,2023-06-25T10:40:39Z,"rock klasyczny","EMI",0.599,0.868,2,-8.587,0,0.0303,0.467,0.031,0.0684,0.858,140.149,4
spotify:track:0K8tOSa1LE1Ue784z6qwWZ,"Love Over Gold","Love Over Gold","Dire Straits",1982-09-20,375506,53,false,sartoip888,2023-06-25T10:46:45Z,"rock klasyczny","EMI",0.591,0.345,5,-14.058,1,0.0309,0.337,0.0612,0.0862,0.0845,96.474,4
spotify:track:5KVak7r5YKcnkmARc0hy0Q,"Private Investigations","Love Over Gold","Dire Straits",1982-09-20,405893,58,false,sartoip888,2023-06-25T10:47:47Z,"rock klasyczny","EMI",0.356,0.0967,9,-20.084,1,0.0315,0.696,0.691,0.0801,0.067,84.486,4
spotify:track:2miIOgni3EEut8pvYcxeYn,"Six Blade Knife","Dire Straits","Dire Straits",1978-10-07,252000,71,false,sartoip888,2025-09-05T11:20:57Z,"rock klasyczny","EMI",0.898,0.412,9,-13.826,0,0.0395,0.137,0.338,0.0825,0.857,117.457,4
