Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2kMbPs9TttmASKbsdTfNuk,"Serce","Dramat Współczesny","Kabanos",2014-02-28,268013,40,false,sartoip888,2022-10-10T19:42:45Z,"","Wesołe Baloniki",0.62,0.855,11,-5.001,1,0.0509,0.00261,0.000046,0.134,0.384,159.94,4
spotify:track:4eFJ6o6coLoOAIKiUftfrM,"Marysia - acoustic","Na Pudle (acoustic)","Kabanos",2014-04-23,196373,34,false,sartoip888,2022-10-10T20:09:38Z,"","Wesołe Baloniki",0.772,0.72,7,-7.048,1,0.0258,0.177,0,0.148,0.448,97.048,4
spotify:track:7EBiEdOCnGcsNewxbMQ0V8,"Buraki","Kiełbie we Łbie","Kabanos",2012-03-10,260604,42,true,sartoip888,2022-10-10T19:42:37Z,"","Kabanos",0.714,0.981,0,-1.987,1,0.096,0.0196,0.00000907,0.0671,0.489,105.031,4
spotify:track:3AWMFf5lSrcPxMjpw9HCNH,"Snob","Dramat Współczesny","Kabanos",2014-02-28,197586,22,false,sartoip888,2022-10-10T19:43:05Z,"","Wesołe Baloniki",0.673,0.946,10,-4.036,1,0.0292,0.000368,0,0.242,0.862,120.034,4
spotify:track:2jQTTLsZDtsTc3VKZWiEGU,"Amore mio","Dramat Współczesny","Kabanos",2014-02-28,253720,9,false,sartoip888,2022-10-10T19:43:12Z,"","Wesołe Baloniki",0.616,0.97,11,-3.636,1,0.0349,0.000549,0.00000115,0.309,0.653,121.965,4
spotify:track:2FkdEuVYpywMTWMg0fHLjT,"Pa (do widzenia wszystkim)","Odgrzewane Kotlety","Kabanos",2018-03-21,202000,39,true,sartoip888,2022-10-10T19:50:55Z,"","Kabanos",0.583,0.914,0,-2.629,1,0.0467,0.0133,0,0.169,0.582,90.081,4
spotify:track:5FO5njJ87TO1L7hVJmnRFi,"Pancerz","Kiełbie we Łbie","Kabanos",2012-03-10,230500,34,false,sartoip888,2022-10-10T20:05:48Z,"","Kabanos",0.623,0.967,0,-3.721,1,0.0497,0.000502,0.0000354,0.377,0.856,126.987,4
spotify:track:6CvOBqbC3uSZO1WFK15jjY,"Gruby grubas (oj tam, oj tam)","Balonowy Album","Kabanos",2015-09-15,197746,32,false,sartoip888,2022-10-10T20:17:07Z,"","Kabanos",0.634,0.65,2,-5.912,1,0.066,0.000328,0.00000227,0.0955,0.776,150.184,4
spotify:track:2wODuYLTQ1EA05ZfvzHJTm,"Balony","Balonowy Album","Kabanos",2015-09-15,237333,30,false,sartoip888,2022-10-11T14:01:17Z,"","Kabanos",0.511,0.854,7,-5.895,1,0.0784,0.0000691,0.000242,0.442,0.601,160.011,4
spotify:track:6dXItbmbZTIjXq2s1K9pyy,"Chmurki","Flaki z olejem","Kabanos",2010-06-05,212906,33,false,sartoip888,2022-10-13T18:59:47Z,"","Kabanos",0.55,0.953,7,-2.298,1,0.228,0.0487,0,0.127,0.508,162.957,4
spotify:track:0osznTBRtDqmyCyBTVya6f,"Klocki","Kiełbie we Łbie","Kabanos",2012-03-10,202500,40,false,sartoip888,2022-10-13T19:06:25Z,"","Kabanos",0.716,0.978,0,-2.474,1,0.212,0.054,0,0.31,0.503,145.006,4
