Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5pEXqq5igy4xUZrOeMhMRe,"Komandor Tarkin","Melassa","Kazik",2000-01-01,163466,28,false,sartoip888,2022-02-03T14:01:28Z,"","SP Records",0.796,0.538,1,-8.706,1,0.0374,0.498,0,0.0767,0.96,139.079,4
spotify:track:32NdW0FUSr8rkrEcAI94mq,"6 lat później","Your Eyes","Kult",1991,373000,43,false,sartoip888,2025-04-25T21:27:55Z,"","SP Records",0.596,0.778,4,-7.092,1,0.0386,0.188,0,0.0779,0.353,105.572,4
spotify:track:6t8fz7Tj1HBv7wxbXOkPkB,"Ręce do góry","Muj wydafca","Kult",1994,203000,29,false,sartoip888,2022-02-03T15:13:56Z,"","SP Records",0.521,0.646,11,-13.995,0,0.0581,0.0204,0,0.0531,0.833,151.819,4
spotify:track:79eVgeVdtywf3u1L9lsLeY,"Lewe lewe loff","Muj wydafca","Kult",1994,234533,43,false,sartoip888,2025-04-25T21:29:05Z,"","SP Records",0.574,0.524,7,-15.516,1,0.0424,0.16,0.0498,0.0749,0.892,174.915,4
spotify:track:2mQoXXVxoSSiDAf9g55m1R,"Ballada o Janku Wisniewskim - Single Version","Ballada o Janku Wisniewskim","Kazik",2011-03-04,141840,35,false,sartoip888,2022-02-09T08:02:53Z,"","Parlophone Poland",0.647,0.923,9,-7.14,0,0.0931,0.02,0,0.0743,0.447,125.024,4
spotify:track:15y4DntYgKMB2uWjKrLVn1,"Mars napada","Melassa","Kazik",2000-01-01,336946,39,false,sartoip888,2022-02-09T10:15:52Z,"","SP Records",0.661,0.905,6,-6.804,0,0.181,0.136,0,0.178,0.717,94.051,4
spotify:track:318KZH2O4R003o3hL1aDqS,"Gdy nie ma dzieci","Ostateczny krach systemu korporacji","Kult",1998,177293,55,false,sartoip888,2022-02-03T14:08:32Z,"","SP Records",0.678,0.768,9,-9.209,1,0.0843,0.666,0,0.141,0.923,112.405,4
spotify:track:3sE2qQmBiBvJxMbhpxER23,"Maciek, ja tylko żartowałem","12 groszy","Kazik",2016-04-01,177533,37,false,sartoip888,2022-03-11T09:58:06Z,"","SP Records",0.24,0.817,2,-8.574,1,0.0723,0.0244,0,0.116,0.563,196.693,4
spotify:track:6O8PKYnYnKPbn00kBHYvkM,"Brooklyńska rada Żydów","Salon Recreativo","Kult",2001,335200,45,false,sartoip888,2022-03-11T09:58:00Z,"","SP Records",0.693,0.8,0,-7.223,1,0.0477,0.622,0.00000582,0.393,0.716,99.958,4
spotify:track:3zQgxASEByNGL1gCzel2lN,"Dziewczyna o perłowych włosach","Muj wydafca","Kult",1994,275333,35,false,sartoip888,2022-02-03T14:10:25Z,"","SP Records",0.331,0.689,7,-11.634,1,0.0583,0.0324,0.0118,0.251,0.392,131.242,4
spotify:track:4miHWa2eKx5P4QQT7MLNiE,"Knajpa morderców","Tata Kazika","Kult",1993,285000,40,false,sartoip888,2022-03-11T09:58:09Z,"","SP Records",0.373,0.515,5,-7.967,0,0.0371,0.0278,0.00000341,0.0853,0.197,107.156,3
spotify:track:3ZB6gNXfC4ispRAaAhM1MU,"Celina","Tata Kazika","Kult",1993,402120,39,false,sartoip888,2022-03-11T09:58:11Z,"","SP Records",0.479,0.78,4,-5.693,0,0.0724,0.0339,0,0.105,0.648,132.548,4
spotify:track:3h9rK608LlE4aiuJuyhS3L,"Ku*** wędrowniczki","Tata Kazika","Kult",1993,259040,40,true,sartoip888,2022-03-11T09:58:13Z,"","SP Records",0.397,0.818,9,-6.606,0,0.0505,0.00559,0.0247,0.126,0.526,111.217,4
spotify:track:5kH4o6XuMjvLnPU1ObTe6r,"Wódka","Posłuchaj to do Ciebie (Expanded)","Kult",2016-04-01,314506,41,false,sartoip888,2022-04-05T10:39:56Z,"","SP Records",0.379,0.834,7,-6.649,1,0.0865,0.000933,0.0000363,0.037,0.597,156.485,4
spotify:track:1SwFxcA8RScOmesKzh9faj,"Prosto","Prosto","Kult",2013,279973,35,false,sartoip888,2022-04-05T10:48:50Z,"","SP Records",0.585,0.802,1,-7.486,1,0.0811,0.0228,0.0000119,0.137,0.578,114.468,4
spotify:track:2I9y1p6HdG7UDWr5jaNk1B,"Jeźdźcy","Spokojnie","Kult",1988,349386,34,false,sartoip888,2025-04-25T21:44:18Z,"","SP Records",0.518,0.683,0,-8.798,1,0.0274,0.00281,0.221,0.103,0.292,94.73,3
spotify:track:2qTol0XDzAus5LqscFTWfz,"Do Ani","Spokojnie","Kult",1988,312013,33,false,sartoip888,2025-04-25T21:44:23Z,"","SP Records",0.349,0.569,9,-9.31,0,0.0329,0.0545,0.568,0.373,0.305,121.628,4
spotify:track:75elly5kmDEG3f5sRrsbcq,"Arahja","Tan","Kult",1989,204800,20,false,sartoip888,2025-04-25T21:44:26Z,"","SP Records",0.369,0.725,9,-11.861,0,0.0361,0.0245,0.000146,0.226,0.358,87.878,4
spotify:track:2nRaBXWQOFa2YF4srjZdLy,"Jeśli zechcesz odejść - odejdź","Tata 2","Kult",1996,228666,33,false,sartoip888,2025-04-25T21:44:30Z,"","SP Records",0.341,0.447,0,-10.858,0,0.0395,0.406,0,0.0794,0.568,75.402,4
spotify:track:6sePTzYBNXfWgEPxEM5QHK,"Śmierć poety","Tata 2","Kult",1996,336800,33,false,sartoip888,2025-04-25T21:44:35Z,"","SP Records",0.534,0.751,0,-10.364,1,0.0477,0.0423,0.294,0.345,0.437,87.015,4
spotify:track:0JI24Pwmm1SROGOdBpDEpO,"Nie dorosłem do swych lat","Tata 2","Kult",1996,340653,28,false,sartoip888,2025-04-25T21:44:39Z,"","SP Records",0.519,0.461,4,-10.658,0,0.0269,0.337,0.0000108,0.237,0.676,94.781,4
spotify:track:3q5GRcYbznHfpl80GyHq9B,"Ty albo żadna","Tata 2","Kult",1996,168626,25,false,sartoip888,2025-04-25T21:44:42Z,"","SP Records",0.421,0.0515,2,-26.938,0,0.0476,0.943,0.0095,0.126,0.196,121.381,3
spotify:track:3Yq4Gn4XOtSzayY3q5JRg8,"Gwiazda szeryfa","Tata 2","Kult",1996,250093,22,false,sartoip888,2025-04-25T21:44:47Z,"","SP Records",0.652,0.257,6,-12.922,0,0.0923,0.236,0.000498,0.122,0.699,129.146,4
