Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7DYnIFXad07cJ4ItMZVR02,"Astrolog","Gusła","Lao Che",2002-01-14,301548,10,false,sartoip888,2019-11-07T14:21:44Z,"","SP Records",0.574,0.7,9,-8.015,0,0.0503,0.418,0.0126,0.369,0.235,119.949,4
spotify:track:0FvumzaQQ1CFUybpJCxvuk,"Kniaź","Gusła","Lao Che",2002-01-14,272495,8,false,sartoip888,2019-11-07T14:21:44Z,"","SP Records",0.374,0.817,0,-7.664,1,0.219,0.0314,0.00000955,0.252,0.344,117.945,4
spotify:track:0q55zagMA9iJNY8rhIf7zH,"Klucznik (Rozdziobią nas kruki i wrony)","Gusła","Lao Che",2002-01-14,238322,27,false,sartoip888,2019-11-07T14:21:44Z,"","SP Records",0.616,0.818,7,-6.328,1,0.218,0.455,0,0.0964,0.3,143.062,4
spotify:track:2m2FmmoXknDjcwTEP8k5DT,"Wiedźma","Gusła","Lao Che",2002-01-14,515522,9,false,sartoip888,2019-11-07T14:21:44Z,"","SP Records",0.499,0.657,9,-9.315,0,0.0639,0.0832,0.0000131,0.0835,0.0794,111.891,4
spotify:track:0ilbuH1HTvnlsocPE5wu7c,"Junak","Gusła","Lao Che",2002-01-14,101522,6,false,sartoip888,2019-11-07T14:21:44Z,"","SP Records",0.284,0.951,11,-10.713,1,0.875,0.546,0.0165,0.236,0.236,96.763,3
spotify:track:7zYnf5dwIyfw0YOk1BNCYp,"Lelum polelum","Gusła","Lao Che",2002-01-14,500215,8,false,sartoip888,2019-11-07T14:21:44Z,"","SP Records",0.632,0.7,9,-8.617,0,0.0877,0.21,0.0000149,0.349,0.209,100.099,4
spotify:track:6FU3xsEo0DXqAgwjWNRl9L,"Mars - anioł choroby","Gusła","Lao Che",2002-01-14,249348,6,false,sartoip888,2019-11-07T14:21:44Z,"","SP Records",0.488,0.794,5,-7.106,1,0.0706,0.0072,0.00141,0.115,0.232,115.021,4
spotify:track:7LuL24dRNMJUDnkZ5VbliD,"Nałożnica","Gusła","Lao Che",2002-01-14,446148,6,false,sartoip888,2019-11-07T14:21:44Z,"","SP Records",0.566,0.63,4,-10.182,1,0.0461,0.277,0.00224,0.895,0.219,109.751,4
spotify:track:1xYGPOpiTbIFCpxuaeHSmK,"Did Lirnik","Gusła","Lao Che",2002-01-14,302882,5,false,sartoip888,2019-11-07T14:21:44Z,"","SP Records",0.537,0.491,0,-11.452,1,0.0417,0.064,0.241,0.283,0.191,74.997,3
spotify:track:7ucykIEnqwHviZbLEIwDeV,"Topielce","Gusła","Lao Che",2002-01-14,110640,5,false,sartoip888,2019-11-07T14:21:44Z,"","SP Records",0.337,0.507,11,-13.5,1,0.246,0.652,0.0000025,0.163,0.228,139.627,3
spotify:track:43xHzxJr8AIAIJComFYnsz,"Komtur","Gusła","Lao Che",2002-01-14,286053,6,false,sartoip888,2019-11-07T14:21:44Z,"","SP Records",0.568,0.808,2,-8.47,1,0.0976,0.133,0.0994,0.0989,0.215,124.994,4
spotify:track:4v9UYUoYxDQ0jP9hDUySTN,"Jestem Słowianinem","Gusła","Lao Che",2002-01-14,246960,8,false,sartoip888,2019-11-07T14:21:44Z,"","SP Records",0.583,0.763,2,-6.059,1,0.0336,0.0249,0.532,0.185,0.481,155.973,4
spotify:track:56iX49KCIoqiO1q2kFSGec,"Wisielec","Gusła","Lao Che",2002-01-14,322040,5,false,sartoip888,2019-11-07T14:21:44Z,"","SP Records",0.507,0.833,4,-7.106,1,0.236,0.158,0.000242,0.421,0.321,77.524,3
spotify:track:3BnOEDG1D58sPRFGh0sJg9,"Kat","Gusła","Lao Che",2002-01-14,271186,4,false,sartoip888,2019-11-07T14:21:44Z,"","SP Records",0.327,0.745,1,-9.308,1,0.5,0.324,0.000195,0.0895,0.152,125.693,3
spotify:track:5v0iDox67dTVKwwNFYWfGM,"1939 / Przed burzą","Powstanie Warszawskie","Lao Che",2005-03-21,338746,0,false,sartoip888,2019-11-07T14:21:01Z,"","Mystic Production",0.419,0.791,9,-7.075,0,0.324,0.179,0,0.27,0.362,157.117,3
spotify:track:4rQaZtd6qwCaM3HGzmNN1s,"Godzina W","Powstanie Warszawskie","Lao Che",2005-03-21,180320,0,false,sartoip888,2019-11-07T14:21:01Z,"","Mystic Production",0.603,0.856,8,-6.423,1,0.104,0.16,0.0000013,0.0892,0.575,155.161,4
spotify:track:2Lk5uS6HymDufiCWV1afzL,"Barykada","Powstanie Warszawskie","Lao Che",2005-03-21,322226,0,false,sartoip888,2019-11-07T14:21:01Z,"","Mystic Production",0.553,0.805,0,-7.265,1,0.0889,0.0609,0.000091,0.101,0.768,154.347,4
spotify:track:4cH8HjOHU4xbtIFlcPMkAS,"Zrzuty","Powstanie Warszawskie","Lao Che",2005-03-21,193226,0,false,sartoip888,2019-11-07T14:21:01Z,"","Mystic Production",0.476,0.989,11,-5.986,1,0.404,0.24,0,0.191,0.314,168.394,4
spotify:track:3RFkNPradweixFYNUjzktT,"Stare Miasto","Powstanie Warszawskie","Lao Che",2005-03-21,279120,0,false,sartoip888,2019-11-07T14:21:01Z,"","Mystic Production",0.783,0.638,0,-7.867,0,0.108,0.61,0.0000104,0.39,0.812,125.223,4
spotify:track:2fYxRiXrfYPTMrYNXQqvvc,"Przebicie do Śródmieścia","Powstanie Warszawskie","Lao Che",2005-03-21,338733,0,false,sartoip888,2019-11-07T14:21:01Z,"","Mystic Production",0.391,0.805,9,-8.454,1,0.192,0.427,0.00193,0.237,0.13,125.094,4
spotify:track:6Grw2Mt4NzVaoyuoqpcCWt,"Czerniaków","Powstanie Warszawskie","Lao Che",2005-03-21,200093,0,false,sartoip888,2019-11-07T14:21:01Z,"","Mystic Production",0.254,0.039,4,-22.942,1,0.0524,0.993,0.521,0.107,0.0642,72.409,5
spotify:track:0kR3N8p66LNwsxpHl4eYvG,"Hitlerowcy","Powstanie Warszawskie","Lao Che",2005-03-21,189213,0,false,sartoip888,2019-11-07T14:21:01Z,"","Mystic Production",0.335,0.922,1,-5.921,1,0.229,0.146,0.000492,0.218,0.101,99.885,4
spotify:track:40jsKVvkKRcVpa6dKnYvZk,"Kanały","Powstanie Warszawskie","Lao Che",2005-03-21,471053,0,false,sartoip888,2019-11-07T14:21:01Z,"","Mystic Production",0.376,0.339,9,-13.581,0,0.0925,0.613,0.105,0.105,0.15,103.648,4
