Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3PWn4qbA96Lal9y9xoaDiL,"Moje miasto - Big city mix","Miasto Mania","Maria Peszek",2005-10-14,511173,23,false,sartoip888,2023-05-15T11:18:57Z,"","Kayax Production & Publishing",0.77,0.667,11,-9.502,0,0.052,0.224,0.317,0.347,0.363,109.001,4
spotify:track:3tclx8UuLYMxDgOfLPh8V3,"Pibloktoq","Jezus Maria Peszek","Maria Peszek",2012-10-23,248373,0,false,sartoip888,2017-09-05T12:29:29Z,"","Mystic Production",0.58,0.486,9,-11.148,0,0.0569,0.663,0.0281,0.251,0.396,144.969,4
spotify:track:1pylNZRjt9qYbzJmvRe61W,"Żwir","Jezus Maria Peszek","Maria Peszek",2012-10-23,216520,0,false,sartoip888,2017-09-05T12:29:33Z,"","Mystic Production",0.556,0.185,0,-12.109,0,0.0396,0.416,0.000903,0.115,0.104,122.043,4
spotify:track:4s1OJMIHewnNEYL85SM7l1,"Zejście awaryjne","Jezus Maria Peszek","Maria Peszek",2012-10-23,145893,0,false,sartoip888,2019-03-15T14:19:06Z,"","Mystic Production",0.498,0.118,1,-17.655,0,0.0506,0.978,0.477,0.091,0.197,114.568,3
spotify:track:6MrC8AB6HedBTmBWfzLd3P,"Mam Kota","Miasto Mania","Maria Peszek",2005-01-01,173506,0,false,sartoip888,2017-05-22T14:03:18Z,"","Kayax Production",0.619,0.0725,11,-13.098,0,0.108,0.958,0.00017,0.114,0.532,102.729,4
spotify:track:54hM0T39bDZMHn6ih2YcHs,"Nie Mam Czasu Na Seks","Miasto Mania","Maria Peszek",2005-01-01,246533,0,false,sartoip888,2017-05-22T14:03:29Z,"","Kayax Production",0.373,0.146,11,-14.413,0,0.035,0.878,0.0000553,0.12,0.26,99.988,4
spotify:track:5JsgWqAIsKvGAiv8Dx0yV4,"Maria Awaria","Maria Awaria","Maria Peszek",2008-09-19,220306,0,false,sartoip888,2017-05-22T14:02:56Z,"","Kayax Production",0.855,0.254,2,-11.624,0,0.0543,0.582,0.00906,0.0884,0.434,116.494,4
spotify:track:36kb45TOVHdk0laFLDYJQL,"Marznę bez ciebie","Maria Awaria","Maria Peszek",2008-09-19,208120,0,false,sartoip888,2017-05-22T14:02:16Z,"","Kayax Production",0.731,0.307,9,-10.565,0,0.041,0.829,0.0000341,0.104,0.471,102.186,4
spotify:track:5gCjk2BbLM68BNSMsHvxah,"Hujawiak","Maria Awaria","Maria Peszek",2008-09-19,209013,0,false,sartoip888,2017-05-22T14:02:17Z,"","Kayax Production",0.948,0.391,9,-11.511,0,0.0454,0.525,0.148,0.136,0.725,122.937,4
spotify:track:6O6JrDJjE4Ucc6X1bfK4cN,"Ciało","Maria Awaria","Maria Peszek",2008-09-19,240933,0,false,sartoip888,2017-05-22T14:03:02Z,"","Kayax Production",0.743,0.695,5,-10.977,0,0.0695,0.146,0.127,0.109,0.335,119.004,4
spotify:track:06sEElDsyddrHj5T5oSeft,"Rozpuda","Maria Awaria","Maria Peszek",2008-09-19,207546,0,false,sartoip888,2017-05-22T14:03:05Z,"","Kayax Production",0.41,0.28,5,-10.607,1,0.0332,0.705,0.00000455,0.128,0.319,97.264,4
spotify:track:2oHN2Sc4JpA0CLdAjwNpfH,"Superglue","Maria Awaria","Maria Peszek",2008-09-19,146320,0,false,sartoip888,2017-05-22T14:03:00Z,"","Kayax Production",0.456,0.404,9,-9.018,0,0.0359,0.66,0.00129,0.16,0.22,142.34,3
spotify:track:5Un6gERVfK8SgSuoQJNCKE,"Muchomory","Maria Awaria","Maria Peszek",2008-09-19,227466,0,false,sartoip888,2017-05-22T14:03:08Z,"","Kayax Production",0.882,0.699,0,-7.368,0,0.0496,0.537,0.185,0.0849,0.952,110.035,4
spotify:track:4GJIN4oloirOAg9d3fmx9n,"Amy","Jezus Maria Peszek","Maria Peszek",2012-10-23,248480,0,false,sartoip888,2017-05-22T14:02:39Z,"","Mystic Production",0.509,0.454,9,-8.08,0,0.0378,0.0113,0.00601,0.153,0.143,116.774,4
spotify:track:6GqnFZzjhB5dYMyW4YFfYz,"Samotny tata","Samotny tata","Maria Peszek",2016-07-15,226188,0,true,sartoip888,2017-05-22T14:02:09Z,"","WM Poland/WMI",0.769,0.461,1,-8.563,1,0.0827,0.773,0.412,0.102,0.674,77.511,4
spotify:track:4BD0MabPPdCbWTTp83BLqZ,"Ładne słowa to","Maria Awaria","Maria Peszek",2008-09-19,183253,0,false,sartoip888,2017-05-23T10:18:00Z,"","Kayax Production",0.829,0.421,3,-15.375,0,0.0456,0.047,0.75,0.119,0.847,116.031,4
