Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:66z36NQScyAECTcS0a5mtS,"Ston Planiti Afterlov","Aφτερλωβ","Melentini",2017-05-01,222315,26,false,sartoip888,2022-05-30T11:15:32Z,"entehno","Melentini",0.316,0.202,7,-12.253,1,0.0361,0.919,0.815,0.212,0.0768,118.228,3
spotify:track:3yL0nKuxINIO04kypkyDcO,"Aira (The Clown Girl)","Explosions Around, The Desert Inside","Melentini",2013-02-18,317796,19,false,sartoip888,2022-05-30T11:15:36Z,"entehno","Restless Wind",0.57,0.438,0,-8.239,1,0.0319,0.918,0.863,0.201,0.229,141.9,4
spotify:track:1kf4FVg2T79gjwSqYX1MaT,"Του Απρίλη","9 Songs For Post​-​Greek Films","Melentini",2020-06-25,216933,13,false,sartoip888,2022-05-30T11:15:41Z,"entehno","Melentini",0.331,0.186,0,-11.785,0,0.0302,0.907,0.0101,0.104,0.193,96.806,5
spotify:track:4IW27w3sFLYx362njKeTSe,"Στον Πλανήτη Άφτερλωβ","9 Songs For Post​-​Greek Films","Melentini",2020-06-25,222315,18,false,sartoip888,2022-05-30T11:20:54Z,"entehno","Melentini",0.268,0.178,7,-11.91,0,0.0333,0.935,0.833,0.172,0.0982,92.118,5
spotify:track:0IJQQrRVj7HaR8ZZKpoDTq,"Cynical Circus","Explosions Around, The Desert Inside","Melentini",2013-02-18,356515,6,false,sartoip888,2022-05-30T11:26:20Z,"entehno","Restless Wind",0.51,0.364,1,-9.303,0,0.0257,0.938,0.0355,0.0889,0.0475,77.866,4
spotify:track:6xWqTi0Khzl997WqHrWfUa,"Almond Tree","Explosions Around, The Desert Inside","Melentini",2013-02-18,288436,0,false,sartoip888,2022-05-30T14:04:20Z,"entehno","Restless Wind",0.348,0.186,9,-12.255,0,0.0353,0.948,0.168,0.0813,0.122,127.92,3
spotify:track:1HmdX8pklf5riD37B1SrRi,"The Desert Inside","Explosions Around, The Desert Inside","Melentini",2013-02-18,329394,1,false,sartoip888,2022-05-30T14:11:39Z,"entehno","Restless Wind",0.426,0.417,9,-8.062,0,0.0353,0.951,0.0608,0.303,0.186,101.753,3
spotify:track:5yfxnh196kDvBIbFy3k6Nh,"Miles of Love","Explosions Around, The Desert Inside","Melentini",2013-02-18,201174,0,false,sartoip888,2022-05-30T14:14:12Z,"entehno","Restless Wind",0.354,0.265,2,-10.936,1,0.0305,0.987,0.483,0.129,0.197,85.93,3
spotify:track:4SABAiTociV5S9WGyxwDmr,"Sweetheart","Explosions Around, The Desert Inside","Melentini",2013-02-18,200506,3,false,sartoip888,2022-05-30T14:24:01Z,"entehno","Restless Wind",0.57,0.217,3,-10.938,1,0.032,0.983,0.322,0.109,0.0396,81.385,4
spotify:track:2D9xBCuv9V5ldrG5Jw23Re,"Gone Are the Days","Explosions Around, The Desert Inside","Melentini",2013-02-18,358745,1,false,sartoip888,2022-05-30T14:27:27Z,"entehno","Restless Wind",0.354,0.0668,1,-15.464,1,0.0467,0.988,0.0547,0.103,0.106,171.701,3
