Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2sW8AhcUReD63KAqCXd2Cc,"Plumajilla","Self Titled","Mondo Drag",2015-05-12,400693,33,false,sartoip888,2018-02-20T15:05:34Z,"stoner rock,space rock,rock psychodeliczny,stoner metal,neo-psychodelia,sludge metal,acid rock","RidingEasy Records",0.233,0.706,11,-5.361,0,0.0478,0.194,0.723,0.0686,0.116,140.182,4
spotify:track:32nkHeXgzQg11oh680pzsT,"Initiation","The Occultation of Light","Mondo Drag",2016-02-26,339354,25,false,sartoip888,2018-02-20T15:10:46Z,"stoner rock,space rock,rock psychodeliczny,stoner metal,neo-psychodelia,sludge metal,acid rock","RidingEasy Records",0.286,0.769,2,-7.057,1,0.037,0.0099,0.27,0.0888,0.515,110.154,3
spotify:track:3B9EjHN1rHhdiispaf9eRG,"Pillars of the Sky","Self Titled","Mondo Drag",2015-05-12,405266,28,false,sartoip888,2018-02-20T15:25:37Z,"stoner rock,space rock,rock psychodeliczny,stoner metal,neo-psychodelia,sludge metal,acid rock","RidingEasy Records",0.238,0.617,6,-7.338,0,0.0311,0.228,0.926,0.138,0.12,128.045,4
spotify:track:0NDhxC3wxALNNr09YDeayn,"Out of Sight","The Occultation of Light","Mondo Drag",2016-02-26,240971,34,false,sartoip888,2018-02-20T15:25:37Z,"stoner rock,space rock,rock psychodeliczny,stoner metal,neo-psychodelia,sludge metal,acid rock","RidingEasy Records",0.314,0.708,6,-6.468,0,0.0433,0.00267,0.522,0.2,0.554,136.269,4
spotify:track:6zih2e5A0NT5BTncVfAfrR,"Zephyr","Self Titled","Mondo Drag",2015-05-12,154813,24,false,sartoip888,2018-02-20T15:29:18Z,"stoner rock,space rock,rock psychodeliczny,stoner metal,neo-psychodelia,sludge metal,acid rock","RidingEasy Records",0.312,0.913,1,-5.137,0,0.0607,0.08,0.844,0.0321,0.707,151.302,4
spotify:track:3OUoUUvYxiW7USvpB3kfyv,"In Your Head","The Occultation of Light","Mondo Drag",2016-02-26,313440,11,false,sartoip888,2018-02-20T15:29:18Z,"stoner rock,space rock,rock psychodeliczny,stoner metal,neo-psychodelia,sludge metal,acid rock","RidingEasy Records",0.317,0.699,6,-7.535,0,0.0339,0.00329,0.231,0.113,0.42,104.8,4
spotify:track:43JkeTCtbMhqNcWuypGrXi,"Crystal Vision Open Eyes","Self Titled","Mondo Drag",2015-05-12,276586,19,false,sartoip888,2018-02-20T15:29:18Z,"stoner rock,space rock,rock psychodeliczny,stoner metal,neo-psychodelia,sludge metal,acid rock","RidingEasy Records",0.362,0.694,6,-7.19,0,0.0352,0.406,0.696,0.0951,0.417,129.933,4
spotify:track:4gioJ3uqNzNvHJWOGamwLc,"Tallest Tales","New Rituals","Mondo Drag",2010-01-26,367506,0,true,sartoip888,2018-02-20T15:29:18Z,"stoner rock,space rock,rock psychodeliczny,stoner metal,neo-psychodelia,sludge metal,acid rock","Alive Records",0.319,0.617,6,-6.984,0,0.0348,0.00733,0.881,0.461,0.257,138.167,4
spotify:track:6hegY3Z0svmzCTRT5qolZ3,"New Rituals","New Rituals","Mondo Drag",2010-01-26,541186,0,true,sartoip888,2018-02-20T15:29:18Z,"stoner rock,space rock,rock psychodeliczny,stoner metal,neo-psychodelia,sludge metal,acid rock","Alive Records",0.265,0.62,1,-7.786,0,0.0308,0.00637,0.844,0.113,0.217,137.372,4
spotify:track:4ScFWtAsVAWTCawF1hHehW,"Snakeskin","Self Titled","Mondo Drag",2015-05-12,370720,19,false,sartoip888,2018-02-20T15:29:18Z,"stoner rock,space rock,rock psychodeliczny,stoner metal,neo-psychodelia,sludge metal,acid rock","RidingEasy Records",0.299,0.806,6,-5.633,0,0.0444,0.1,0.844,0.11,0.207,116.432,4
spotify:track:3bwF9HCGiQLFVbT1ihL5Ns,"Rising Omen","The Occultation of Light","Mondo Drag",2016-02-26,322000,28,false,sartoip888,2018-02-20T15:29:37Z,"stoner rock,space rock,rock psychodeliczny,stoner metal,neo-psychodelia,sludge metal,acid rock","RidingEasy Records",0.265,0.437,1,-7.837,0,0.036,0.0058,0.442,0.0501,0.174,122.865,4
spotify:track:3u5UHRdL52PShVtSjkN8SJ,"Incendiary Procession","The Occultation of Light","Mondo Drag",2016-02-26,250257,16,false,sartoip888,2018-02-20T15:29:37Z,"stoner rock,space rock,rock psychodeliczny,stoner metal,neo-psychodelia,sludge metal,acid rock","RidingEasy Records",0.252,0.538,2,-9.412,1,0.0373,0.00232,0.804,0.194,0.392,148.171,4
spotify:track:5pCaosO4f4OdIYvGZDxgHu,"The Eye","The Occultation of Light","Mondo Drag",2016-02-26,384128,10,false,sartoip888,2018-02-20T15:29:37Z,"stoner rock,space rock,rock psychodeliczny,stoner metal,neo-psychodelia,sludge metal,acid rock","RidingEasy Records",0.27,0.696,9,-7.801,1,0.0411,0.00146,0.862,0.0762,0.185,113.68,3
spotify:track:4drt99UbyFI2RAO3RbrO2R,"Dying Light","The Occultation of Light","Mondo Drag",2016-02-26,471722,10,false,sartoip888,2018-02-20T15:29:37Z,"stoner rock,space rock,rock psychodeliczny,stoner metal,neo-psychodelia,sludge metal,acid rock","RidingEasy Records",0.228,0.63,11,-7.788,0,0.0345,0.00154,0.655,0.131,0.24,96.53,4
