Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0cFyMyGiXySrooKVF8qWnH,"Amniotic","Amniotic","Monolink",2018-04-20,450813,37,false,sartoip888,2020-03-30T10:33:37Z,"melodyjne techno,melodyjny house,techno","Embassy One",0.436,0.354,9,-11.789,0,0.0414,0.449,0.632,0.0961,0.0311,79.701,3
spotify:track:4iSsUBkriv6P5C8ncZ9Rr6,"Black Day","Amniotic","Monolink",2018-04-20,337266,47,false,sartoip888,2020-03-30T10:33:37Z,"melodyjne techno,melodyjny house,techno","Embassy One",0.826,0.34,11,-12.945,0,0.0729,0.0757,0.057,0.082,0.0476,116.001,4
spotify:track:3lchYylgQrEHvabP3rLAjX,"Sirens","Amniotic","Monolink",2018-04-20,358426,32,false,sartoip888,2020-03-30T10:33:37Z,"melodyjne techno,melodyjny house,techno","Embassy One",0.808,0.558,11,-9.695,0,0.0596,0.351,0.648,0.102,0.339,120.007,4
spotify:track:3ZC8nX0TZsL0mSwf7xQp9h,"Rearrange My Mind","Amniotic","Monolink",2018-04-20,437600,44,false,sartoip888,2020-03-30T10:33:37Z,"melodyjne techno,melodyjny house,techno","Embassy One",0.981,0.38,9,-9.582,0,0.242,0.0554,0.643,0.104,0.453,115.999,4
spotify:track:22DI1dE9Ii05gLRkeDnF1H,"Frozen","Amniotic","Monolink",2018-04-20,326266,40,false,sartoip888,2020-03-30T10:33:37Z,"melodyjne techno,melodyjny house,techno","Embassy One",0.757,0.417,10,-13.038,0,0.0627,0.262,0.88,0.527,0.176,114.965,4
spotify:track:4ELpRI3SqUFdg1HQTTtsTB,"Father Ocean","Amniotic","Monolink",2018-04-20,356840,40,false,sartoip888,2020-03-30T10:33:37Z,"melodyjne techno,melodyjny house,techno","Embassy One",0.651,0.71,11,-12.608,0,0.0394,0.193,0.34,0.0926,0.133,113.997,4
spotify:track:5OKoDYrRmSbPJAGxdN8UO3,"Swallow","Amniotic","Monolink",2018-04-20,266280,46,false,sartoip888,2020-03-30T10:33:37Z,"melodyjne techno,melodyjny house,techno","Embassy One",0.677,0.756,6,-8.003,0,0.0322,0.00539,0.454,0.0942,0.333,121.02,4
spotify:track:3MwOdhHwTu1OELO7EsGir2,"Take Me Home","Amniotic","Monolink",2018-04-20,428226,28,false,sartoip888,2020-03-30T10:33:37Z,"melodyjne techno,melodyjny house,techno","Embassy One",0.87,0.516,2,-9.794,1,0.112,0.255,0.443,0.158,0.456,105.005,4
spotify:track:4sONjuAg3sv8wrJEU5xX1X,"Riverman","Amniotic","Monolink",2018-04-20,411813,36,false,sartoip888,2020-03-30T10:33:37Z,"melodyjne techno,melodyjny house,techno","Embassy One",0.834,0.594,2,-8.731,1,0.14,0.258,0.0324,0.096,0.334,94.001,4
spotify:track:13HDTxGLX75krczQM9xRKP,"Return to Oz","Amniotic","Monolink",2018-04-20,432266,31,false,sartoip888,2020-03-30T10:33:37Z,"melodyjne techno,melodyjny house,techno","Embassy One",0.791,0.769,8,-11.502,1,0.0504,0.0699,0.809,0.0603,0.22,119.98,4
spotify:track:3ApJMBV3TjMQpn5T6Y6iX6,"Burning Sun","Amniotic","Monolink",2018-04-20,503000,44,false,sartoip888,2020-03-30T10:33:37Z,"melodyjne techno,melodyjny house,techno","Embassy One",0.706,0.443,6,-13.444,0,0.0388,0.119,0.393,0.0939,0.294,123.018,4
