Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4SdxIVjnNQlnQ1m26TrdaM,"Yekermo Sew","Ethio Jazz Vol. 1","Mulatu Astatke",2006-01-01,264693,13,false,sartoip888,2017-02-07T10:15:29Z,"etiopski jazz","AZMARI",0.693,0.723,1,-8.533,1,0.0264,0.13,0.208,0.0926,0.738,120.099,4
spotify:track:2ydxIa7ScofHlG0cdNxRr2,"I Faram Gami I Faram","New York - Addis - London: The Story of Ethio Jazz 1965-1975","Mulatu Astatke",1969,139600,0,false,sartoip888,2017-02-07T10:15:53Z,"etiopski jazz","Strut",0.744,0.502,5,-12.345,0,0.0625,0.935,0.288,0.915,0.908,104.183,4
spotify:track:7k3YrlUP1DxGe802jjuT1L,"Yègellé Tezeta","New York - Addis - London: The Story of Ethio Jazz 1965-1975","Mulatu Astatke",1969,194293,0,false,sartoip888,2017-02-07T10:15:56Z,"etiopski jazz","Strut",0.839,0.233,3,-13.539,1,0.0414,0.745,0.746,0.105,0.778,125.597,4
spotify:track:6GrXc4pohD8eVm7ZEoPFwW,"Ethanopium","Broken Flowers","Mulatu Astatke;Dengue Fever",2005-01-01,276693,0,false,sartoip888,2017-02-07T10:16:18Z,"etiopski jazz","Decca",0.741,0.653,3,-6.532,1,0.0333,0.113,0.812,0.161,0.904,122.94,4
spotify:track:414J8tKHbtF16XOiHGBEso,"Tezeta (Nostalgia)","Ethiopiques, Vol. 4: Ethio Jazz 1969-1974","Mulatu Astatke",1998-10-06,376640,50,false,sartoip888,2017-02-15T10:26:15Z,"etiopski jazz","Buda musique",0.547,0.356,5,-10.199,0,0.0366,0.954,0.917,0.0891,0.504,81.032,3
spotify:track:4MpyYQeDHw3wHb4VNTbWQY,"Mètché Dershé (When Am I Going to Reach There?)","Ethiopiques, Vol. 4: Ethio Jazz 1969-1974","Mulatu Astatke",1998-10-06,240186,32,false,sartoip888,2017-02-15T10:44:15Z,"etiopski jazz","Buda musique",0.632,0.513,7,-8.922,1,0.0351,0.782,0.482,0.215,0.383,126.359,4
spotify:track:7HgzlseMsAGrRH0bQCb7wL,"Yèkatit (February)","Ethiopiques, Vol. 4: Ethio Jazz 1969-1974","Mulatu Astatke",1998-10-06,237813,28,false,sartoip888,2017-02-15T10:51:31Z,"etiopski jazz","Buda musique",0.674,0.543,5,-10.978,1,0.0395,0.582,0.416,0.0822,0.835,86.438,4
spotify:track:2VIzzVxMfhLkjO4u9gEhlX,"Gamo","Sketches of Ethiopia (Bonus Track Version)","Mulatu Astatke",2013-08-27,315613,10,false,sartoip888,2017-02-15T11:03:14Z,"etiopski jazz","Jazz Village",0.667,0.717,1,-9.389,0,0.0404,0.829,0.334,0.0898,0.966,100.906,4
spotify:track:1DTljJvfLMNDhbUgy3Jbmt,"Hager Fiker","Sketches of Ethiopia (Bonus Track Version)","Mulatu Astatke",2013-08-27,368546,11,false,sartoip888,2017-02-15T11:10:34Z,"etiopski jazz","Jazz Village",0.677,0.684,10,-12.91,0,0.0504,0.953,0.884,0.0885,0.948,92.185,4
spotify:track:2DxeRVyd4CkAT5vE9S0WyO,"Surma (Extended Version) - Bonus Track","Sketches of Ethiopia (Bonus Track Version)","Mulatu Astatke;Fatoumata Diawara",2013-08-27,304390,6,false,sartoip888,2017-02-15T11:32:20Z,"etiopski jazz","Jazz Village",0.724,0.573,2,-10.197,1,0.0483,0.821,0.00523,0.0819,0.897,128.044,4
spotify:track:7rZkHxFaxBLTHdG01hVdYj,"Mulatu","Ethio Jazz Vol. 1","Mulatu Astatke",2006-01-01,306320,11,false,sartoip888,2017-02-15T14:39:25Z,"etiopski jazz","AZMARI",0.434,0.605,1,-6.646,1,0.0583,0.675,0.251,0.108,0.61,158.565,4
