Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2Bc2lFDw1FMTRceoSd1t5Q,"Uroda (Prolog)","Nosowska / Osiecka","Nosowska",2012-01-01,63106,11,false,sartoip888,2019-08-20T13:20:54Z,"","Universal Music Polska Sp. z o.o.",0.235,0.287,2,-25.028,1,0.0935,0.817,0.988,0.733,0.46,111.136,4
spotify:track:4BakODhIuqVSQ9BzDJHTs1,"Na Całych Jeziorach Ty","Nosowska / Osiecka","Nosowska",2012-01-01,270080,23,false,sartoip888,2019-08-20T13:20:54Z,"","Universal Music Polska Sp. z o.o.",0.213,0.511,5,-6.661,0,0.0333,0.267,0.0000018,0.117,0.0512,63.621,4
spotify:track:24aCBjx6snAuOSWbfmviFW,"Nim Wstanie Dzień","Nosowska / Osiecka","Nosowska",2012-01-01,240840,22,false,sartoip888,2019-08-20T13:20:54Z,"","Universal Music Polska Sp. z o.o.",0.613,0.385,5,-10.379,1,0.0277,0.258,0.000391,0.107,0.439,98.861,4
spotify:track:0C1ES12VMXRJrwLU0IDjPJ,"Kokaina","Nosowska / Osiecka","Nosowska",2012-01-01,349893,17,false,sartoip888,2019-08-20T13:20:54Z,"","Universal Music Polska Sp. z o.o.",0.336,0.232,7,-12.718,0,0.0367,0.812,0.00101,0.31,0.0546,97.626,4
spotify:track:2OQNksXHx7lpmjMBvTSJ4g,"Jeszcze Zima","Nosowska / Osiecka","Nosowska",2012-01-01,338693,12,false,sartoip888,2019-08-20T13:20:54Z,"","Universal Music Polska Sp. z o.o.",0.485,0.314,11,-9.101,0,0.034,0.906,0.000353,0.112,0.157,92.437,4
spotify:track:7tgo11G4AQ6L58g3LjBvjZ,"Uroda","Nosowska / Osiecka","Nosowska",2012-01-01,280493,12,false,sartoip888,2019-08-20T13:20:54Z,"","Universal Music Polska Sp. z o.o.",0.541,0.469,2,-10.946,1,0.0326,0.768,0.0996,0.335,0.288,104.518,4
spotify:track:6bswqCP4VeVYGKRgcP9MWB,"Kto Tam U Ciebie Jest?","Nosowska / Osiecka","Nosowska",2012-01-01,166746,19,false,sartoip888,2019-08-20T13:20:54Z,"","Universal Music Polska Sp. z o.o.",0.562,0.198,11,-11.425,0,0.0455,0.925,0.0000304,0.107,0.0422,123.99,4
spotify:track:2cKojHAzm7lkaopf7TYB5Q,"Zielono Mi","Nosowska / Osiecka","Nosowska",2012-01-01,271733,19,false,sartoip888,2019-08-20T13:20:54Z,"","Universal Music Polska Sp. z o.o.",0.822,0.486,8,-7.572,1,0.0321,0.666,0.295,0.0702,0.628,116.11,4
spotify:track:5iM2csz3FbaRekPTy8E5p1,"Uciekaj, Moje Serce","Nosowska / Osiecka","Nosowska",2012-01-01,189520,29,false,sartoip888,2019-08-20T13:20:54Z,"","Universal Music Polska Sp. z o.o.",0.46,0.499,4,-9.514,0,0.344,0.354,0,0.578,0.462,154.548,4
spotify:track:1NgTjKugLfaNhIqdTbp5ov,"Jesień Na Saskiej","Nosowska / Osiecka","Nosowska",2012-01-01,92360,10,false,sartoip888,2019-08-20T13:20:54Z,"","Universal Music Polska Sp. z o.o.",0.399,0.671,8,-9.804,1,0.459,0.00659,0.822,0.128,0.0918,115.106,4
spotify:track:0vIiSdLXnIMJv0cu3igbdi,"Na Kulawej Naszej Barce","Nosowska / Osiecka","Nosowska",2012-01-01,461640,14,false,sartoip888,2019-08-20T13:20:54Z,"","Universal Music Polska Sp. z o.o.",0.297,0.2,2,-9.191,0,0.0313,0.736,0.0285,0.0912,0.0399,136.459,5
