Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:61S0mEfdRtJ62Fc7fPqx0U,"Feeling Good","I Put A Spell On You","Nina Simone",1965-06,174000,0,false,sartoip888,2017-02-07T22:20:15Z,"jazz wokalny,jazz blues,soul,soul jazz,jazz,blues","Universal Music Group",0.399,0.326,7,-9.239,0,0.0386,0.864,0,0.191,0.546,79.206,4
spotify:track:177w3TzYIhGWiVXFDD7KvR,"Don't Let Me Be Misunderstood","Feeling Good","Nina Simone",1994-01-01,166000,0,false,sartoip888,2017-02-23T10:46:00Z,"jazz wokalny,jazz blues,soul,soul jazz,jazz,blues","Universal Music Group",0.388,0.381,11,-15.709,0,0.0754,0.78,0,0.355,0.503,157.452,4
spotify:track:0C5ex13H3zRMsqSROZu78W,"I Put A Spell On You","I Put A Spell On You","Nina Simone",1965-06,155026,0,false,sartoip888,2017-02-07T22:19:56Z,"jazz wokalny,jazz blues,soul,soul jazz,jazz,blues","Universal Music Group",0.42,0.398,6,-9.13,0,0.0296,0.755,0.000537,0.172,0.364,88.897,3
spotify:track:62ETPJazhz7Ty9BBeX9MmA,"Tomorrow Is My Turn","I Put A Spell On You","Nina Simone",1965-06,168306,0,false,sartoip888,2017-02-07T22:20:02Z,"jazz wokalny,jazz blues,soul,soul jazz,jazz,blues","Universal Music Group",0.348,0.325,7,-12.696,0,0.0382,0.927,0.0000663,0.15,0.625,59.618,4
spotify:track:1jjBPDAVRnq7stfnjN3vtp,"Tell Me More And More And Then Some - Live In New York/1965","Pastel Blues (Originals)","Nina Simone",1965-01-01,187973,0,false,sartoip888,2017-02-07T22:34:34Z,"jazz wokalny,jazz blues,soul,soul jazz,jazz,blues","Universal Music Group",0.351,0.174,11,-16.116,0,0.0496,0.769,0,0.108,0.328,91.674,4
spotify:track:32cGcB4r8mcOzAooGeGH2S,"Don't Explain","Feeling Good","Nina Simone",1994-01-01,262000,0,false,sartoip888,2017-02-23T10:54:14Z,"jazz wokalny,jazz blues,soul,soul jazz,jazz,blues","Universal Music Group",0.442,0.0764,6,-22.527,0,0.0421,0.917,0.0000177,0.131,0.101,109.075,4
spotify:track:51T0GbjupzFyoJqhnLji47,"Ne Me Quitte Pas","I Put A Spell On You","Nina Simone",1965-06,214533,0,false,sartoip888,2017-02-07T22:20:09Z,"jazz wokalny,jazz blues,soul,soul jazz,jazz,blues","Universal Music Group",0.412,0.244,4,-11.578,0,0.0433,0.941,0.0000478,0.156,0.25,97.855,4
spotify:track:39CyGKIFqMzSuynOR8uilD,"Baltimore","Baltimore","Nina Simone",1978,278866,61,false,sartoip888,2017-03-03T14:00:44Z,"jazz wokalny,jazz blues,soul,soul jazz,jazz,blues","Epic/Associated/Legacy",0.638,0.28,9,-16.516,1,0.0673,0.417,0.439,0.0611,0.734,154.955,4
spotify:track:2HDwGSgOBJD9lE3BF5JEec,"Sinnerman - Live In New York/1965","Pastel Blues (Originals)","Nina Simone",1965-01-01,622000,0,false,sartoip888,2017-03-03T14:09:48Z,"jazz wokalny,jazz blues,soul,soul jazz,jazz,blues","Universal Music Group",0.436,0.543,11,-13.351,0,0.0962,0.654,0.00000935,0.0937,0.663,148.282,4
spotify:track:5VgcM58bybW45T2WgTdbeY,"Ain't Got No - I Got Life (From the musical production ""Hair"")","'Nuff Said (Expanded Edition)","Nina Simone",1968,127800,48,false,sartoip888,2017-03-03T14:20:14Z,"jazz wokalny,jazz blues,soul,soul jazz,jazz,blues","RCA/Legacy",0.557,0.632,7,-11.072,1,0.111,0.442,0.0000224,0.833,0.692,115.097,4
spotify:track:6clCStOPWxBAGyDnHSXlDK,"I Wish I Knew How It Would Feel to Be Free","Miss Simone: The Hits","Nina Simone",2015-06-19,188760,20,false,sartoip888,2017-03-03T14:27:23Z,"jazz wokalny,jazz blues,soul,soul jazz,jazz,blues","RCA/Legacy",0.688,0.494,10,-9.23,1,0.0805,0.761,0,0.128,0.676,122.182,4
