Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:46PLRzCJkGtnrmhSI1apmw,"Emeryten party","Psychopop","Pudelsi",1999-07-15,187640,17,false,sartoip888,2021-06-16T16:48:28Z,"","SP Records",0.565,0.734,2,-8.468,1,0.0618,0.101,0.000391,0.254,0.866,156.965,4
spotify:track:5N0FsCIAs8Jfk33OIwIgzW,"Psychopop","Psychopop","Pudelsi",1999-07-15,200613,18,false,sartoip888,2021-06-16T16:48:39Z,"","SP Records",0.764,0.586,9,-9.846,1,0.0409,0.327,0.000316,0.0677,0.556,111.023,4
spotify:track:25tfQD1yGNI82dLvcXBYaw,"Szpaner","Psychopop","Pudelsi",1999-07-15,172093,14,false,sartoip888,2021-06-16T16:48:39Z,"","SP Records",0.394,0.975,8,-5.781,0,0.0904,0.0428,0,0.323,0.136,89.972,4
spotify:track:455qMmwDGUkpUGlvRuC6bj,"Szuwary","Psychopop","Pudelsi",1999-07-15,175080,24,false,sartoip888,2021-06-16T16:48:40Z,"","SP Records",0.522,0.686,7,-8.727,1,0.036,0.155,0,0.318,0.479,80.99,4
spotify:track:1GzpJwsoo9CoHdoEcWYLI4,"Samba - mamba","Psychopop","Pudelsi",1999-07-15,185480,30,false,sartoip888,2021-06-16T16:48:42Z,"","SP Records",0.734,0.71,4,-8.67,1,0.0923,0.744,0.00152,0.0595,0.674,92.132,4
spotify:track:7wg60oyA8mWpKvJ1RsNQeV,"Noś dobre ciuchy","Psychopop","Pudelsi",1999-07-15,230173,33,false,sartoip888,2021-06-16T16:48:43Z,"","SP Records",0.822,0.402,4,-9.892,1,0.08,0.836,0.0000215,0.0805,0.65,120.089,3
spotify:track:5CkMs27RgtmNSFKx0dbjpV,"Kolacyja","Psychopop","Pudelsi",1999-07-15,292746,12,false,sartoip888,2021-06-16T16:48:43Z,"","SP Records",0.762,0.744,11,-9.85,1,0.223,0.742,0.0641,0.056,0.862,180.072,4
spotify:track:2qd2Wvqvd5wIHHd6IDC00A,"Boski ogród","Psychopop","Pudelsi",1999-07-15,266733,20,false,sartoip888,2021-06-16T16:48:43Z,"","SP Records",0.462,0.374,11,-12.225,0,0.048,0.806,0.0000184,0.0903,0.474,151.791,4
spotify:track:3v11MxgoNWrqZmZdosVYAO,"Lucyfugus","Psychopop","Pudelsi",1999-07-15,235106,13,false,sartoip888,2021-06-16T16:48:43Z,"","SP Records",0.594,0.725,6,-8.999,1,0.078,0.249,0.000466,0.173,0.288,141.035,3
spotify:track:3hS57Q4ZtOXPwU4OV6Nw32,"Jestem sam","Psychopop","Pudelsi",1999-07-15,327893,34,false,sartoip888,2021-06-16T16:48:43Z,"","SP Records",0.68,0.286,6,-10.887,0,0.0365,0.0767,0.000679,0.077,0.4,83.021,3
spotify:track:0RNSkVWYZXnbU22XmSVq2c,"Biada - dada","Psychopop","Pudelsi",1999-07-15,253533,9,false,sartoip888,2021-06-16T16:48:43Z,"","SP Records",0.708,0.564,9,-10.943,1,0.0657,0.662,0.0175,0.0533,0.413,131.86,4
spotify:track:4BeQTiEoLUovU2KsLj2uKK,"Wampir","Psychopop","Pudelsi",1999-07-15,612946,10,false,sartoip888,2021-06-16T16:48:43Z,"","SP Records",0.615,0.555,0,-11.449,1,0.0541,0.732,0.00225,0.194,0.496,81.958,3
spotify:track:35mNWc2mXJHYN0X1VthYFL,"Wiara jak dupa","Viribus unitis","Pudelsi",2019-03-07,264818,12,false,sartoip888,2022-06-27T09:00:16Z,"","Pudel Records",0.742,0.839,2,-6.19,0,0.0337,0.0939,0.0487,0.135,0.904,101.482,4
spotify:track:0OYo4YDugpKcurAks5ZZlp,"Pudel z Guadelupy","Viribus unitis","Pudelsi",2019-03-07,142240,18,false,sartoip888,2022-06-27T09:00:21Z,"","Pudel Records",0.53,0.978,9,-4.11,1,0.0504,0.00254,0.225,0.33,0.823,92.303,4
spotify:track:767FeaBDqp5LjDrPITjeIT,"Konduktorka PKP","Wolnosc Slowa","Pudelsi",2003-03-10,219480,30,false,sartoip888,2022-06-27T09:00:27Z,"","WM Poland/WMI",0.788,0.59,11,-8.038,0,0.0419,0.0454,0.000282,0.212,0.665,90.986,4
