Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:76M5XlCbjsq9YxnEfxgmo4,"Ohne dich","Made In Germany 1995 - 2011 (Special Edition)","Rammstein",2011-12-02,270040,39,false,sartoip888,2019-06-28T12:18:06Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.425,0.574,2,-7.147,0,0.0284,0.00368,0.00342,0.105,0.204,135.868,4
spotify:track:4PdUZBnFKEixgSKsJMIbdd,"Du hast","Made In Germany 1995 - 2011 (Special Edition)","Rammstein",2011-12-02,234706,44,false,sartoip888,2019-06-28T12:18:06Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.6,0.91,9,-6.977,0,0.0376,0.000918,0.124,0.323,0.67,125.116,4
spotify:track:7ntgexOCkjygf59ZBifmdu,"Amerika","Made In Germany 1995 - 2011 (Special Edition)","Rammstein",2011-12-02,227493,40,false,sartoip888,2019-06-28T12:18:06Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.622,0.833,2,-5.911,0,0.0709,0.000389,0.000127,0.397,0.499,125.019,4
spotify:track:5AqeVqjU3bu67klDEEW8eS,"Pussy","Made In Germany 1995 - 2011 (Special Edition)","Rammstein",2011-12-02,238826,37,true,sartoip888,2019-06-28T12:18:06Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.573,0.735,2,-5.797,1,0.039,0.000335,0.118,0.0503,0.518,134.986,4
spotify:track:1Cssm6TMieYSFz8gQyPzxa,"Mein Land","Made In Germany 1995 - 2011 (Special Edition)","Rammstein",2011-12-02,233186,58,false,sartoip888,2019-06-28T12:18:06Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.378,0.905,8,-5.025,1,0.0351,0.000108,0.12,0.223,0.356,176.036,4
spotify:track:1JQFSR3Fm21AhRmqVkD8lP,"Haifisch","Made In Germany 1995 - 2011 (Special Edition)","Rammstein",2011-12-02,222920,41,false,sartoip888,2019-06-28T12:18:06Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.617,0.835,9,-5.214,1,0.0332,0.000106,0.844,0.115,0.265,134.98,4
spotify:track:4wvuBtCV9Vy6aEcwYrYmCc,"Rosenrot","Made In Germany 1995 - 2011 (Special Edition)","Rammstein",2011-12-02,232666,34,false,sartoip888,2019-06-28T12:18:06Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.596,0.626,8,-6.457,1,0.0269,0.0015,0.208,0.117,0.162,114.055,4
spotify:track:3l1cyWLHTAcuOiAY1uy8pQ,"Mutter","Made In Germany 1995 - 2011 (Special Edition)","Rammstein",2011-12-02,268666,36,false,sartoip888,2019-06-28T12:18:06Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.451,0.597,4,-6.959,1,0.0358,0.00276,0.00231,0.125,0.083,116.08,4
spotify:track:5KAYLsMoZbcZlUlhGCETiW,"Mein Herz brennt","Made In Germany 1995 - 2011 (Special Edition)","Rammstein",2011-12-02,279960,43,false,sartoip888,2019-06-28T12:18:06Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.529,0.722,2,-6.709,0,0.0292,0.00393,0.107,0.212,0.138,83.033,4
spotify:track:1XlwQwcbhTqZJLL1hamkJv,"Ich will","Made In Germany 1995 - 2011 (Special Edition)","Rammstein",2011-12-02,217840,39,false,sartoip888,2019-06-28T12:18:06Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.651,0.857,2,-6.271,1,0.0368,0.00101,0.000533,0.0709,0.45,128.039,4
spotify:track:1jj1iCvo4LbprmQnO4Aq87,"Du riechst so gut","Made In Germany 1995 - 2011 (Special Edition)","Rammstein",2011-12-02,272706,43,false,sartoip888,2019-06-28T12:18:06Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.653,0.829,8,-5.783,1,0.0312,0.0000359,0.18,0.355,0.692,111.832,4
spotify:track:1pC9tEVWQn11wRTVZmXHrE,"Keine Lust","Made In Germany 1995 - 2011 (Special Edition)","Rammstein",2011-12-02,222080,39,false,sartoip888,2019-06-28T12:18:06Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.53,0.875,8,-6.228,1,0.0432,0.0000939,0.0215,0.325,0.273,137.999,4
spotify:track:3DR7z746JFIlsLCtCdheKD,"Mein Teil","Made In Germany 1995 - 2011 (Special Edition)","Rammstein",2011-12-02,278933,42,false,sartoip888,2019-06-28T12:18:06Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.489,0.9,2,-6.549,0,0.0595,0.00283,0.0471,0.346,0.223,88.027,4
spotify:track:0BQbA8KuFXqF2BSJQm4tkf,"Engel","Made In Germany 1995 - 2011 (Special Edition)","Rammstein",2011-12-02,263493,44,false,sartoip888,2019-06-28T12:18:06Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.588,0.597,2,-7.168,1,0.0279,0.000556,0.00319,0.408,0.233,96.094,4
spotify:track:0ztkLZzCTqwpPfZZXgCPj2,"Links 2 3 4","Made In Germany 1995 - 2011 (Special Edition)","Rammstein",2011-12-02,220320,40,false,sartoip888,2019-06-28T12:18:06Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.615,0.887,9,-5.277,1,0.0402,0.000141,0.298,0.694,0.618,130.105,4
spotify:track:6VS4C2HnOQPivcjcAAlUMj,"Sonne","Made In Germany 1995 - 2011 (Special Edition)","Rammstein",2011-12-02,245853,59,false,sartoip888,2019-06-28T12:18:06Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.517,0.902,4,-5.954,0,0.0606,0.0388,0.0000938,0.113,0.399,75.048,4
spotify:track:6bvTzuFABmFnAAmVZ3nlMh,"Reise, Reise","Reise, Reise","Rammstein",2004-09-27,251146,60,false,sartoip888,2019-07-01T11:14:35Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.475,0.816,6,-5.502,1,0.0644,0.0027,0.366,0.332,0.248,130.065,4
spotify:track:39RKlCfLoqb8o2aXfpVfjW,"Mein Teil","Reise, Reise","Rammstein",2004-09-27,272413,62,false,sartoip888,2019-07-01T11:19:17Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.47,0.959,10,-4.338,1,0.075,0.00535,0.0101,0.141,0.199,88,4
spotify:track:7fL0Tc5DGA7wLeXzkckiLW,"Dalai Lama","Reise, Reise","Rammstein",2004-09-27,338493,50,false,sartoip888,2019-07-01T11:22:52Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.522,0.907,0,-5.062,1,0.0345,0.00912,0.00000506,0.195,0.5,156.034,4
spotify:track:7eeDeUM9E7b0vkDfRz20Zt,"Keine Lust","Reise, Reise","Rammstein",2004-09-27,222933,61,false,sartoip888,2019-07-01T11:28:08Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.534,0.892,5,-4.877,1,0.0537,0.000256,0.0137,0.232,0.28,137.941,4
spotify:track:6IUhPMJf4iJQ3Go1CkHDsa,"Los","Reise, Reise","Rammstein",2004-09-27,263520,52,false,sartoip888,2019-07-01T11:31:51Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.798,0.585,0,-7.099,1,0.0315,0.00295,0.162,0.106,0.649,124.027,4
spotify:track:4L9UGREMQBfYLmGwlACgTV,"Moskau","Reise, Reise","Rammstein",2004-09-27,256306,59,false,sartoip888,2019-07-01T11:40:10Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.493,0.963,11,-3.41,1,0.0638,0.0000225,0.667,0.305,0.305,147.992,4
spotify:track:0gf9HMeZDXRexbuM5CihZg,"Morgenstern","Reise, Reise","Rammstein",2004-09-27,239866,54,false,sartoip888,2019-07-01T11:45:09Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.514,0.945,8,-4.833,1,0.105,0.00234,0.000158,0.0638,0.409,104.971,4
spotify:track:1pOkWIJCshtoREcAcXmYSk,"Amour","Reise, Reise","Rammstein",2004-09-27,290906,53,false,sartoip888,2019-07-01T11:55:04Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.64,0.529,5,-7.18,0,0.0275,0.0053,0.0919,0.12,0.259,104.023,4
spotify:track:5ArNGisLzrNOIVwWajRRdt,"Mein Herz brennt","Mutter","Rammstein",2001-04-02,279893,68,false,sartoip888,2019-07-01T12:02:19Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.501,0.76,2,-5.802,0,0.0343,0.00268,0.0616,0.152,0.138,83.046,4
spotify:track:3gVhsZtseYtY1fMuyYq06F,"Sonne","Mutter","Rammstein",2001-04-02,272440,77,false,sartoip888,2019-07-01T12:12:31Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.51,0.917,4,-4.806,0,0.0854,0.0054,0.000133,0.396,0.313,75.098,4
spotify:track:5aNH8inF5BsbThDeOLs7zs,"Feuer frei!","Mutter","Rammstein",2001-04-02,188600,69,false,sartoip888,2019-07-01T13:44:01Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.491,0.966,3,-3.974,1,0.0463,0.0000912,0.346,0.153,0.223,95.141,4
spotify:track:176mKgRpX9i9v81eNcsxzf,"Rammstein","Herzeleid","Rammstein",1995-09-24,265040,0,false,sartoip888,2019-07-01T14:40:05Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.658,0.648,11,-8.721,1,0.0448,0.00118,0.791,0.322,0.198,113.942,4
spotify:track:26dOCdbA4tZIJh9pGOLuHx,"Wollt ihr das Bett in Flammen sehen","Herzeleid","Rammstein",1995-09-24,317333,0,false,sartoip888,2019-07-01T14:45:08Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.683,0.756,2,-7.496,1,0.0439,0.0000515,0.42,0.722,0.646,129.926,4
