Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3d9DChrdc6BOeFsbrZ3Is0,"Under the Bridge","Blood Sugar Sex Magik (Deluxe Edition)","Red Hot Chili Peppers",1991-09-24,264306,84,false,sartoip888,2019-08-22T09:45:28Z,"funk rock,rock alternatywny,rock","Warner Records",0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,4
spotify:track:48UPSzbZjgc449aqz8bxox,"Californication","Californication (Deluxe Edition)","Red Hot Chili Peppers",1999-06-08,329733,84,false,sartoip888,2019-08-22T09:45:28Z,"funk rock,rock alternatywny,rock","Warner Records",0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,4
spotify:track:3ZOEytgrvLwQaqXreDs2Jx,"Can't Stop","By the Way (Deluxe Edition)","Red Hot Chili Peppers",2002-07-09,269000,85,false,sartoip888,2019-08-22T09:45:28Z,"funk rock,rock alternatywny,rock","Warner Records",0.618,0.938,9,-3.442,1,0.0456,0.0179,0,0.167,0.875,91.455,4
spotify:track:2aibwv5hGXSgw7Yru8IYTO,"Snow (Hey Oh)","Stadium Arcadium","Red Hot Chili Peppers",2006-05-09,334666,80,false,sartoip888,2019-08-22T09:45:28Z,"funk rock,rock alternatywny,rock","Warner Records",0.427,0.9,11,-3.674,1,0.0499,0.116,0.0000175,0.119,0.599,104.655,4
spotify:track:64BbK9SFKH2jk86U3dGj2P,"Otherside","Californication (Deluxe Edition)","Red Hot Chili Peppers",1999-06-08,255373,84,false,sartoip888,2019-08-22T09:45:28Z,"funk rock,rock alternatywny,rock","Warner Records",0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,4
spotify:track:10Nmj3JCNoMeBQ87uw5j8k,"Dani California","Stadium Arcadium","Red Hot Chili Peppers",2006-05-09,282160,80,false,sartoip888,2019-08-22T09:45:28Z,"funk rock,rock alternatywny,rock","Warner Records",0.556,0.913,0,-2.36,1,0.0437,0.0193,0.00000859,0.346,0.73,96.184,4
spotify:track:1G391cbiT3v3Cywg8T7DM1,"Scar Tissue","Californication (Deluxe Edition)","Red Hot Chili Peppers",1999-06-08,215906,84,false,sartoip888,2019-08-22T09:45:28Z,"funk rock,rock alternatywny,rock","Warner Records",0.595,0.717,0,-4.803,1,0.0295,0.0779,0.00274,0.108,0.547,88.969,4
spotify:track:1f2V8U1BiWaC9aJWmpOARe,"By the Way","By the Way (Deluxe Edition)","Red Hot Chili Peppers",2002-07-09,216933,78,false,sartoip888,2019-08-22T09:45:28Z,"funk rock,rock alternatywny,rock","Warner Records",0.451,0.97,0,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,4
spotify:track:2oaK4JLVnmRGIO9ytBE1bt,"Dark Necessities","The Getaway","Red Hot Chili Peppers",2016-06-17,302000,76,false,sartoip888,2019-08-22T09:45:28Z,"funk rock,rock alternatywny,rock","Warner Records",0.7,0.742,5,-6.777,0,0.0716,0.0722,0.0199,0.11,0.197,91.959,4
spotify:track:0uppYCG86ajpV2hSR3dJJ0,"Give It Away","Blood Sugar Sex Magik (Deluxe Edition)","Red Hot Chili Peppers",1991-09-24,282906,74,false,sartoip888,2019-08-22T09:45:28Z,"funk rock,rock alternatywny,rock","Warner Records",0.666,0.936,7,-9.919,1,0.0476,0.00244,0.086,0.153,0.776,91.577,4
spotify:track:1Y6DGcTCuMAtw8KB3h4W3q,"Around the World","Californication","Red Hot Chili Peppers",1999-06-08,239213,49,true,sartoip888,2019-08-22T09:47:03Z,"funk rock,rock alternatywny,rock","Warner Records",0.51,0.943,0,-3.572,1,0.171,0.00421,0.584,0.062,0.776,96.48,4
spotify:track:3ZwxczCIlt4nA7czQaugvM,"Parallel Universe","Californication","Red Hot Chili Peppers",1999-06-08,269373,47,false,sartoip888,2019-08-22T09:47:03Z,"funk rock,rock alternatywny,rock","Warner Records",0.344,0.984,0,-2.35,0,0.22,0.00103,0.268,0.0741,0.192,124.376,4
spotify:track:2QOMGq8wVTZbLmh7McrvgF,"Scar Tissue","Californication","Red Hot Chili Peppers",1999-06-08,215906,59,false,sartoip888,2019-08-22T09:47:03Z,"funk rock,rock alternatywny,rock","Warner Records",0.437,0.717,0,-4.803,1,0.039,0.0779,0.00274,0.108,0.547,178.085,4
spotify:track:3CeYdUfGPCjKMDYyI1PpCh,"Otherside","Californication","Red Hot Chili Peppers",1999-06-08,255373,59,false,sartoip888,2019-08-22T09:47:03Z,"funk rock,rock alternatywny,rock","Warner Records",0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,4
spotify:track:3s3oiCHAHLWmKZUYk1ozJG,"Get on Top","Californication","Red Hot Chili Peppers",1999-06-08,198066,46,true,sartoip888,2019-08-22T09:47:03Z,"funk rock,rock alternatywny,rock","Warner Records",0.573,0.994,4,-0.407,0,0.342,0.0281,0.00543,0.367,0.416,114.563,4
spotify:track:34KTEhpPjq6IAgQg2yzJAL,"Californication","Californication","Red Hot Chili Peppers",1999-06-08,329733,59,false,sartoip888,2019-08-22T09:47:03Z,"funk rock,rock alternatywny,rock","Warner Records",0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,4
spotify:track:3DmOWG8OD9eR12180fmJqf,"Easily","Californication","Red Hot Chili Peppers",1999-06-08,231333,57,false,sartoip888,2019-08-22T09:47:03Z,"funk rock,rock alternatywny,rock","Warner Records",0.283,0.982,0,-0.32,1,0.0703,0.000204,0.0756,0.0627,0.438,124.149,4
spotify:track:1OgyTG8JVzJghfAWm4gI3C,"Porcelain","Californication","Red Hot Chili Peppers",1999-06-08,163706,42,false,sartoip888,2019-08-22T09:47:03Z,"funk rock,rock alternatywny,rock","Warner Records",0.371,0.259,7,-11.352,1,0.0312,0.443,0.00384,0.0752,0.0467,140.425,3
spotify:track:72PfyhTg1qeoofRWfcyOan,"Emit Remmus","Californication","Red Hot Chili Peppers",1999-06-08,240200,41,false,sartoip888,2019-08-22T09:47:03Z,"funk rock,rock alternatywny,rock","Warner Records",0.354,0.964,5,-1.822,0,0.0973,0.0000508,0.203,0.326,0.526,113.079,4
spotify:track:1suHwrkobDEtey9rQ5wXEh,"I Like Dirt","Californication","Red Hot Chili Peppers",1999-06-08,157626,40,false,sartoip888,2019-08-22T09:47:03Z,"funk rock,rock alternatywny,rock","Warner Records",0.712,0.969,4,-1.503,0,0.161,0.0113,0.0319,0.0904,0.802,105.077,4
spotify:track:0GIDR7iLJgV5fJwdcv8TXo,"This Velvet Glove","Californication","Red Hot Chili Peppers",1999-06-08,225200,58,false,sartoip888,2019-08-22T09:47:03Z,"funk rock,rock alternatywny,rock","Warner Records",0.607,0.953,2,-1.744,0,0.0471,0.0706,0.0000294,0.213,0.315,118.885,4
spotify:track:60zaXKLFGQ4hPH7NtTcfq1,"Savior","Californication","Red Hot Chili Peppers",1999-06-08,292400,41,false,sartoip888,2019-08-22T09:47:03Z,"funk rock,rock alternatywny,rock","Warner Records",0.241,0.824,0,-2.785,1,0.0479,0.00124,0.00000583,0.0955,0.2,83.663,4
spotify:track:2vdZmlUDt7TS71a07nHZ7f,"Purple Stain","Californication","Red Hot Chili Peppers",1999-06-08,253373,41,false,sartoip888,2019-08-22T09:47:03Z,"funk rock,rock alternatywny,rock","Warner Records",0.554,0.875,9,-1.372,1,0.104,0.0157,0.00422,0.0852,0.821,100.988,4
spotify:track:2wwCGuL8lENunDvl0Bxty8,"Right on Time","Californication","Red Hot Chili Peppers",1999-06-08,112533,39,false,sartoip888,2019-08-22T09:47:03Z,"funk rock,rock alternatywny,rock","Warner Records",0.442,0.995,1,-1.674,0,0.126,0.0108,0,0.33,0.639,127.02,4
spotify:track:7Gpr3kKk4BMgItz6UbI73q,"Road Trippin'","Californication","Red Hot Chili Peppers",1999-06-08,204960,64,false,sartoip888,2019-08-22T09:47:03Z,"funk rock,rock alternatywny,rock","Warner Records",0.378,0.474,4,-8.202,0,0.0271,0.28,0.00138,0.117,0.38,102.379,4
