Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:33F3D9Al5ecWuEjztKcDGf,"Shpongle Falls","Are You Shpongled?","Shpongle",1998-10-01,513960,29,false,sartoip888,2021-07-16T19:08:28Z,"psytrance,downtempo","Twisted Records Ltd",0.614,0.462,1,-14.326,1,0.0385,0.0391,0.898,0.682,0.0708,129.988,4
spotify:track:1GEKc8wS1qUP2hkpSeT0wt,"Monster Hit","Are You Shpongled?","Shpongle",1998-10-01,537040,26,false,sartoip888,2021-07-16T19:08:28Z,"psytrance,downtempo","Twisted Records Ltd",0.603,0.565,7,-12.33,1,0.0577,0.0216,0.465,0.306,0.403,80.002,4
spotify:track:0jWCjcVTmrg4WVBh4Cdwh3,"Vapour Rumours","Are You Shpongled?","Shpongle",1998-10-01,626093,23,false,sartoip888,2021-07-16T19:08:28Z,"psytrance,downtempo","Twisted Records Ltd",0.609,0.419,10,-14.135,0,0.0429,0.0229,0.89,0.128,0.039,121.981,4
spotify:track:2j9YZ66Crpyi9Zd16Jut7j,"Shpongle Spores","Are You Shpongled?","Shpongle",1998-10-01,436173,27,false,sartoip888,2021-07-16T19:08:28Z,"psytrance,downtempo","Twisted Records Ltd",0.558,0.42,8,-14.808,1,0.0392,0.0374,0.785,0.121,0.261,156.937,4
spotify:track:7wq2C8M4qBpww8UGV89xwu,"Behind Closed Eyelids","Are You Shpongled?","Shpongle",1998-10-01,749200,24,false,sartoip888,2021-07-16T19:08:28Z,"psytrance,downtempo","Twisted Records Ltd",0.729,0.839,9,-9.145,1,0.041,0.00159,0.5,0.113,0.191,122.003,4
spotify:track:5z0QLEpkbUh00SevSuYxOh,"Divine Moments of Truth","Are You Shpongled?","Shpongle",1998-10-01,620333,40,false,sartoip888,2021-07-16T19:08:28Z,"psytrance,downtempo","Twisted Records Ltd",0.449,0.704,6,-8.83,1,0.0712,0.0194,0.614,0.319,0.273,90.822,3
spotify:track:0zgq3B4xHUPRYcnBBEVvqD,"…And The Day Turned To Night","Are You Shpongled?","Shpongle",1998-10-01,1197800,23,false,sartoip888,2021-07-16T19:08:28Z,"psytrance,downtempo","Twisted Records Ltd",0.616,0.516,10,-14.805,0,0.0517,0.123,0.882,0.342,0.0505,164.994,1
spotify:track:2ox8rQ49FbRBPHf1dSfpjo,"Mycelium Labyrinth","Carnival of Peculiarities","Shpongle",2021-03-05,552996,0,false,sartoip888,2021-07-16T19:08:39Z,"psytrance,downtempo","Twisted Records Ltd",0.51,0.432,2,-12.498,1,0.0336,0.0318,0.407,0.111,0.0377,119.999,1
spotify:track:736GOuz8YWxQwH9xHcKc9u,"Carnival of Peculiarities","Carnival of Peculiarities","Shpongle",2021-03-05,579109,0,false,sartoip888,2021-07-16T19:08:39Z,"psytrance,downtempo","Twisted Records Ltd",0.621,0.755,2,-9.67,1,0.0418,0.0027,0.847,0.703,0.276,120.013,1
spotify:track:1VJvz90LE63G5tJMcmkNim,"Dr. Vinklestein Says","Carnival of Peculiarities","Shpongle",2021-03-05,397419,0,false,sartoip888,2021-07-16T19:08:39Z,"psytrance,downtempo","Twisted Records Ltd",0.468,0.917,4,-7.073,0,0.0481,0.00529,0.877,0.16,0.411,94.969,4
spotify:track:0BInKTLLdeZRHbiq2kXnS3,"Remember the Future","Codex VI","Shpongle",2017-10-30,439320,28,false,sartoip888,2021-07-16T19:09:02Z,"psytrance,downtempo","Twisted Records Ltd",0.559,0.782,4,-10.101,0,0.0427,0.0166,0.844,0.15,0.522,167.965,4
spotify:track:44JTGmAOP1jZafUlGoVDrK,"The Magumba State","Codex VI","Shpongle",2017-10-30,572080,26,false,sartoip888,2021-07-16T19:09:02Z,"psytrance,downtempo","Twisted Records Ltd",0.314,0.549,7,-11.931,1,0.0505,0.00802,0.7,0.678,0.177,168,3
spotify:track:02PFC2SvTw6GQXT4yhzBHF,"Empty Branes","Codex VI","Shpongle",2017-10-30,618320,27,false,sartoip888,2021-07-16T19:09:02Z,"psytrance,downtempo","Twisted Records Ltd",0.565,0.591,5,-12.202,1,0.0289,0.355,0.896,0.138,0.256,154.982,4
spotify:track:60pHvmPyNX5ZWMKvdAHMWV,"Are We There Yet ?","Codex VI","Shpongle",2017-10-30,372813,22,false,sartoip888,2021-07-16T19:09:02Z,"psytrance,downtempo","Twisted Records Ltd",0.586,0.694,6,-13.694,1,0.0465,0.0553,0.748,0.102,0.0398,134.028,4
spotify:track:5oSMk9kq7OtXj7d57Gkm45,"Herr Gringleflapper’s Secret Stash Box","Codex VI","Shpongle",2017-10-30,572933,20,false,sartoip888,2021-07-16T19:09:02Z,"psytrance,downtempo","Twisted Records Ltd",0.565,0.746,2,-10.236,1,0.0338,0.00136,0.796,0.119,0.404,144.001,1
spotify:track:2U67EmIoFt4YGBuJHJ6lmE,"Strange Planet","Codex VI","Shpongle;Astrix",2017-10-30,535653,38,false,sartoip888,2021-07-16T19:09:02Z,"psytrance,downtempo,trance,progresywny trance","Twisted Records Ltd",0.665,0.54,2,-14.452,1,0.0398,0.0541,0.846,0.11,0.034,110.005,4
spotify:track:0EYzntEhyjOQwmXgpRrVor,"I Woke Up As a Shlummutz","Codex VI","Shpongle",2017-10-30,413253,23,false,sartoip888,2021-07-16T19:09:02Z,"psytrance,downtempo","Twisted Records Ltd",0.441,0.556,0,-11.211,1,0.0298,0.0084,0.842,0.603,0.142,139.969,4
spotify:track:1Yqdvpkba09BSjZlly5jNl,"Celestial Intoxication","Codex VI","Shpongle",2017-10-30,548880,26,false,sartoip888,2021-07-16T19:09:02Z,"psytrance,downtempo","Twisted Records Ltd",0.453,0.488,9,-14.518,0,0.0408,0.184,0.827,0.0923,0.291,134.923,4
spotify:track:5QMYMJtTxjk4MxM4P0Z2IK,"Hammock Therapy","Codex VI","Shpongle",2017-10-30,135786,39,false,sartoip888,2021-07-16T19:09:02Z,"psytrance,downtempo","Twisted Records Ltd",0.405,0.0333,7,-25.319,1,0.072,0.994,0.83,0.106,0.166,146.462,1
spotify:track:1gewdzKu1mlHGHoYyGBmgA,"Botanical Dimensions - Remastered, 2019","Nothing Lasts...but Nothing Is Lost (Remastered, 2019)","Shpongle",2020-01-09,277200,28,false,sartoip888,2021-07-16T19:09:18Z,"psytrance,downtempo","Twisted Records Ltd",0.651,0.622,11,-11.199,0,0.031,0.0194,0.00673,0.291,0.291,135.029,3
spotify:track:03cIxujvTyV0sNShMoONGH,"Outer Shpongolia - Remastered, 2019","Nothing Lasts...but Nothing Is Lost (Remastered, 2019)","Shpongle",2020-01-09,152933,30,false,sartoip888,2021-07-16T19:09:18Z,"psytrance,downtempo","Twisted Records Ltd",0.589,0.855,4,-8.842,0,0.0308,0.00161,0.828,0.287,0.59,135.004,4
spotify:track:25QAFXl8QgxKW6hNaZYmzX,"Levitation Nation - Remastered, 2019","Nothing Lasts...but Nothing Is Lost (Remastered, 2019)","Shpongle",2020-01-09,220426,31,false,sartoip888,2021-07-16T19:09:18Z,"psytrance,downtempo","Twisted Records Ltd",0.537,0.99,11,-6.835,0,0.0565,0.00495,0.799,0.462,0.349,134.914,4
spotify:track:5iKJnwhcfjGfT9iX8bRyVB,"Periscopes of Consciousness - Remastered, 2019","Nothing Lasts...but Nothing Is Lost (Remastered, 2019)","Shpongle",2020-01-09,113786,28,false,sartoip888,2021-07-16T19:09:18Z,"psytrance,downtempo","Twisted Records Ltd",0.534,0.765,4,-7.657,1,0.0321,0.0000588,0.103,0.337,0.126,135.015,4
spotify:track:2hGz5tpffg5xbtlHL4Twky,"Schmaltz Herring - Remastered, 2019","Nothing Lasts...but Nothing Is Lost (Remastered, 2019)","Shpongle",2020-01-09,140800,27,false,sartoip888,2021-07-16T19:09:18Z,"psytrance,downtempo","Twisted Records Ltd",0.518,0.983,4,-5.735,0,0.044,0.0177,0.493,0.0924,0.627,135.019,4
spotify:track:2eWcJpD0DRTYBAVz6gtMRT,"Nothing Lasts... - Remastered, 2019","Nothing Lasts...but Nothing Is Lost (Remastered, 2019)","Shpongle",2020-01-09,268840,26,false,sartoip888,2021-07-16T19:09:18Z,"psytrance,downtempo","Twisted Records Ltd",0.547,0.774,11,-9.11,0,0.0321,0.0117,0.79,0.701,0.315,150.04,1
spotify:track:57vp4b3xku5eQoKYKfww4g,"Shnitzled in the Negev - Remastered, 2019","Nothing Lasts...but Nothing Is Lost (Remastered, 2019)","Shpongle",2020-01-09,257560,25,false,sartoip888,2021-07-16T19:09:18Z,"psytrance,downtempo","Twisted Records Ltd",0.533,0.806,11,-7.54,0,0.0313,0.00809,0.796,0.625,0.735,150.014,1
