Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:49uGQ241IJyzPAcc83yHXk,"CYE","SMOLIK XX","Smolik;Kasia Kurzawska",2021-10-12,206000,10,false,sartoip888,2023-05-15T12:41:51Z,"","Kayax Production & Publishing",0.582,0.648,7,-6.668,0,0.035,0.445,0.000371,0.104,0.512,114.992,4
spotify:track:5R9MqBDqDhDm4N3u3Fus8c,"Hollywood","SMOLIK / KEV FOX","SMOLIK / KEV FOX;Natalia Grosiak",2015-10-23,208666,18,false,sartoip888,2023-05-16T14:24:50Z,"","Kayax Production & Publishing",0.38,0.277,9,-12.168,0,0.0478,0.934,0.165,0.0698,0.112,109.024,4
spotify:track:2RHDd9J5mDHHauXfk9ldlZ,"S.Dreams","3","Smolik;Sofa",2006-11-13,445640,30,false,sartoip888,2025-04-23T19:12:14Z,"","Kayax Production & Publishing",0.572,0.588,7,-10.149,0,0.174,0.334,0.00521,0.138,0.352,133.271,5
spotify:track:1R2uWTetYpsMSyZC3iWzvm,"Regretfully yours","SMOLIK / KEV FOX","SMOLIK / KEV FOX;Y(BOKKA)",2015-10-23,249506,24,false,sartoip888,2025-04-23T19:12:20Z,"","Kayax Production & Publishing",0.361,0.384,0,-8.931,1,0.0306,0.478,0.00494,0.145,0.12,71.356,4
spotify:track:32i81OJeiVDR5IPsn1BU30,"Mind the bright lights","SMOLIK / KEV FOX","SMOLIK / KEV FOX",2015-10-23,259120,29,false,sartoip888,2025-04-23T19:12:22Z,"","Kayax Production & Publishing",0.606,0.643,0,-8.024,1,0.0367,0.233,0.00552,0.121,0.187,125.961,4
spotify:track:0PsCltC6FxjcX3moLWfL7v,"On My Own","Parsley","Julia Pietrucha",2016-04-15,263320,30,false,sartoip888,2025-04-23T19:21:58Z,"","Parsley Records",0.476,0.118,1,-10.527,1,0.0327,0.977,0.00102,0.0821,0.233,119.688,4
spotify:track:6J3nllp4j1tuJuy8Qj4vT0,"Królowa śniegu","Prąd","Natalia Przybysz",2014-11-13,255584,24,false,sartoip888,2025-04-23T19:22:00Z,"","Parlophone Poland",0.444,0.325,11,-8.504,0,0.0302,0.681,0,0.246,0.317,143.807,4
spotify:track:6DCuThSDREccmbflJldKMa,"Andrew","Proxy","Julia Marcell",2016-04-12,299426,21,false,sartoip888,2025-04-23T19:22:01Z,"","Mystic Production",0.559,0.477,8,-7.65,0,0.0272,0.543,0.0107,0.123,0.246,128.121,4
spotify:track:4sJlsezmKxEifqAwXfg1vm,"Horses","Clashes","Brodka",2016-05-13,238733,33,false,sartoip888,2025-04-23T19:22:05Z,"","Play It Again Sam",0.331,0.431,2,-8.578,0,0.0283,0.0145,0.121,0.107,0.214,86.686,3
spotify:track:3a5Ry6UhHteKZiTGtI4t7l,"Ptasiek","Miód i dym","Anita Lipnicka;The Hats",2017-11-17,237500,30,false,sartoip888,2025-04-23T19:22:07Z,"","WM Poland/WMI",0.566,0.477,1,-9.735,1,0.0284,0.235,0.0151,0.365,0.149,95.01,4
spotify:track:4RhBGvRbkcpxH4EHf0iT2J,"Różowy / Niebieski","Różowy / Niebieski","Ania MoMo;Pablopavo",2019,204556,12,false,sartoip888,2025-04-23T19:22:08Z,"","Ania MoMo",0.44,0.467,4,-12.131,0,0.0407,0.141,0.59,0.0981,0.445,110.566,4
spotify:track:4ZQQi9YOfolQpYdB4560TI,"Angel Of The Morning / Bangkok","Chaos pełen idei","Wojtek Mazolewski;Natalia Przybysz",2016-10-28,360746,13,false,sartoip888,2025-04-23T19:22:09Z,"","Agora S.A.",0.456,0.229,7,-10.839,1,0.0272,0.864,0.00032,0.151,0.0506,98.929,4
spotify:track:3SGjuLuxOCW62GI6kdxdJP,"Run","SMOLIK / KEV FOX","SMOLIK / KEV FOX",2015-10-23,222693,34,false,sartoip888,2025-04-23T19:22:13Z,"","Kayax Production & Publishing",0.744,0.792,7,-5.586,0,0.0435,0.411,0.000273,0.0771,0.367,117.965,4
spotify:track:18ELphqPyGnlXUGI4EHvyq,"A million cheap tricks","3","Smolik;Maya Singh",2006-11-13,239786,18,false,sartoip888,2025-04-23T19:22:14Z,"","Kayax Production & Publishing",0.534,0.47,6,-9.355,0,0.0331,0.289,0.0227,0.12,0.732,103.816,4
spotify:track:4kSYgPBlNWnu5m18UaR1h9,"Little older","SMOLIK / KEV FOX","SMOLIK / KEV FOX",2015-10-23,228840,20,false,sartoip888,2025-04-23T19:22:14Z,"","Kayax Production & Publishing",0.56,0.296,0,-14.592,1,0.0295,0.866,0.544,0.129,0.108,138.913,4
spotify:track:4M8axTYUCCVtkDuYIhKBoO,"Vera lynn","SMOLIK / KEV FOX","SMOLIK / KEV FOX",2015-10-23,195640,20,false,sartoip888,2025-04-23T19:22:16Z,"","Kayax Production & Publishing",0.571,0.803,11,-9.588,0,0.0577,0.319,0.00368,0.0744,0.258,116.007,4
spotify:track:0yR6qTbIFnDx28kbIsDa9f,"Dwa ognie","Radar","Fisz Emade Tworzywo",2019-03-08,352507,47,false,sartoip888,2025-04-23T19:22:16Z,"","Grand Imperial / Dwa ognie",0.708,0.742,4,-6.039,1,0.027,0.178,0.0054,0.441,0.496,103.022,4
