Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6gCVA6ja6g0foIsWv0RuSZ,"ATWA","Toxicity","System Of A Down",2001-09-04,176200,72,false,sartoip888,2022-07-26T08:13:38Z,"nu metal,metal,metal alternatywny,rap metal,rock","American/Columbia",0.376,0.787,5,-4.731,0,0.0394,0.00378,0,0.548,0.371,87.102,4
spotify:track:0snQkGI5qnAmohLE7jTsTn,"Toxicity","Toxicity","System Of A Down",2001-09-04,218933,84,false,sartoip888,2022-07-26T08:13:28Z,"nu metal,metal,metal alternatywny,rap metal,rock","American/Columbia",0.413,0.873,8,-4.151,1,0.0536,0.000264,0.00249,0.204,0.48,116.68,3
spotify:track:2DlHlPMa4M17kufBvI2lEN,"Chop Suey!","Toxicity","System Of A Down",2001-09-04,210240,84,false,sartoip888,2022-07-26T08:13:26Z,"nu metal,metal,metal alternatywny,rap metal,rock","American/Columbia",0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,4
spotify:track:4xBHZ2Mr0gCdFYXrPZuYXO,"Lonely Day","Hypnotize","System Of A Down",2005-11-18,167906,23,false,sartoip888,2022-07-26T08:13:33Z,"nu metal,metal,metal alternatywny,rap metal,rock","American/Columbia",0.458,0.783,8,-3.226,0,0.0322,0.346,0.00000614,0.13,0.224,113.072,3
spotify:track:3AwLxSqo1jOOMpNsgxqRNE,"Prison Song","Toxicity","System Of A Down",2001-09-04,201160,70,true,sartoip888,2022-07-26T08:13:59Z,"nu metal,metal,metal alternatywny,rap metal,rock","American/Columbia",0.493,0.974,1,-3.252,1,0.135,0.0202,0.0000831,0.182,0.354,99.647,4
spotify:track:0a2kVvbCbk52gmeFQFHNaG,"Jet Pilot","Toxicity","System Of A Down",2001-09-04,126400,60,false,sartoip888,2022-07-26T08:14:02Z,"nu metal,metal,metal alternatywny,rap metal,rock","American/Columbia",0.418,0.964,8,-4.159,1,0.0387,0.000396,0.000316,0.399,0.928,96.316,4
spotify:track:4HIKcEKSijQLW5YNLsdLzt,"X","Toxicity","System Of A Down",2001-09-04,118160,60,false,sartoip888,2022-07-26T08:14:05Z,"nu metal,metal,metal alternatywny,rap metal,rock","American/Columbia",0.492,0.948,0,-3.549,1,0.0525,0.00118,0.00641,0.295,0.523,90.569,4
spotify:track:58lcznIKSNlOVdmklrPA99,"Science","Toxicity","System Of A Down",2001-09-04,162666,60,false,sartoip888,2022-07-26T08:14:11Z,"nu metal,metal,metal alternatywny,rap metal,rock","American/Columbia",0.504,0.849,0,-3.606,1,0.0329,0.000497,0.185,0.11,0.513,89.295,4
spotify:track:1a3X8Y882vwSnlnHqf9ztF,"Shimmy","Toxicity","System Of A Down",2001-09-04,110800,60,false,sartoip888,2022-07-26T08:14:13Z,"nu metal,metal,metal alternatywny,rap metal,rock","American/Columbia",0.433,0.961,2,-3.556,1,0.0459,0.000941,0.0266,0.0438,0.703,118.97,4
spotify:track:6VzV6RI7641o57TuqfGRpj,"Psycho","Toxicity","System Of A Down",2001-09-04,225893,64,false,sartoip888,2022-07-26T08:14:16Z,"nu metal,metal,metal alternatywny,rap metal,rock","American/Columbia",0.467,0.67,7,-4.063,1,0.0663,0.00162,0.0001,0.195,0.457,146.223,4
spotify:track:4e9eGQYsOiBcftrWXwsVco,"Aerials","Toxicity","System Of A Down",2001-09-04,235053,83,false,sartoip888,2022-07-26T08:14:17Z,"nu metal,metal,metal alternatywny,rap metal,rock","American/Columbia",0.364,0.922,0,-4.217,0,0.0567,0.000915,0.0346,0.0697,0.227,79.342,4
spotify:track:0aueluj36PA9LNoj7d9SFb,"Arto","Toxicity","System Of A Down",2001-09-04,133573,53,false,sartoip888,2022-07-26T08:14:18Z,"nu metal,metal,metal alternatywny,rap metal,rock","American/Columbia",0.627,0.793,1,-11.767,1,0.0542,0.685,0.667,0.104,0.13,122.9,4
spotify:track:5Q7m1Km199HHMB926xxbrs,"War?","System Of A Down (Deluxe Version)","System Of A Down",1998,160493,18,false,sartoip888,2022-07-26T12:22:00Z,"nu metal,metal,metal alternatywny,rap metal,rock","American/Columbia",0.365,0.939,8,-3.523,1,0.0831,0.0831,0.0000558,0.0947,0.527,98.646,4
