Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3mqdOKo8tkWhRhVadXJj3v,"Killing","Buzzin' About","The Apples",2008-06-02,260626,31,false,sartoip888,2019-04-16T14:16:38Z,"funk,jazz funk","Freestyle Records",0.624,0.475,0,-11.365,0,0.366,0.00202,0.799,0.0985,0.436,98.928,4
spotify:track:5rR83vTDrxX4Q2wqDKnfY1,"The Bell Step","Buzzin' About","The Apples",2008-06-02,249173,16,false,sartoip888,2019-04-16T14:16:38Z,"funk,jazz funk","Freestyle Records",0.705,0.547,5,-12.723,0,0.0827,0.0756,0.867,0.0916,0.899,152.555,4
spotify:track:4vbwMykF3YKEdiwHiGTn0D,"In the Air (feat. Fred Wesley)","Kings","The Apples;Fred Wesley",2010-09-06,249693,16,false,sartoip888,2019-04-16T14:16:38Z,"funk,jazz funk,acid jazz","Freestyle Records",0.738,0.604,10,-5.139,0,0.14,0.172,0.0069,0.0915,0.739,97.278,4
spotify:track:6u5hBRPfkrn2zgqjYllEaM,"Stack It Up!","Buzzin' About","The Apples",2008-06-02,210706,15,false,sartoip888,2019-04-16T14:16:38Z,"funk,jazz funk","Freestyle Records",0.679,0.589,6,-11.677,1,0.214,0.0968,0.652,0.0301,0.965,147.187,4
spotify:track:7obiSEK2L0agXNZxzPhWG8,"Run This Town","Buzzin' About","The Apples",2008-06-02,350546,12,false,sartoip888,2019-04-16T14:16:38Z,"funk,jazz funk","Freestyle Records",0.565,0.724,6,-12.324,1,0.0517,0.0314,0.723,0.317,0.705,121.525,4
spotify:track:1vsDnQnqwNMtMvRBqUeWaU,"Howlin' with Fred (feat. Fred Wesley)","Kings","The Apples;Fred Wesley",2010-09-06,279346,14,false,sartoip888,2019-04-16T14:16:38Z,"funk,jazz funk,acid jazz","Freestyle Records",0.793,0.656,0,-6.031,1,0.101,0.148,0.768,0.0657,0.826,112.054,4
spotify:track:3YzVxFwkO9NHXYpeNsOnrO,"Debil's Dream","Buzzin' About","The Apples",2008-06-02,293200,10,false,sartoip888,2019-04-16T14:16:38Z,"funk,jazz funk","Freestyle Records",0.666,0.57,2,-11.594,1,0.247,0.0253,0.556,0.0848,0.542,117.416,4
spotify:track:0y4NoLjln4UJN79YsF2ic5,"Lou-E-zee-YANAA","Buzzin' About","The Apples",2008-06-02,354800,10,false,sartoip888,2019-04-16T14:16:38Z,"funk,jazz funk","Freestyle Records",0.626,0.657,4,-11.872,1,0.0441,0.0153,0.448,0.14,0.509,102.572,4
spotify:track:6yRjnUeLVl5eAEZ6WcF8uD,"Wowee Al Zowee","Dragonz","The Apples",2016-09-01,231951,6,false,sartoip888,2019-04-16T14:16:38Z,"funk,jazz funk","Todres Records",0.716,0.897,0,-4.971,0,0.0881,0.0101,0.922,0.208,0.603,99.947,4
spotify:track:2IxihwjY1jhBGZQcYo6llI,"Kings (feat. Fred Wesley)","Kings","The Apples;Fred Wesley",2010-09-06,230733,8,false,sartoip888,2019-04-16T14:16:38Z,"funk,jazz funk,acid jazz","Freestyle Records",0.632,0.58,0,-5.889,0,0.0378,0.182,0.857,0.234,0.796,92.175,4
