Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:14XWXWv5FoCbFzLksawpEe,"Riders on the Storm","L.A. Woman","The Doors",1971-04-19,434720,73,false,sartoip888,2019-10-03T13:22:56Z,"rock psychodeliczny,rock klasyczny,acid rock","Rhino/Elektra",0.55,0.722,11,-11.729,0,0.0283,0.25,0.0129,0.11,0.716,103.886,4
spotify:track:1Jmqubf9kGkWeYQXQKImL5,"People Are Strange","Strange Days","The Doors",1967-09-25,130173,72,false,sartoip888,2019-10-03T13:23:20Z,"rock psychodeliczny,rock klasyczny,acid rock","Rhino/Elektra",0.699,0.467,4,-8.578,0,0.0375,0.685,0,0.315,0.764,119.287,4
spotify:track:0JNZGIavoUrdup1NsgJOQs,"Alabama Song (Whisky Bar)","The Doors","The Doors",1967-01-04,197400,58,false,sartoip888,2019-10-07T10:16:40Z,"rock psychodeliczny,rock klasyczny,acid rock","Rhino/Elektra",0.568,0.645,5,-8.363,1,0.0416,0.543,0,0.191,0.901,170.676,4
spotify:track:5uvosCdMlFdTXhoazkTI5R,"Light My Fire","The Doors","The Doors",1967-01-04,429760,70,false,sartoip888,2019-10-07T10:19:50Z,"rock psychodeliczny,rock klasyczny,acid rock","Rhino/Elektra",0.413,0.725,3,-5.787,0,0.0324,0.369,0.0000216,0.0905,0.44,124.618,4
spotify:track:4WFVX3E568hdAixIj3U222,"Strange Days","Strange Days","The Doors",1967-09-25,186560,54,false,sartoip888,2019-10-07T11:36:00Z,"rock psychodeliczny,rock klasyczny,acid rock","Rhino/Elektra",0.411,0.763,9,-6.738,0,0.0541,0.199,0.00447,0.329,0.462,121.57,4
spotify:track:5onlaW8X1ps8VS4DhxpFom,"You're Lost Little Girl","Strange Days","The Doors",1967-09-25,180573,50,false,sartoip888,2019-10-07T11:36:09Z,"rock psychodeliczny,rock klasyczny,acid rock","Rhino/Elektra",0.509,0.386,4,-10.401,0,0.0269,0.63,0.0000618,0.125,0.389,111.7,4
spotify:track:67HxeUADW4H3ERfaPW59ma,"Love Me Two Times","Strange Days","The Doors",1967-09-25,195106,65,false,sartoip888,2019-10-07T11:42:18Z,"rock psychodeliczny,rock klasyczny,acid rock","Rhino/Elektra",0.684,0.698,9,-6.219,1,0.041,0.332,0.00000516,0.122,0.839,132.846,4
spotify:track:6vcqR6rCL2k4EDhqH8gzeO,"Horse Latitudes","Strange Days","The Doors",1967-09-25,95226,37,false,sartoip888,2019-10-07T11:47:56Z,"rock psychodeliczny,rock klasyczny,acid rock","Rhino/Elektra",0.208,0.954,2,-10.833,0,0.334,0.657,0.0000201,0.685,0.0404,44.323,4
spotify:track:32bJv8V2Xgi5mtxdPcsi8B,"Spanish Caravan","Waiting for the Sun","The Doors",1968-07-03,178306,50,false,sartoip888,2019-10-07T14:43:23Z,"rock psychodeliczny,rock klasyczny,acid rock","Rhino",0.38,0.388,4,-16.123,0,0.0413,0.288,0.0175,0.322,0.265,139.206,4
spotify:track:5Q2Im8o4RthlAMkvUMYwGj,"Love Street","Waiting for the Sun","The Doors",1968-07-03,169533,57,false,sartoip888,2019-10-07T14:43:38Z,"rock psychodeliczny,rock klasyczny,acid rock","Rhino",0.709,0.305,9,-14.809,0,0.0397,0.687,0,0.265,0.483,118.821,4
