Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6t7114vjifhk37tqCO3yRx,"Los Angeles Mood (Chromium Descensions) - Instrumental","Night on Earth","Tom Waits",1991,155306,17,false,sartoip888,2017-02-16T10:13:00Z,"wokaliści i autorzy piosenek,gotyk południowy","Jalma Music",0.355,0.0064,9,-31.759,0,0.0454,0.972,0.636,0.122,0.227,122.489,4
spotify:track:1zDaxoiAxuE0DaxAThksx0,"On the Other Side of the World - Instrumental","Night on Earth","Tom Waits",1991,238800,12,false,sartoip888,2017-02-16T10:59:21Z,"wokaliści i autorzy piosenek,gotyk południowy","Jalma Music",0.486,0.0277,5,-28.053,0,0.0401,0.89,0.901,0.111,0.18,103.593,3
spotify:track:013byc6bSjYW33Hi2CDfsa,"Cold Cold Ground","Big Time (Reissue)","Tom Waits",1988-09-01,206000,0,false,sartoip888,2017-02-16T11:16:10Z,"wokaliści i autorzy piosenek,gotyk południowy","Universal Music Group",0.427,0.225,0,-18.332,1,0.0388,0.85,0.0000124,0.868,0.376,137.884,4
spotify:track:0d5fE8KWgXOgCJrFDrDkWt,"Strange Weather","Big Time (Reissue)","Tom Waits",1988-09-01,215266,0,false,sartoip888,2017-02-16T11:34:21Z,"wokaliści i autorzy piosenek,gotyk południowy","Universal Music Group",0.542,0.177,9,-19.674,0,0.04,0.789,0,0.961,0.371,101.055,4
spotify:track:3ar6hxBPPb4lCope77mB51,"Clap Hands","Big Time (Reissue)","Tom Waits",1988-09-01,296706,0,false,sartoip888,2017-02-16T11:57:43Z,"wokaliści i autorzy piosenek,gotyk południowy","Universal Music Group",0.532,0.343,6,-20.213,0,0.136,0.614,0.0000185,0.952,0.656,144.682,4
spotify:track:0KgEFupF6s1XGKxUkf49Zn,"Singapore","Rain Dogs","Tom Waits",1985-09-30,164533,0,false,sartoip888,2017-02-16T12:11:12Z,"wokaliści i autorzy piosenek,gotyk południowy","Universal Music Group",0.798,0.524,11,-15.022,0,0.142,0.383,0,0.115,0.879,99.503,4
spotify:track:2suhtJ9DIk1QMcF4sJN0bp,"Cemetery Polka","Rain Dogs","Tom Waits",1985-09-30,106600,0,false,sartoip888,2017-02-16T12:17:03Z,"wokaliści i autorzy piosenek,gotyk południowy","Universal Music Group",0.711,0.624,1,-14.252,1,0.0414,0.257,0.0000177,0.0622,0.968,166.819,4
spotify:track:3eo72k87jxVY8zoRefxkpy,"Jockey Full Of Bourbon","Rain Dogs","Tom Waits",1985-09-30,166040,0,false,sartoip888,2017-02-16T12:52:15Z,"wokaliści i autorzy piosenek,gotyk południowy","Universal Music Group",0.675,0.501,11,-16.45,1,0.0608,0.912,0.807,0.277,0.964,82.756,4
spotify:track:0mHYjGxsS3g5rg71K8Lva1,"Tango Till They're Sore","Rain Dogs","Tom Waits",1985-09-30,171409,0,false,sartoip888,2017-02-16T12:55:07Z,"wokaliści i autorzy piosenek,gotyk południowy","Universal Music Group",0.674,0.226,10,-15.29,0,0.0389,0.926,0.00000701,0.116,0.68,98.261,4
spotify:track:44ZsUnPKQb5U7b0gDT7j4X,"Diamonds And Gold","Rain Dogs","Tom Waits",1985-09-30,152640,0,false,sartoip888,2017-02-16T13:00:59Z,"wokaliści i autorzy piosenek,gotyk południowy","Universal Music Group",0.819,0.247,0,-16.957,0,0.114,0.424,0.0022,0.318,0.369,120.448,3
spotify:track:4XgznOQdMWI4RrAu3DUPT5,"Hang Down Your Head","Rain Dogs","Tom Waits",1985-09-30,151800,0,false,sartoip888,2017-02-16T13:03:49Z,"wokaliści i autorzy piosenek,gotyk południowy","Universal Music Group",0.618,0.419,1,-15.452,1,0.0373,0.244,0.501,0.087,0.806,114.81,4
spotify:track:05cpatXYctFtnugaORfwM9,"Time","Rain Dogs","Tom Waits",1985-09-30,234800,0,false,sartoip888,2017-02-16T13:06:10Z,"wokaliści i autorzy piosenek,gotyk południowy","Universal Music Group",0.368,0.116,2,-22.515,1,0.0417,0.746,0.000257,0.139,0.295,133.191,3
spotify:track:7M9BT26DAgCpbNmn9V28MS,"Rain Dogs","Rain Dogs","Tom Waits",1985-09-30,175933,0,false,sartoip888,2017-02-16T13:09:31Z,"wokaliści i autorzy piosenek,gotyk południowy","Universal Music Group",0.782,0.295,2,-13.788,1,0.0844,0.494,0.00000305,0.0762,0.566,135.08,4
spotify:track:6T9DiWjgZCt8XSGgAwkXKQ,"9th & Hennepin","Rain Dogs","Tom Waits",1985-09-30,116866,0,false,sartoip888,2017-02-16T13:13:40Z,"wokaliści i autorzy piosenek,gotyk południowy","Universal Music Group",0.584,0.155,9,-20.666,0,0.119,0.831,0.0000617,0.151,0.47,137.858,4
spotify:track:1o9TkTkdJm7m10kJEYgnww,"Bride Of Rain Dog","Rain Dogs","Tom Waits",1985-09-30,68600,0,false,sartoip888,2017-02-16T13:33:58Z,"wokaliści i autorzy piosenek,gotyk południowy","Universal Music Group",0.66,0.346,3,-14.432,1,0.0586,0.575,0.0553,0.194,0.8,124.704,4
spotify:track:2UZxUSA4TxbS5tXUB5QSoL,"How's It Gonna End - Remastered","Real Gone (Remastered)","Tom Waits",2004-10-05,290680,34,false,sartoip888,2019-05-30T12:25:04Z,"wokaliści i autorzy piosenek,gotyk południowy","Anti/Epitaph",0.674,0.229,9,-16.703,0,0.329,0.838,0.00361,0.0981,0.628,110.929,4
