Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6ZsZxNP4Iwdyp3kd5oFFQN,"The Grudge","Lateralus","TOOL",2001-05-15,515080,60,false,sartoip888,2019-09-12T13:55:10Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.423,0.795,2,-7.408,1,0.0374,0.000162,0.843,0.269,0.307,96.045,5
spotify:track:5aVJ5rv7ghWSkQaqP726tE,"Eon Blue Apocalypse","Lateralus","TOOL",2001-05-15,64293,50,false,sartoip888,2019-09-12T13:55:10Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.158,0.0449,7,-26.389,1,0.0377,0.143,0.845,0.413,0.0699,104.11,4
spotify:track:0Klbxk3g96Qae4DbCnUNcT,"The Patient","Lateralus","TOOL",2001-05-15,433920,58,false,sartoip888,2019-09-12T13:55:10Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.458,0.526,9,-9.773,0,0.0338,0.00151,0.752,0.102,0.388,110.767,5
spotify:track:4KVTRIZIj1WWIxitbREDnK,"Mantra","Lateralus","TOOL",2001-05-15,72680,49,false,sartoip888,2019-09-12T13:55:10Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.254,0.0112,0,-36.756,0,0.0325,0.799,0.994,0.1,0.0381,61.415,4
spotify:track:55mJleti2WfWEFNFcBduhc,"Schism","Lateralus","TOOL",2001-05-15,403533,71,false,sartoip888,2019-09-12T13:55:10Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.567,0.714,9,-8.512,0,0.0302,0.0012,0.417,0.186,0.191,107.441,3
spotify:track:3EeoMkZF8NhX9FdCSxG8MB,"Parabol","Lateralus","TOOL",2001-05-15,184573,59,false,sartoip888,2019-09-12T13:55:10Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.283,0.0489,9,-24.949,1,0.0413,0.545,0.307,0.0897,0.0886,76.128,4
spotify:track:1vxu8vMNshg5J8z3oA7QJZ,"Parabola","Lateralus","TOOL",2001-05-15,363680,66,false,sartoip888,2019-09-12T13:55:10Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.314,0.929,9,-6.238,1,0.105,0.0000203,0.516,0.139,0.285,100.935,4
spotify:track:0Cnx6PGogxIE2RnDcnoeK8,"Ticks & Leeches","Lateralus","TOOL",2001-05-15,487546,55,false,sartoip888,2019-09-12T13:55:10Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.344,0.717,9,-9.427,1,0.0639,0.0000938,0.793,0.0663,0.276,99.073,4
spotify:track:7tvuLLroI0n6uYBWuFig5d,"Lateralus","Lateralus","TOOL",2001-05-15,562706,65,false,sartoip888,2019-09-12T13:55:10Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.387,0.677,0,-8.399,1,0.084,0.00108,0.871,0.101,0.371,172.812,3
spotify:track:1FRlNrHd4OGNIEVgFuX9Fu,"Disposition","Lateralus","TOOL",2001-05-15,286266,53,false,sartoip888,2019-09-12T13:55:10Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.683,0.228,9,-18.027,1,0.0451,0.061,0.845,0.114,0.193,117.165,5
spotify:track:0R7HFX1LW3E0ZR5BnAJLHz,"Reflection","Lateralus","TOOL",2001-05-15,667960,53,false,sartoip888,2019-09-12T13:55:10Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.357,0.662,7,-10.257,1,0.0406,0.00349,0.743,0.105,0.559,90.385,4
spotify:track:2D9rd6TIpqmDkog5Mx8kxl,"Triad","Lateralus","TOOL",2001-05-15,395906,49,false,sartoip888,2019-09-12T13:55:10Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.283,0.825,9,-9.289,0,0.0597,0.0000113,0.844,0.125,0.479,106.285,3
spotify:track:3oEgMtjTzGgXTFdO0IW2M7,"Faaip De Oiad","Lateralus","TOOL",2001-05-15,161173,45,false,sartoip888,2019-09-12T13:55:10Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.237,0.971,3,-12.596,0,0.106,0.327,0.00119,0.914,0.0227,109.464,5
spotify:track:0pwObEOHolQZSldJ2q1wpy,"Stinkfist","Ænima","TOOL",1996-09-17,312120,69,false,sartoip888,2019-09-12T13:55:25Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.286,0.728,0,-6.608,1,0.0616,0.000174,0.836,0.133,0.467,171.441,4
spotify:track:0RVFjx2HwbHcl5SCSADpFP,"Eulogy","Ænima","TOOL",1996-09-17,505146,60,true,sartoip888,2019-09-12T13:55:25Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.479,0.646,4,-9.059,0,0.148,0.00559,0.784,0.0985,0.356,180.738,3
spotify:track:5fYzuUxtcaJaRRaxMoM2DT,"H.","Ænima","TOOL",1996-09-17,367133,63,false,sartoip888,2019-09-12T13:55:25Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.552,0.471,2,-9.776,0,0.0372,0.0222,0.601,0.125,0.0897,100.266,4
spotify:track:5Ca9qZBftB2kGmuUOoJoea,"Useful Idiot","Ænima","TOOL",1996-09-17,38760,48,false,sartoip888,2019-09-12T13:55:25Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.282,0.488,10,-24.646,0,0.714,0.0000118,0.532,0.445,0.104,187.92,4
spotify:track:6AioOohg4bQZFA4jIYQQ2r,"Forty Six & 2","Ænima","TOOL",1996-09-17,363066,74,false,sartoip888,2019-09-12T13:55:25Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.375,0.682,0,-6.898,0,0.0364,0.00152,0.598,0.0897,0.396,159.23,4
spotify:track:13aTOYQ4xvj84VACPu9zur,"Message To Harry Manback","Ænima","TOOL",1996-09-17,113226,47,true,sartoip888,2019-09-12T13:55:25Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.421,0.116,4,-32.727,0,0.0443,0.991,0.865,0.104,0.525,91.559,3
spotify:track:3S4G4SL15Cp4CvAfmye8um,"Hooker With A Penis","Ænima","TOOL",1996-09-17,273826,57,true,sartoip888,2019-09-12T13:55:25Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.25,0.91,7,-7.363,1,0.155,0.00129,0.553,0.149,0.274,90.835,3
spotify:track:56IPgOpV9w1suGl7Lu9qeZ,"Intermission","Ænima","TOOL",1996-09-17,56000,47,false,sartoip888,2019-09-12T13:55:25Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.484,0.0136,7,-26.645,0,0.0603,0.929,0.931,0.295,0.953,59.378,3
spotify:track:09KJ3XQZ9RQ5prbSp59Wbc,"Jimmy","Ænima","TOOL",1996-09-17,324426,54,false,sartoip888,2019-09-12T13:55:25Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.477,0.688,7,-8.256,0,0.0373,0.00746,0.213,0.131,0.455,126.3,3
spotify:track:2uzCJ4ckvFhv6F9Q1CMkys,"Die Eier von Satan","Ænima","TOOL",1996-09-17,137360,47,false,sartoip888,2019-09-12T13:55:25Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.744,0.588,1,-7.411,1,0.0833,0.0183,0.0146,0.1,0.386,94.16,3
spotify:track:4CbHM5bpfOfMNxNgVDHJRw,"Pushit","Ænima","TOOL",1996-09-17,595613,54,true,sartoip888,2019-09-12T13:55:25Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.354,0.626,7,-8.437,1,0.0358,0.00051,0.564,0.0798,0.175,119.582,3
spotify:track:6xttnk5U2VMVCaihaD0RPE,"Cesaro Summability","Ænima","TOOL",1996-09-17,86226,43,false,sartoip888,2019-09-12T13:55:25Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.342,0.343,11,-21.736,0,0.191,0.000799,0.779,0.0832,0.196,115.38,4
spotify:track:0nLOl4fSiBZKGFla5pLUtf,"Ænema","Ænima","TOOL",1996-09-17,399266,63,true,sartoip888,2019-09-12T13:55:25Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.335,0.849,0,-6.927,1,0.321,0.00193,0.254,0.0928,0.256,181.716,3
spotify:track:0KCdkjFn7as5rME8dInqGQ,"(-) Ions","Ænima","TOOL",1996-09-17,240573,45,false,sartoip888,2019-09-12T13:55:25Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.221,0.566,9,-24.483,1,0.596,0.938,0.693,0.323,0.0301,105.209,3
spotify:track:2Dqg2mRbfIVKhBZleNrgmH,"Third Eye","Ænima","TOOL",1996-09-17,831440,51,true,sartoip888,2019-09-12T13:55:25Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.358,0.628,7,-9.685,1,0.0556,0.00586,0.471,0.111,0.262,108.441,4
spotify:track:2cF1W1G0sERJu0Y49tGjnx,"Intolerance","Undertow","TOOL",1993-04-06,294026,52,false,sartoip888,2019-09-12T13:55:43Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.412,0.941,7,-7.566,1,0.0689,0.0000132,0.286,0.159,0.205,101.892,4
spotify:track:6bBfqZW47dwndIfYQcB0VR,"Prison Sex","Undertow","TOOL",1993-04-06,296320,59,false,sartoip888,2019-09-12T13:55:43Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.49,0.78,11,-8.535,0,0.131,0.000288,0.0196,0.108,0.387,108.137,4
spotify:track:6DyywdbmTzlmXBzG9ym7Rt,"Sober","Undertow","TOOL",1993-04-06,306853,71,true,sartoip888,2019-09-12T13:55:43Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.385,0.673,2,-8.182,1,0.0329,0.000183,0.149,0.0721,0.187,149.271,4
spotify:track:46XOHK5QfCC83yg5SOGjZk,"Bottom","Undertow","TOOL",1993-04-06,433813,53,false,sartoip888,2019-09-12T13:55:43Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.372,0.697,2,-7.278,1,0.0348,0.0000565,0.888,0.125,0.278,139.51,4
spotify:track:1KCndc1SfLo9i9YWXdjy9D,"Crawl Away","Undertow","TOOL",1993-04-06,330426,48,true,sartoip888,2019-09-12T13:55:43Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.348,0.794,11,-7.99,1,0.0416,0.0000172,0.448,0.393,0.654,155.954,4
spotify:track:5q4L6JyoEY3VN5pOSbgjS8,"Swamp Song","Undertow","TOOL",1993-04-06,331853,53,true,sartoip888,2019-09-12T13:55:43Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.639,0.68,2,-6.735,1,0.0335,0.000683,0.199,0.119,0.37,129.092,3
spotify:track:4Wvnm0J3Zz9cmMdEMMghGA,"Undertow","Undertow","TOOL",1993-04-06,322016,52,false,sartoip888,2019-09-12T13:55:43Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.36,0.797,2,-6.623,1,0.0538,0.0000813,0.805,0.278,0.474,171.523,3
spotify:track:1LXQ7xqksXo4q4r5oCxW7M,"4°","Undertow","TOOL",1993-04-06,362889,49,false,sartoip888,2019-09-12T13:55:43Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.427,0.714,9,-7.967,1,0.052,0.000376,0.661,0.187,0.239,113.603,5
spotify:track:1ZzzgXjX1bHroTSMoShdMe,"Flood","Undertow","TOOL",1993-04-06,467853,46,false,sartoip888,2019-09-12T13:55:43Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.422,0.691,2,-7.983,1,0.0557,0.000169,0.606,0.0284,0.119,142.908,1
spotify:track:4rEMNX61UlQInnHB8f3SX1,"Disgustipated","Undertow","TOOL",1993-04-06,947002,41,false,sartoip888,2019-09-12T13:55:43Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.393,0.27,5,-18.955,1,0.455,0.217,0.159,0.0766,0.036,140.892,3
spotify:track:3vjHuVFZGC0Bm2Ud0wNpgs,"Sweat","Opiate","TOOL",1992-03-10,227173,49,false,sartoip888,2019-09-12T13:55:51Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.338,0.862,9,-7.599,1,0.0548,0.000302,0.787,0.0961,0.306,152.226,4
spotify:track:1icudzJCEUyjOVYzw7emST,"Hush","Opiate","TOOL",1992-03-10,168293,50,true,sartoip888,2019-09-12T13:55:51Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.46,0.921,9,-6.478,1,0.067,0.0000649,0.643,0.0648,0.566,166.589,4
spotify:track:2iL5ns7JhMGFSGpfQ3HQ6k,"Part Of Me","Opiate","TOOL",1992-03-10,197733,48,false,sartoip888,2019-09-12T13:55:51Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.482,0.88,5,-6.914,1,0.0966,0.000245,0.311,0.149,0.269,170.065,4
spotify:track:7ajn3mKu2DP8CoqzpHEr1d,"Cold And Ugly - Live","Opiate","TOOL",1992-03-10,249200,47,false,sartoip888,2019-09-12T13:55:51Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.262,0.965,2,-5.565,1,0.135,0.000409,0.184,0.585,0.138,180.633,4
spotify:track:3jK6mKpZLZSIPZRNCYIm3Q,"Jerk-Off - Live","Opiate","TOOL",1992-03-10,265000,43,true,sartoip888,2019-09-12T13:55:51Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.226,0.982,2,-5.193,1,0.207,0.00203,0.757,0.222,0.235,168.099,4
spotify:track:6jxVSzwyQflnOfFp7f5EaO,"Opiate","Opiate","TOOL",1992-03-10,510586,47,false,sartoip888,2019-09-12T13:55:51Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.29,0.728,8,-9.929,1,0.115,0.000495,0.402,0.128,0.0487,162.744,4
spotify:track:65ShmiE5aLBdcIGr7tHX35,"Vicarious","10,000 Days","TOOL",2006-04-28,426680,65,false,sartoip888,2019-09-12T13:56:38Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.506,0.877,0,-5.73,1,0.032,0.0000516,0.776,0.0712,0.302,114.589,5
spotify:track:2gbPu2QNqhnnqtfK3yyeZ0,"Jambi","10,000 Days","TOOL",2006-04-28,448613,64,false,sartoip888,2019-09-12T13:56:38Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.475,0.831,9,-7.419,0,0.0505,0.000145,0.854,0.346,0.521,110.42,3
spotify:track:1BDuMlv8zbeBmwFEBmE6N9,"Wings For Marie (Pt 1)","10,000 Days","TOOL",2006-04-28,371440,53,false,sartoip888,2019-09-12T13:56:38Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.241,0.338,2,-14.484,1,0.0426,0.331,0.89,0.107,0.0362,92.517,4
spotify:track:4OhqsmPMreC0EFCo3OmDSm,"10,000 Days (Wings Pt 2)","10,000 Days","TOOL",2006-04-28,673773,56,false,sartoip888,2019-09-12T13:56:38Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.259,0.631,9,-9.438,0,0.0369,0.00768,0.774,0.112,0.0381,123.37,4
spotify:track:1lATXTBJDHwawvT1UfxWu3,"The Pot","10,000 Days","TOOL",2006-04-28,381946,72,true,sartoip888,2019-09-12T13:56:38Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.469,0.79,7,-6.889,1,0.0391,0.000148,0.372,0.282,0.466,107.45,4
spotify:track:7dP42zpNCIsEHlnRLZGo0i,"Lipan Conjuring","10,000 Days","TOOL",2006-04-28,71053,47,false,sartoip888,2019-09-12T13:56:38Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.307,0.048,8,-25.331,0,0.0751,0.958,0.00000607,0.0899,0.184,74.329,1
spotify:track:0PLtBp8VchqMaJMl4abJaZ,"Lost Keys (Blame Hofman)","10,000 Days","TOOL",2006-04-28,226266,50,false,sartoip888,2019-09-12T13:56:38Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.281,0.385,7,-15.219,1,0.0403,0.274,0.882,0.51,0.0618,122.115,4
spotify:track:0D8l86LXxKcgKAO17DfQsl,"Rosetta Stoned","10,000 Days","TOOL",2006-04-28,671360,58,true,sartoip888,2019-09-12T13:56:38Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.381,0.82,7,-6.418,0,0.0398,0.000249,0.725,0.152,0.574,111.82,4
spotify:track:2ae6mkuD2gJnJQADl488et,"Intension","10,000 Days","TOOL",2006-04-28,441253,48,false,sartoip888,2019-09-12T13:56:38Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.603,0.422,7,-15.598,1,0.0631,0.281,0.776,0.0745,0.0685,95.17,1
spotify:track:0NLDZzVke3Qu7vDhWyGzRk,"Right In Two","10,000 Days","TOOL",2006-04-28,535800,60,false,sartoip888,2019-09-12T13:56:38Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.44,0.568,7,-8.54,1,0.0293,0.00442,0.84,0.119,0.248,118.389,3
spotify:track:1A00hgLu1S7Q3GNMAjs5mX,"Viginti Tres","10,000 Days","TOOL",2006-04-28,302786,44,false,sartoip888,2019-09-12T13:56:38Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.119,0.37,9,-25.085,1,0.205,0.841,0.837,0.0732,0.0276,77.217,4
spotify:track:39zWYYZStDgWi32sOU9AX4,"Fear Inoculum","Fear Inoculum","TOOL",2019-08-30,620101,59,false,sartoip888,2019-09-12T13:56:47Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.31,0.584,7,-10.091,1,0.042,0.000827,0.512,0.0528,0.16,86.913,4
spotify:track:03sEzk1VyrUZSgyhoQR0LZ,"Pneuma","Fear Inoculum","TOOL",2019-08-30,713191,66,false,sartoip888,2019-09-12T13:56:47Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.415,0.53,9,-9.338,0,0.0314,0.00209,0.75,0.11,0.0586,114.174,1
spotify:track:4qE9yOgBNsARadpZTAb6RH,"Litanie contre la Peur","Fear Inoculum","TOOL",2019-08-30,134490,48,false,sartoip888,2019-09-12T13:56:47Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.0729,0.0137,0,-22.812,0,0.047,0.979,0.956,0.0869,0.037,78.824,5
spotify:track:2xKDKtJBLDPd7BF3VmSQQO,"Invincible","Fear Inoculum","TOOL",2019-08-30,764456,60,false,sartoip888,2019-09-12T13:56:47Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.459,0.567,9,-9.133,0,0.0571,0.00989,0.786,0.109,0.389,87.477,1
spotify:track:48C0O5CXfQdfjUCUhOs1YP,"Legion Inoculant","Fear Inoculum","TOOL",2019-08-30,189979,48,false,sartoip888,2019-09-12T13:56:47Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.2,0.144,0,-19.048,1,0.0461,0.00225,0.942,0.221,0.0262,79.702,4
spotify:track:0aTiUssEOy0Mt69bsavj6K,"Descending","Fear Inoculum","TOOL",2019-08-30,817832,56,false,sartoip888,2019-09-12T13:56:47Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.33,0.611,10,-9.571,1,0.0495,0.00219,0.769,0.107,0.241,172.606,1
spotify:track:3gPxMQWDMSEyPXMtzbcDdQ,"Culling Voices","Fear Inoculum","TOOL",2019-08-30,605369,53,false,sartoip888,2019-09-12T13:56:47Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.253,0.449,11,-12.066,0,0.0352,0.0452,0.789,0.139,0.0386,156.286,3
spotify:track:3VcEEhf6NL8oq2e1IxFUVM,"Chocolate Chip Trip","Fear Inoculum","TOOL",2019-08-30,288198,46,false,sartoip888,2019-09-12T13:56:47Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.59,0.764,1,-9.588,1,0.0465,0.0343,0.624,0.285,0.178,128.303,5
spotify:track:0gGfmw4csswZmFPj9YK8GW,"7empest","Fear Inoculum","TOOL",2019-08-30,943528,56,true,sartoip888,2019-09-12T13:56:47Z,"metal progresywny,metal alternatywny,rock progresywny,metal","RCA Records Label",0.323,0.804,7,-7.397,1,0.0369,0.0000735,0.835,0.0957,0.384,144.756,5
