Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5JizFGD83C4w0hrAlXJHm9,"Everywhere Home","Songs for the Old Man","Yom",2015,262440,43,false,sartoip888,2020-12-09T23:08:45Z,"","Buda musique",0.561,0.346,0,-9.417,1,0.0361,0.968,0.928,0.109,0.059,76.507,4
spotify:track:1zb2Jn4lYn15sVBpNkxNZy,"The Old Man","Songs for the Old Man","Yom",2015,313080,37,false,sartoip888,2020-12-09T23:08:45Z,"","Buda musique",0.51,0.204,2,-13.818,0,0.0402,0.948,0.904,0.11,0.0984,121.336,4
spotify:track:1Hx0If40w3tkkr6wRioqh9,"Road Movie","Songs for the Old Man","Yom",2015,350013,35,false,sartoip888,2020-12-09T23:08:45Z,"","Buda musique",0.6,0.242,7,-11.411,0,0.029,0.723,0.906,0.115,0.0497,130.757,4
spotify:track:5ZcopTYZgJqMfqfx26IcGg,"Eldorado 54","Songs for the Old Man","Yom",2015,336960,32,false,sartoip888,2020-12-09T23:08:45Z,"","Buda musique",0.43,0.416,11,-9.136,0,0.0315,0.879,0.965,0.0827,0.0368,132.921,4
spotify:track:766ZibhmKrN4OwCWj9jCnM,"Saving the World Is Easy","With Love","Yom",2010,234880,34,false,sartoip888,2020-12-09T23:08:45Z,"","Buda musique",0.486,0.371,5,-8.294,0,0.0338,0.781,0.887,0.107,0.157,117.968,4
spotify:track:5f5Xz3QBBQdybXDW0v1Gbi,"Journey of Life","Songs for the Old Man","Yom",2015,351306,32,false,sartoip888,2020-12-09T23:08:45Z,"","Buda musique",0.562,0.234,11,-11.631,0,0.0328,0.902,0.933,0.13,0.0351,122.072,4
spotify:track:2NdcKzNhEWKwRp9c3wNJOo,"On the Endless Road","Songs for the Old Man","Yom",2015,370573,24,false,sartoip888,2020-12-09T23:08:45Z,"","Buda musique",0.339,0.0894,9,-17.214,0,0.0372,0.993,0.93,0.0818,0.104,135.837,4
spotify:track:1RMg9aOHxSAug0bU4PIU1q,"Dark Prayer","Songs for the Old Man","Yom",2015,280186,21,false,sartoip888,2020-12-09T23:08:45Z,"","Buda musique",0.444,0.639,10,-7.253,1,0.0617,0.667,0.843,0.0665,0.241,147.037,4
spotify:track:0PV3TXgRdsbdBqjo1sKRda,"Prière, pt. 3 - Méditation, no. 1","Prière","Yom;Baptiste-Florian Marle-Ouvrard",2018-03-23,571360,15,false,sartoip888,2020-12-09T23:08:45Z,"","Buda musique",0.163,0.188,7,-16.438,0,0.0367,0.195,0.89,0.111,0.0355,95.262,4
spotify:track:2x0Iaq9uC4U0YizTgilfIJ,"Those Who Stayed Behind","Songs for the Old Man","Yom",2015,301040,21,false,sartoip888,2020-12-09T23:08:45Z,"","Buda musique",0.302,0.403,11,-8.963,0,0.0344,0.874,0.924,0.106,0.0384,113.141,4
