Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:58BHI6LZChTnZyqNMnE4fT,"Pies","Cacy Cacy Fleischmaschine","Swietliki",2018-12-23,162493,10,false,sartoip888,2020-01-15T09:55:08Z,"słowo mówione","Karrot Kommando",0.417,0.894,11,-8.285,1,0.0393,0.00000672,0.0846,0.422,0.615,147.677,4
spotify:track:4vIDcjka8Dvr9FzmyhAikK,"Chmurka","Cacy Cacy Fleischmaschine","Swietliki",2018-12-23,217506,12,false,sartoip888,2020-01-15T09:55:08Z,"słowo mówione","Karrot Kommando",0.686,0.294,11,-15.15,0,0.0339,0.3,0.424,0.104,0.856,98.33,3
spotify:track:4Go9NOruktb9UOQdqAnusc,"Opluty 2","Cacy Cacy Fleischmaschine","Swietliki",2018-12-23,179493,9,false,sartoip888,2020-01-15T09:55:08Z,"słowo mówione","Karrot Kommando",0.697,0.418,4,-15.471,0,0.0912,0.166,0.0384,0.104,0.843,136.648,4
spotify:track:4pUJitnGRqJm2qola5K7dc,"Pan traktor","Cacy Cacy Fleischmaschine","Swietliki",2018-12-23,146573,5,false,sartoip888,2020-01-15T09:55:08Z,"słowo mówione","Karrot Kommando",0.629,0.535,4,-11.376,0,0.0282,0.0000383,0.0971,0.0808,0.549,104.604,4
spotify:track:6sfUPdrq9F8HEmk95U0peZ,"Mc Donald's","Cacy Cacy Fleischmaschine","Swietliki",2018-12-23,208626,5,false,sartoip888,2020-01-15T09:55:08Z,"słowo mówione","Karrot Kommando",0.463,0.68,7,-10.231,1,0.0499,0.105,0.255,0.0669,0.43,117.255,4
spotify:track:0Mtqa8aC6sbNCCjvkoYF2N,"Anioł/Trup","Cacy Cacy Fleischmaschine","Swietliki",2018-12-23,174906,11,false,sartoip888,2020-01-15T09:55:08Z,"słowo mówione","Karrot Kommando",0.551,0.403,9,-11.848,0,0.131,0.0392,0.00937,0.183,0.581,138.16,4
spotify:track:1O4ctek2BEAowSDlvgS4cQ,"Henryk Kwiatek","Cacy Cacy Fleischmaschine","Swietliki",2018-12-23,285466,11,false,sartoip888,2020-01-15T09:55:08Z,"słowo mówione","Karrot Kommando",0.47,0.626,2,-10.3,1,0.0405,0.287,0.000672,0.109,0.519,120.591,4
spotify:track:3Q7mj50mVSmTNRG1MPbKUx,"Perarolo","Cacy Cacy Fleischmaschine","Swietliki",2018-12-23,228893,4,false,sartoip888,2020-01-15T09:55:08Z,"słowo mówione","Karrot Kommando",0.47,0.575,0,-12.338,1,0.0566,0.00376,0.0752,0.103,0.509,136.863,4
spotify:track:7IYWk1vUToKjEvb4x6233f,"Łabądzie","Cacy Cacy Fleischmaschine","Swietliki",2018-12-23,236573,4,false,sartoip888,2020-01-15T09:55:08Z,"słowo mówione","Karrot Kommando",0.707,0.25,4,-15.685,0,0.0561,0.199,0.762,0.101,0.658,105.376,4
spotify:track:6bTqobYTVdPhROXb10suym,"Przeproś!","Cacy Cacy Fleischmaschine","Swietliki",2018-12-23,134426,3,false,sartoip888,2020-01-15T09:55:08Z,"słowo mówione","Karrot Kommando",0.464,0.695,0,-10.868,1,0.208,0.639,0.042,0.125,0.257,164.424,3
spotify:track:4W0bYLhfiAEo8Bt0tJ0amu,"Bronek Bączkiewicz","Cacy Cacy Fleischmaschine","Swietliki",2018-12-23,508133,4,false,sartoip888,2020-01-15T09:55:08Z,"słowo mówione","Karrot Kommando",0.49,0.599,9,-10.677,1,0.0662,0.00449,0.000136,0.119,0.347,126.536,4
spotify:track:4Rt2xoGkQHw7UqP6Q1bhtl,"Magnetyzm","Cacy Cacy Fleischmaschine","Swietliki",2018-12-23,140266,3,false,sartoip888,2020-01-15T09:55:08Z,"słowo mówione","Karrot Kommando",0.701,0.268,11,-12.595,0,0.0675,0.938,0.238,0.106,0.202,107.296,4
spotify:track:399eYHkD8B80Zq2dTZcuwP,"Grzyb/Robak","Cacy Cacy Fleischmaschine","Swietliki",2018-12-23,252906,3,false,sartoip888,2020-01-15T09:55:08Z,"słowo mówione","Karrot Kommando",0.383,0.749,4,-9.969,0,0.0285,0.123,0.422,0.0664,0.768,133.701,4
spotify:track:2KKBmFwHlW6yJCg3yp007Q,"Korespondencja pośmiertna","Cacy Cacy Fleischmaschine","Swietliki",2018-12-23,188226,11,false,sartoip888,2020-01-15T09:55:08Z,"słowo mówione","Karrot Kommando",0.306,0.687,2,-11.62,1,0.0485,0.0356,0.823,0.12,0.694,129.433,4
spotify:track:54MGUvFziSC1UfvZksmsX7,"Dwie gwiazdki","Cacy Cacy Fleischmaschine","Swietliki",2018-12-23,51800,3,false,sartoip888,2020-01-15T09:55:08Z,"słowo mówione","Karrot Kommando",0.532,0.0352,0,-23.291,1,0.0549,0.784,0.012,0.107,0.162,98.631,4
spotify:track:5Gf5pbXaUWfarlbMDx6nrT,"Parasolki","Ogród Koncentracyjny","Swietliki",1995-05-07,264133,12,false,sartoip888,2020-01-15T09:55:08Z,"słowo mówione","Karrot Kommando",0.599,0.581,9,-10.948,1,0.0399,0.00353,0.674,0.132,0.784,140.158,4
spotify:track:20YXBNnMsEUtxk3n5NfrZV,"Zamknięcie Kina ""Młoda Gwardia""","Ogród Koncentracyjny","Swietliki",1995-05-07,18653,0,false,sartoip888,2020-01-15T09:55:08Z,"słowo mówione","Karrot Kommando",0.33,0.223,2,-11.311,1,0.0524,0.977,0,0.322,0,160.949,1
spotify:track:5K8EOaNaY0vLpFlAOoUFdb,"Przed Wyborami","Ogród Koncentracyjny","Swietliki",1995-05-07,117786,10,false,sartoip888,2020-01-15T09:55:08Z,"słowo mówione","Karrot Kommando",0.674,0.436,7,-9.648,1,0.0435,0.000243,0.564,0.0988,0.598,136.618,4
spotify:track:3Yvpq4w6eWV7Z0Ncupgbgd,"Tygrysia Piosenka","Ogród Koncentracyjny","Swietliki",1995-05-07,115946,11,false,sartoip888,2020-01-15T09:55:08Z,"słowo mówione","Karrot Kommando",0.491,0.742,9,-9.026,0,0.0628,0.00393,0.000426,0.179,0.685,136.323,4
spotify:track:4z8LBFkb24DDAeHhoqMTFC,"Pogo","Ogród Koncentracyjny","Swietliki",1995-05-07,233960,19,false,sartoip888,2020-01-15T09:55:08Z,"słowo mówione","Karrot Kommando",0.477,0.751,9,-6.039,1,0.045,0.00344,0.312,0.163,0.881,141.638,4
spotify:track:4xUUin787439VkJgwlF5mm,"Opluty (44)","Ogród Koncentracyjny","Swietliki",1995-05-07,263893,21,false,sartoip888,2020-01-15T09:55:08Z,"słowo mówione","Karrot Kommando",0.661,0.652,11,-7.382,0,0.0364,0.064,0.00377,0.077,0.713,74.389,4
spotify:track:73BjFGp2UUFaUzyW31AssY,"Casablanca","Ogród Koncentracyjny","Swietliki",1995-05-07,182333,12,false,sartoip888,2020-01-15T09:55:08Z,"słowo mówione","Karrot Kommando",0.375,0.377,9,-14.3,0,0.0424,0.0295,0.00103,0.211,0.14,129.766,4
spotify:track:1RumF1pF6FHloPI4wvroHF,"...Ska","Ogród Koncentracyjny","Swietliki",1995-05-07,132426,12,false,sartoip888,2020-01-15T09:55:08Z,"słowo mówione","Karrot Kommando",0.611,0.82,1,-8.278,1,0.0811,0.00507,0.000357,0.104,0.609,82.389,4
spotify:track:01LCXzSJXFrGU5tml4V2mJ,"Falafel - Śmerć Rushdiemu","Ogród Koncentracyjny","Swietliki",1995-05-07,36320,8,false,sartoip888,2020-01-15T09:55:08Z,"słowo mówione","Karrot Kommando",0.65,0.343,8,-17.428,1,0.25,0.768,0.00183,0.175,0.656,81.085,4
spotify:track:1IWQZ1Z1WS80oZe9viTXIL,"Świerszcze","Ogród Koncentracyjny","Swietliki",1995-05-07,252866,22,false,sartoip888,2020-01-15T09:55:08Z,"słowo mówione","Karrot Kommando",0.568,0.622,2,-8.952,1,0.0266,0.0271,0.727,0.111,0.673,109.455,4
spotify:track:1Ur6AEQx1VKxCfVq2bHyJy,"Upiór","Ogród Koncentracyjny","Swietliki",1995-05-07,127160,8,false,sartoip888,2020-01-15T09:55:08Z,"słowo mówione","Karrot Kommando",0.238,0.95,8,-4.717,0,0.156,0.0000025,0.525,0.0676,0.386,166.05,4
spotify:track:6PguPjK8ZcH8EWbhqxz9Oh,"Olifant","Ogród Koncentracyjny","Swietliki",1995-05-07,234586,19,false,sartoip888,2020-01-15T09:55:08Z,"słowo mówione","Karrot Kommando",0.59,0.647,0,-6.872,1,0.0324,0.0334,0.84,0.101,0.542,149.243,4
spotify:track:3xJjnqqsJ1pUN1w6jZ7Oeg,"Tata Mięso","Ogród Koncentracyjny","Swietliki",1995-05-07,155893,7,false,sartoip888,2020-01-15T09:55:08Z,"słowo mówione","Karrot Kommando",0.714,0.601,2,-10.306,1,0.213,0.0206,0.0000103,0.225,0.47,104.314,4
