Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:02d006wCiCHtTpEOeeANRi,"Preludes, Op. 28: No. 4, Largo in E Minor","Chopin Slow Motions","Frédéric Chopin;Axel Gillison",2018-03-29,216285,26,false,sartoip888,2018-11-23T10:47:10Z,"fortepian klasyczny,muzyka klasyczna","X5 Music Group",0.474,0.00408,1,-32.708,0,0.189,0.996,0.93,0.0918,0.0378,64.727,4
spotify:track:376d85blpRcjxVtgflQQqQ,"Nocturnes, Op. 9: No. 1 in B-Flat Minor","Chopin: The Complete Nocturnes","Frédéric Chopin;Jenny Lin",2018-10-19,306866,26,false,sartoip888,2018-11-20T15:30:51Z,"fortepian klasyczny,muzyka klasyczna,minimalizm","Steinway and Sons",0.453,0.0568,1,-20.926,1,0.0463,0.993,0.929,0.0873,0.0776,135.789,3
spotify:track:2LL2QtanChvgKKsNZZum5L,"Chopin: Nocturne No. 2 in E-Flat Major, Op. 9 No. 2","Chopin: Journal intime","Frédéric Chopin;Alexandre Tharaud",2009-11-23,276440,28,false,sartoip888,2018-11-23T10:42:31Z,"fortepian klasyczny,muzyka klasyczna","Warner Classics",0.321,0.0681,3,-23.512,1,0.0388,0.992,0.877,0.105,0.0503,73.69,3
spotify:track:5ESFpqXnENmAWEcrF4hyLQ,"Piano Sonata No. 2 in B Minor, Op. 35: III. Funeral March (Lento)","Chopin Piano","Frédéric Chopin;Henrik Måwe",2012-11-27,504500,0,false,sartoip888,2018-11-23T10:57:48Z,"fortepian klasyczny,muzyka klasyczna","Warner Music Group - X5 Music Group",0.465,0.0232,1,-20.554,1,0.0461,0.988,0.915,0.111,0.11,101.179,4
spotify:track:4TEAsMzNcxLo22JR8uv2S7,"Études, Op. 10: No. 12 in C Minor 'Revolutionary'","Chopin - Solo Piano","Frédéric Chopin;Agustin Anievas",2017-02-17,151386,2,false,sartoip888,2018-11-23T09:35:00Z,"fortepian klasyczny,muzyka klasyczna","Warner Music Group - X5 Music Group",0.31,0.214,0,-17.616,0,0.0311,0.963,0.858,0.129,0.177,138.739,3
spotify:track:1sthuTQ7aedwg7TvAxJi5E,"Waltzes, Op. 34: No. 2 in A Minor (Lento)","Chopin - Solo Piano","Frédéric Chopin;Agustin Anievas",2017-02-17,345160,0,false,sartoip888,2018-11-22T12:49:36Z,"fortepian klasyczny,muzyka klasyczna","Warner Music Group - X5 Music Group",0.207,0.0196,9,-29.339,0,0.0479,0.99,0.887,0.0736,0.0787,69.879,4
spotify:track:17B8UAra32HNoU0Sz00x8r,"Nocturnes, Op. 55: I. Andante in F Minor","Chopin Slow Motions","Frédéric Chopin;Axel Gillison",2018-03-29,468941,26,false,sartoip888,2018-11-23T10:31:27Z,"fortepian klasyczny,muzyka klasyczna","X5 Music Group",0.405,0.00728,2,-33.59,0,0.0519,0.992,0.937,0.0809,0.0803,69.701,3
spotify:track:5WPRJPqIBgrTLff8EfxW48,"Nocturne in C Minor, B. 108","Chopin Slow Motions","Frédéric Chopin;Axel Gillison",2018-03-29,295351,26,false,sartoip888,2018-11-23T10:53:44Z,"fortepian klasyczny,muzyka klasyczna","X5 Music Group",0.293,0.00773,2,-31.861,0,0.0427,0.994,0.914,0.0563,0.0755,74.345,4
spotify:track:76oHgCvVZ8AsCU8n7PyUTk,"Nocturne No. 20 in C-Sharp Minor, P. 1/16: Lento con gran espressione","Chillin' with the Classics","Frédéric Chopin;Henrik Måwe",2016-06-03,258531,7,false,sartoip888,2018-11-23T11:15:48Z,"fortepian klasyczny,muzyka klasyczna","Warner Music Group - X5 Music Group",0.311,0.0428,1,-22.017,0,0.0494,0.986,0.922,0.0957,0.17,70.65,3
spotify:track:2WwWeZvHcbHidLsvn27mOa,"Chopin: Fantaisie-impromptu in C-Sharp Minor, Op. Posth. 66","Chopin: Journal intime","Frédéric Chopin;Alexandre Tharaud",2009-11-23,303186,40,false,sartoip888,2018-11-23T12:30:19Z,"fortepian klasyczny,muzyka klasyczna","Warner Classics",0.276,0.13,1,-19.031,1,0.0355,0.991,0.915,0.119,0.0619,135.437,3
spotify:track:096Z8UkoxZO6g0eIEkXQZT,"Polonaise in A-Flat Major, Op. 53 ""Heroic""","Live in Vienna","Frédéric Chopin;Lang Lang",2010-08-23,441013,25,false,sartoip888,2018-11-27T12:11:54Z,"fortepian klasyczny,muzyka klasyczna","Sony Classical",0.228,0.498,8,-20.596,1,0.0533,0.981,0.864,0.704,0.358,79.023,3
spotify:track:2QS61mJObLv2dBs4qP75yS,"Preludes, Op. 28: No. 20 in C Minor (Largo)","Chopin Essential Pieces","Frédéric Chopin;Garrick Ohlsson",2017-03-27,94893,5,false,sartoip888,2018-11-27T12:13:42Z,"fortepian klasyczny,muzyka klasyczna","Warner Music Group - X5 Music Group",0.643,0.00352,8,-23.471,1,0.903,0.995,0.96,0.0817,0.223,76.637,4
spotify:track:3qbW3MBQfyKqs3ONtLKZ8j,"Nocturnes, Op. 27: No. 2 in D-Flat Major (Lento sostenuto)","Chopin - Solo Piano","Frédéric Chopin;Youri Egorov",2017-02-17,399573,7,false,sartoip888,2018-11-27T12:21:05Z,"fortepian klasyczny,muzyka klasyczna","Warner Music Group - X5 Music Group",0.327,0.0394,1,-22.85,1,0.0444,0.993,0.919,0.126,0.0539,78.611,3
spotify:track:6Jug7ykrgFKfEyOVDqO4az,"Nocturne no 3","Study Music","Relajacion Del Mar",2015-09-16,148854,9,false,sartoip888,2018-11-27T12:39:25Z,"","Foodcourt Records - X5 Music Group",0.535,0.0183,4,-22.92,1,0.0586,0.992,0.95,0.113,0.162,70.329,4
spotify:track:4q8f3Ls32PcXE8Ks4V1ufx,"Chopin: 24 Preludes, Op. 28: No. 15 in D-Flat Major ""Raindrop""","Chopin : Preludes, Ballades Nos 3 & 4, Nocturnes","Frédéric Chopin;Nikolai Lugansky",2002-03-01,348333,48,false,sartoip888,2019-11-07T16:28:36Z,"fortepian klasyczny,muzyka klasyczna","Warner Classics International",0.398,0.00293,1,-29.481,1,0.0666,0.995,0.922,0.0897,0.0804,130.464,4
