Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5kl4Y5XymsUCl98GM7dgab,"Albinoni: Adagio in G Minor","Baroque Masterpieces","Tomaso Albinoni;Sir Neville Marriner;Academy of St. Martin in the Fields",2011-02-07,353360,37,false,sartoip888,2019-11-07T10:54:55Z,"muzyka klasyczna,orkiestra,muzyka kameralna","Warner Classics",0.14,0.097,0,-20.278,0,0.0427,0.692,0.784,0.107,0.0375,89.583,3
spotify:track:47J2TBfDpGQUfHkErP78Tw,"Carmina Burana: I. O fortuna","Orff: Carmina Burana","Carl Orff;Brighton Festival Chorus;Royal Philharmonic Orchestra;Antal Doráti",1975-01-01,143466,47,false,sartoip888,2019-11-07T11:12:38Z,"muzyka klasyczna,muzyka operowa,orkiestra","Decca Music Group Ltd.",0.328,0.293,2,-14.61,0,0.0295,0.923,0.0302,0.134,0.505,77.476,3
spotify:track:1vrDvLU8qzAdNzcdac5qen,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 'Moonlight': I. Adagio sostenuto (Excerpt)","Classical Music Hits","Ludwig van Beethoven;Moura Lympany",2016-10-19,239733,2,false,sartoip888,2019-11-07T10:49:33Z,"muzyka klasyczna,fortepian klasyczny,muzyka kameralna","Warner Music Group - X5 Music Group",0.32,0.0108,1,-35.505,0,0.0468,0.996,0.914,0.137,0.311,74.833,1
spotify:track:3oHSL6pt9LpNrQZuQGu9wL,"Requiem, K. 626: Lacrimosa","Mozart: Requiem Realisations","Wolfgang Amadeus Mozart;Michael Finnissy;Academy of Ancient Music;Stephen Cleobury;Choir of King's College, Cambridge",2013-04-08,169666,59,false,sartoip888,2019-11-07T10:49:00Z,"muzyka klasyczna,muzyka operowa,requiem,fortepian klasyczny,muzyka kameralna,awangarda,muzyka chóralna,boże narodzenie","Kings College Cambridge",0.162,0.0898,2,-23.269,0,0.0354,0.944,0.917,0.187,0.0413,132.047,3
spotify:track:4WqQQrwnSEJCv3eyrvB67Y,"En Aranjuez Con Tu Amor","Pasion","Joaquín Rodrigo;Alfredo Garcia Segura;Fernando Lima",2007-01-01,326554,28,false,sartoip888,2019-11-07T16:25:26Z,"muzyka klasyczna","EMI Classics",0.26,0.0622,9,-15.211,0,0.0426,0.973,0.0236,0.0801,0.0815,110.342,3
spotify:track:0m9m4AntGBQVd0B105Ua76,"Gnossienne: No. 3","Satie: Avant-dernières pensées (Bonus Track Version)","Erik Satie;Alexandre Tharaud",2009-01-20,141600,46,false,sartoip888,2019-11-07T16:34:43Z,"muzyka klasyczna,fortepian klasyczny","harmonia mundi",0.342,0.0317,9,-27.813,0,0.0427,0.995,0.887,0.0985,0.0555,112.607,4
spotify:track:5fdp9rXfEixCGLM1Og4EN1,"Gnossienne No. 1","Gnossienne No. 1","Erik Satie;Alena Cherny",2013,296480,61,false,sartoip888,2019-11-07T16:40:28Z,"muzyka klasyczna,fortepian klasyczny","Sony Classical/Sony Music",0.376,0.00579,5,-31.615,0,0.0576,0.996,0.944,0.0882,0.0369,71.827,4
spotify:track:61JrLdVyiMy8nPg63DlENb,"Toccata and Fugue in D Minor, BWV 565","Bach, J.S.: Toccatas & Fugues BWV 538; BWV 540; BWV 564; BWV 565","Johann Sebastian Bach;Ton Koopman",1984-01-01,482066,33,false,sartoip888,2019-11-07T16:29:52Z,"muzyka klasyczna,fortepian klasyczny","Archiv Produktion",0.128,0.157,2,-19.772,0,0.0335,0.423,0.865,0.374,0.125,96.935,4
spotify:track:1okQeekaBL7DzFxS0j1s7l,"Nisi Dominus, RV 608: IV. Cum dederit","Vivaldi: Nisi Dominus, Stabat Mater","Antonio Vivaldi;Ensemble Matheus;Jean-Christophe Spinosi;Philippe Jaroussky",2008-01-02,310253,43,false,sartoip888,2019-11-07T16:31:18Z,"muzyka klasyczna,muzyka operowa","naïve",0.132,0.0083,7,-30.221,0,0.0616,0.978,0.00393,0.132,0.0391,80.347,4
spotify:track:4KEiSfnnR70F0Iz5Y9Hh3Y,"13 Pieces for Piano, Op. 76: II. Etude","Reverie","Jean Sibelius;Jian Wang;Göran Söllscher",2007-01-01,168786,37,false,sartoip888,2019-11-07T16:21:09Z,"muzyka klasyczna,orkiestra","Deutsche Grammophon (DG)",0.425,0.0333,7,-28.34,0,0.0388,0.971,0.9,0.106,0.477,122.039,4
