Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6vi5iZ0lMewd7E9KUg4BIp,"Orchestral Suite No. 3 in D Major, BWV. 1068: II. Air","Classical Music Hits","Johann Sebastian Bach;English Chamber Orchestra;Philip Ledger",2016-10-19,287786,2,false,sartoip888,2019-11-07T10:38:48Z,"muzyka klasyczna,fortepian klasyczny,muzyka operowa,muzyka kameralna,muzyka chóralna,requiem","Warner Music Group - X5 Music Group",0.0635,0.0805,2,-25.119,1,0.0465,0.806,0.824,0.116,0.0969,63.333,3
spotify:track:7MQjOHQmZGlnCpAI4RWTxV,"Adagio for Strings, Op. 11","Classical Music Hits","Samuel Barber;London Symphony Orchestra;Michael Tilson Thomas",2016-10-19,512240,2,false,sartoip888,2019-11-07T10:40:16Z,"muzyka klasyczna,orkiestra,muzyka operowa,minimalizm","Warner Music Group - X5 Music Group",0.137,0.128,10,-16.776,0,0.0426,0.964,0.861,0.0971,0.0321,76.519,3
spotify:track:4QVhSFzLGZ7jo9f8TZbjxZ,"Canon & Gigue in D-Major, P. 37","Classical Music Hits","Johann Pachelbel;Jean-François Paillard;Orchestre de chambre Jean-François Paillard",2016-10-19,432173,5,false,sartoip888,2019-11-07T10:40:36Z,"muzyka klasyczna","Warner Music Group - X5 Music Group",0.203,0.176,2,-17.796,1,0.0368,0.837,0.795,0.138,0.24,130.442,4
spotify:track:4IgKnU2udIDjYFn4S6xlwj,"The Nutcracker, Op. 71, Act I: March","Classical Music Hits","Pyotr Ilyich Tchaikovsky;André Previn;London Symphony Orchestra",2016-10-19,143893,1,false,sartoip888,2019-11-07T10:41:02Z,"muzyka klasyczna,orkiestra,muzyka operowa","Warner Music Group - X5 Music Group",0.553,0.277,4,-15.682,0,0.0312,0.99,0.966,0.367,0.571,74.736,4
spotify:track:2teJojUoTK5NSVN5FXHHWI,"The Nutcracker, Op. 71, Act II: Sugar-Plum Fairy","Classical Music Hits","Pyotr Ilyich Tchaikovsky;André Previn;Royal Philharmonic Orchestra",2016-10-19,139573,8,false,sartoip888,2019-11-07T10:41:38Z,"muzyka klasyczna,orkiestra","Warner Music Group - X5 Music Group",0.301,0.0155,4,-32.909,0,0.0373,0.948,0.926,0.0663,0.0868,119.136,4
spotify:track:7irXhxnTt7ko2ijWwrMkvF,"The Four Seasons, Violin Concerto No. 1 in E Major, RV. 269 'La primavera/Spring': I. Allegro","Classical Music Hits","Antonio Vivaldi;Alberto Lysy;Camerata Lysy Gstaad;Yehudi Menuhin",2016-10-19,222533,2,false,sartoip888,2019-11-07T10:42:20Z,"muzyka klasyczna","Warner Music Group - X5 Music Group",0.309,0.143,4,-16.529,1,0.0476,0.786,0.771,0.105,0.279,180.757,4
spotify:track:0RIICpAPHzgjPEMH29SW4u,"Rigoletto, Act III: La donna è mobile","Classical Music Hits","Giuseppe Verdi;Alfredo Kraus;Julius Rudel;Philharmonia Orchestra",2016-10-19,138440,1,false,sartoip888,2019-11-07T10:42:58Z,"muzyka operowa,muzyka klasyczna,requiem,orkiestra","Warner Music Group - X5 Music Group",0.432,0.167,6,-16.206,1,0.0428,0.962,0.0000574,0.0672,0.401,70.783,4
spotify:track:26iu3yQmjaArofELuzbIal,"Swan Lake, Op. 20, Act II No. 13 'Dances of the Swans': IV. Allegro moderato","Classical Music Hits","Pyotr Ilyich Tchaikovsky;John Lanchbery;Philharmonia Orchestra",2016-10-19,87826,2,false,sartoip888,2019-11-07T10:43:25Z,"muzyka klasyczna,orkiestra,muzyka operowa","Warner Music Group - X5 Music Group",0.627,0.0442,6,-30.709,0,0.0438,0.942,0.752,0.0593,0.668,110.178,4
spotify:track:4kNsEO38Ieqo5TTBubozZN,"Die Walküre, WWV. 86B, Act III: Ride of the Valkyries","Classical Music Hits","Richard Wagner;Oslo Philharmonic Orchestra;Mariss Jansons",2016-10-19,285920,1,false,sartoip888,2019-11-07T10:43:48Z,"muzyka operowa,muzyka klasyczna,orkiestra","Warner Music Group - X5 Music Group",0.279,0.343,11,-13.839,1,0.0335,0.91,0.915,0.0975,0.15,103.1,3
spotify:track:6Q31EM4Vfadx7PIbNIgB8Q,"3 Gymnopédies: I. Lent et douloureux","Classical Music Hits","Erik Satie;Anne Queffélec",2016-10-19,215960,1,false,sartoip888,2019-11-07T10:44:00Z,"muzyka klasyczna,fortepian klasyczny","Warner Music Group - X5 Music Group",0.371,0.00202,7,-35.632,1,0.0607,0.996,0.93,0.075,0.237,74.568,3
