Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7GwrBVVHV6mH8YZxvIBRbu,"Hope In The Air","I Speak Because I Can","Laura Marling",2010-01-01,272097,32,false,sartoip888,2025-03-11T12:07:00Z,"wokaliści i autorzy piosenek,gotyk południowy,folk,indie folk","Virgin Records",0.369,0.412,5,-10.037,0,0.0463,0.719,0.000803,0.0846,0.367,81.313,4
spotify:track:3Ziiby0NCf14WBDSlf4YNT,"Clarao Da Lua","Roseaux","Roseaux;Aloe Blacc",2012-11-12,193960,0,false,sartoip888,2025-03-11T13:46:17Z,"retro soul","Tôt Ou Tard",0.791,0.134,4,-20.121,0,0.177,0.576,0.000217,0.0871,0.603,77.98,4
spotify:track:2CTOa3CEBts3p1NyTVLTXU,"What He Wrote","I Speak Because I Can","Laura Marling",2010-01-01,247123,55,false,sartoip888,2025-03-11T12:06:46Z,"wokaliści i autorzy piosenek,gotyk południowy,folk,indie folk","Virgin Records",0.458,0.0987,9,-16.021,0,0.0376,0.948,0.00954,0.109,0.349,139.987,3
spotify:track:3CaFlvMtboeeNFRKHHdsud,"Afro Blue","Lilies","Melanie De Biasio",2017-10-06,273226,45,false,sartoip888,2025-03-11T12:07:20Z,"","[PIAS] Le Label",0.633,0.289,9,-16.518,0,0.0302,0.846,0.489,0.109,0.59,102.02,3
spotify:track:5QzPYn26g8EU2JiaG6bYV3,"Cigarette Duet","Lil' Golden Book","Princess Chelsea",2011-05-02,260013,64,false,sartoip888,2024-05-10T22:09:20Z,"barokowy pop","Lil' Chief Records",0.353,0.539,0,-8.003,0,0.0283,0.326,0.00141,0.0963,0.176,104.966,4
spotify:track:0LespiIDUQjdg9yFdGpgRg,"I Tima","Liberetto II","Lars Danielsson;Tigran;John Parricelli;Magnus Öström;Mathias Eick",2014-08-29,267786,33,false,sartoip888,2025-03-11T13:11:49Z,"jazz,cool jazz,francuski jazz,jazz wokalny,bossa nova,nu jazz","ACT Music",0.59,0.0703,7,-15.587,0,0.0341,0.913,0.87,0.111,0.483,113.885,3
spotify:track:2qVc3mVAW2MCsVzTC5rKaq,"Le Piroguier - Be Svendsen Remix","Between a Smile and a Tear","Be Svendsen;Henri Texier",2018-10-19,453138,35,false,sartoip888,2025-03-11T12:23:28Z,"organic house,tribal house,downtempo,francuski jazz","Music For Dreams",0.814,0.72,9,-8.949,1,0.0708,0.158,0.797,0.119,0.389,111.008,4
spotify:track:1nhrpyC8ppLJTIqM6FZTit,"The Law and The Fist","Komeda","Krzysztof Komeda;Leszek Możdżer",2011-06-24,657306,28,false,sartoip888,2025-03-11T13:10:05Z,"free jazz,jazz","ACT Music",0.355,0.0729,2,-21.715,0,0.0429,0.99,0.92,0.222,0.161,102.813,4
spotify:track:6H0DXOPil8UBKGp5RlIcdj,"Guns Of Brixton","Nouvelle Vague","Nouvelle Vague",2004-05-11,246946,0,false,sartoip888,2019-08-06T08:48:33Z,"lounge","Kwaidan Records",0.752,0.498,0,-9.542,1,0.0359,0.61,0.00000608,0.0766,0.346,119.976,4
spotify:track:6kVauIy0iOT2u1Gs8TBIqJ,"Love Will Tear Us Apart","Nouvelle Vague","Nouvelle Vague",2004-05-11,198026,0,false,sartoip888,2019-08-06T13:01:56Z,"lounge","Kwaidan Records",0.763,0.419,9,-9.47,1,0.0344,0.78,0.0947,0.204,0.689,129.985,4
