Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2zzdnRWE3z6QP3FoVlnWHO,"Main Title Theme - Westworld","Westworld: Season 1 (Music from the HBO® Series)","Ramin Djawadi",2016-12-05,101461,0,false,sartoip888,2019-12-27T15:54:38Z,"ścieżka dźwiękowa","WaterTower Music",0.468,0.363,5,-11.183,1,0.0286,0.657,0.927,0.11,0.06,111.222,3
spotify:track:5t5m1lX199oLwrA2MkQERn,"Main Title","Game of Thrones: Season 6 (Music from the HBO® Series)","Ramin Djawadi",2016-06-24,111208,0,false,sartoip888,2019-12-27T15:57:53Z,"ścieżka dźwiękowa","WaterTower Music",0.194,0.695,8,-10.809,1,0.0578,0.176,0.893,0.12,0.481,170.684,3
spotify:track:43xNuPBzyZmtQ2dO4jaGQK,"For The Love Of A Princess","Braveheart - Original Motion Picture Soundtrack","James Horner;London Symphony Orchestra",1995-01-01,247333,0,false,sartoip888,2019-12-27T16:06:56Z,"ścieżka dźwiękowa,muzyka klasyczna,orkiestra,muzyka operowa","Universal Music Group",0.187,0.0602,9,-25.767,0,0.0464,0.408,0.922,0.122,0.0362,68.751,4
spotify:track:0ZhxXipOfaEFSfbQQbSL2a,"Main Title","The Last Of The Mohicans (Original Motion Picture Soundtrack)","Trevor Jones",1992-01-01,104440,44,false,sartoip888,2019-12-27T16:18:12Z,"ścieżka dźwiękowa","Shout! Factory Records",0.346,0.265,9,-16.082,1,0.0279,0.029,0.702,0.141,0.0365,96.622,3
spotify:track:3LDkLpuxQlEuEiZmkxpr8S,"Far From Any Road","Singing Bones","The Handsome Family",2003-09-29,166493,65,false,sartoip888,2019-12-27T15:55:59Z,"gotyk południowy,country alternatywne,americana","Milk & Scissors",0.707,0.556,9,-10.101,0,0.0303,0.19,0.0159,0.388,0.746,120.028,4
spotify:track:5u1YbXeoLpDuunADJIxQpE,"Bemidji, MN (Fargo Series Main Theme)","Fargo (An Original MGM / FXP Television Series)","Jeff Russo",2014-06-27,148146,36,false,sartoip888,2019-12-27T15:58:56Z,"ścieżka dźwiękowa","Sony Classical",0.168,0.0956,2,-16.33,0,0.0377,0.929,0.956,0.584,0.0663,85.031,3
spotify:track:0fB5YmoryErnk6zc0gLLPy,"Rather Lovely Thing","The Assassination of Jesse James By the Coward Robert Ford","Nick Cave;Warren Ellis",2008-09-17,193040,0,false,sartoip888,2019-12-27T16:34:50Z,"","Mute, a BMG Company",0.125,0.384,0,-12.249,0,0.0304,0.36,0.875,0.11,0.0371,148.858,4
spotify:track:3RoQX4ou3qYEASsuC7YAWD,"Death Is the Road to Awe (feat. Kronos Quartet)","The Fountain OST","Clint Mansell;Kronos Quartet",2006-11-10,505600,37,false,sartoip888,2019-12-27T16:02:26Z,"ścieżka dźwiękowa,minimalizm,awangarda","Nonesuch",0.187,0.411,2,-12.058,0,0.0358,0.606,0.877,0.0975,0.0763,110.6,4
spotify:track:1H3gOebPjpmH2NVs4ssC2L,"Gortoz A Ran","Black Hawk Down (Original Motion Picture Soundtrack)","Denez Prigent",2001-01-29,351640,0,false,sartoip888,2019-12-27T16:06:26Z,"muzyka celtycka","Decca",0.232,0.134,10,-14.354,0,0.0403,0.928,0.00468,0.132,0.037,125.593,3
spotify:track:2hsLpiKNkWpd4e9QuVdhar,"Breaking Bad Main Title Theme (Extended)","Breaking Bad: Original Score from the Television Series","Dave Porter",2012-08-28,75666,48,false,sartoip888,2019-12-27T15:53:19Z,"","Madison Gate Records",0.631,0.426,2,-11.787,0,0.0563,0.746,0.784,0.0962,0.455,153.027,4
