Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4apUkaxoXtUIoslFvoWjDW,"Trape La Verite","Yemen Blues","Yemen Blues",2011,463702,0,false,sartoip888,2020-12-25T00:05:51Z,"mizrahi","Lev Group Media",0.41,0.167,7,-9.235,1,0.0351,0.619,0.0294,0.0898,0.219,112.635,3
spotify:track:6QiC4SbbznTswMh3VpzNTR,"Stop Your Tears","Aldous Harding","Aldous Harding",2015-12-18,338666,0,false,sartoip888,2020-12-25T00:08:23Z,"ambient folk","Aldous Harding",0.45,0.122,10,-13.425,0,0.0335,0.857,0.00000923,0.108,0.205,126.472,4
spotify:track:365h9AQorWpNnXrRehcYAG,"No Peace at All","Aldous Harding","Aldous Harding",2015-12-18,337733,0,false,sartoip888,2020-12-25T00:08:28Z,"ambient folk","Aldous Harding",0.376,0.125,4,-11.064,0,0.0384,0.931,0.000335,0.107,0.0814,113.575,4
spotify:track:39KOhhh83o7jp7We40NSsg,"Let Me Go Let Me Go Let Me Go","Let Me Go, Let Me Go, Let Me Go","Jason Molina",2006-08-22,399933,0,false,sartoip888,2020-12-25T00:16:23Z,"slowcore,country alternatywne,americana,anti-folk","Secretly Canadian",0.674,0.144,0,-13.911,1,0.0417,0.728,0.295,0.0834,0.0621,116.347,4
spotify:track:6iU8upGiZGF7UvBe8tiOvO,"Old Worry","Eight Gates","Jason Molina",2020-08-07,154032,0,false,sartoip888,2020-12-25T00:20:14Z,"slowcore,country alternatywne,americana,anti-folk","Secretly Canadian",0.194,0.0715,7,-17.805,0,0.0406,0.799,0.0158,0.0903,0.0396,146.685,4
spotify:track:3AhoVlFgKjpzZbMwIHppvg,"Be Told the Truth","Eight Gates","Jason Molina",2020-08-07,240778,0,false,sartoip888,2020-12-25T00:20:41Z,"slowcore,country alternatywne,americana,anti-folk","Secretly Canadian",0.188,0.0802,7,-12.373,1,0.0377,0.468,0.557,0.116,0.0919,91.854,3
spotify:track:7EmfIHMLqHETImJInuKxLv,"It's Easier Now","Let Me Go, Let Me Go, Let Me Go","Jason Molina",2006-08-22,241160,0,false,sartoip888,2020-12-25T00:21:07Z,"slowcore,country alternatywne,americana,anti-folk","Secretly Canadian",0.252,0.0825,11,-15.015,0,0.0412,0.972,0.00953,0.385,0.218,86.393,5
spotify:track:2CTOa3CEBts3p1NyTVLTXU,"What He Wrote","I Speak Because I Can","Laura Marling",2010-01-01,247123,55,false,sartoip888,2020-12-25T00:12:28Z,"wokaliści i autorzy piosenek,gotyk południowy,folk,indie folk","Virgin Records",0.458,0.0987,9,-16.021,0,0.0376,0.948,0.00954,0.109,0.349,139.987,3
spotify:track:5kl4Y5XymsUCl98GM7dgab,"Albinoni: Adagio in G Minor","Baroque Masterpieces","Tomaso Albinoni;Sir Neville Marriner;Academy of St. Martin in the Fields",2011-02-07,353360,37,false,sartoip888,2020-12-25T00:06:25Z,"muzyka klasyczna,orkiestra,muzyka kameralna","Warner Classics",0.14,0.097,0,-20.278,0,0.0427,0.692,0.784,0.107,0.0375,89.583,3
spotify:track:3oHSL6pt9LpNrQZuQGu9wL,"Requiem, K. 626: Lacrimosa","Mozart: Requiem Realisations","Wolfgang Amadeus Mozart;Michael Finnissy;Academy of Ancient Music;Stephen Cleobury;Choir of King's College, Cambridge",2013-04-08,169666,59,false,sartoip888,2020-12-25T00:06:15Z,"muzyka klasyczna,muzyka operowa,requiem,fortepian klasyczny,muzyka kameralna,awangarda,muzyka chóralna,boże narodzenie","Kings College Cambridge",0.162,0.0898,2,-23.269,0,0.0354,0.944,0.917,0.187,0.0413,132.047,3
spotify:track:24X1QZJd3vUj3CKWNSCfdo,"Canção verdes anos","Guitarra portuguesa","Carlos Paredes;Fernando Alvim",1967,186906,0,false,sartoip888,2020-12-25T00:10:04Z,"fado","Edições Valentim de Carvalho, S.A.",0.557,0.257,7,-13.017,0,0.0562,0.712,0.668,0.228,0.228,105.108,4
spotify:track:73ik3a517Lz2W7eLWejapJ,"Exit Music","Songs: The Art of the Trio, Vol. 3","Brad Mehldau",1998-09-15,263933,44,false,sartoip888,2020-12-25T00:26:55Z,"jazz,cool jazz","Warner Jazz",0.283,0.174,4,-21.064,0,0.0331,0.921,0.676,0.0582,0.117,154.72,4
spotify:track:2OpvPBcH0O6qJrQaFuPWDc,"Ô Solitude","Birds On a Wire","Rosemary Standley;Dom La Nena;Birds on a Wire",2014-03-31,378880,26,false,sartoip888,2020-12-25T00:28:02Z,"","Air Rytmo",0.356,0.118,5,-14.487,0,0.0324,0.917,0.047,0.118,0.144,62.281,3
spotify:track:0GEMAW2jerbxDFl5R8h12M,"Show","Out Of Season","Beth Gibbons;Rustin Man",2002-01-01,266466,34,false,sartoip888,2020-12-25T00:36:55Z,"trip hop","Universal-Island Records Ltd.",0.465,0.0913,10,-19.24,0,0.0297,0.95,0.08,0.175,0.177,75.757,4
spotify:track:6L5BZEcZmD6RBJnimzlyKr,"Nights In White Satin - Single Version / Mono","Days Of Future Passed (Deluxe Version)","The Moody Blues",1967-11-10,269106,65,false,sartoip888,2020-12-25T00:47:58Z,"rock progresywny,art rock,blues,rock psychodeliczny,barokowy pop","UMC (Universal Music Catalogue)",0.195,0.483,4,-4.991,0,0.03,0.465,0.497,0.0686,0.173,84.71,4
spotify:track:1Cj2vqUwlJVG27gJrun92y,"The Sound of Silence","Immortalized","Disturbed",2015-08-14,248466,76,false,sartoip888,2020-12-25T00:48:17Z,"metal,nu metal,metal alternatywny,rap metal,hard rock","Reprise",0.322,0.28,6,-9.367,0,0.0281,0.468,0.0000011,0.102,0.175,85.794,4
spotify:track:3vNFsxBbA4dPkymPF5Jm1b,"This Mess We're In","Stories From The City, Stories From The Sea","PJ Harvey;Thom Yorke",2000-01-01,235840,58,false,sartoip888,2020-12-25T00:51:24Z,"art pop,wokaliści i autorzy piosenek","Universal-Island Records Ltd.",0.541,0.572,0,-9.634,1,0.0277,0.0266,0.186,0.0925,0.406,126.302,4
spotify:track:0ImZJIFxv4HBobMgG4BRpU,"First Six Months of Love","New Decadence","Michelle Gurevich",2016-09-28,278250,44,false,sartoip888,2021-01-21T18:01:06Z,"slowcore","Michelle Gurevich",0.735,0.394,4,-10.537,0,0.0375,0.269,0.569,0.107,0.878,140.024,4
spotify:track:4j4RE1MZbyflx7ILiDv0CB,"I'll Be Your Woman","Party Girl","Michelle Gurevich",2007-05-01,303160,34,false,sartoip888,2021-01-21T18:01:17Z,"slowcore","Michelle Gurevich",0.574,0.208,7,-16.092,0,0.0581,0.811,0.0158,0.26,0.158,115.836,3
spotify:track:4otkGEyV72X9B5NLK6Dfyk,"Party Girl","Party Girl","Michelle Gurevich",2007-05-01,266506,44,false,sartoip888,2021-01-21T18:01:24Z,"slowcore","Michelle Gurevich",0.696,0.253,6,-14.527,0,0.0397,0.71,0.00925,0.0967,0.415,132.467,4
spotify:track:4rw8KX7KuZDdeMH4O1ey9s,"Blue Eyes Unchanged","Let's Part in Style","Michelle Gurevich",2014-02-24,306793,43,false,sartoip888,2021-01-21T18:01:34Z,"slowcore","Michelle Gurevich",0.794,0.271,4,-15.577,0,0.267,0.306,0.894,0.0946,0.285,124.009,4
spotify:track:1Bph2KY0MA2JUiX5uADWjZ,"Broken","Jake Bugg","Jake Bugg",2012-01-01,247013,52,false,sartoip888,2023-01-25T20:31:23Z,"","EMI",0.439,0.442,8,-8.873,1,0.0288,0.335,0.00889,0.107,0.189,119.81,4
