Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5AJrhrwz4oSZX2PwwV4qrN,"Time of the Season - Mono Version","Odessey and Oracle","The Zombies",1968-04-19,214026,0,false,sartoip888,2019-11-27T13:03:25Z,"barokowy pop,rock psychodeliczny","Marquis Enterprises Ltd",0.537,0.7,4,-6.852,0,0.0366,0.142,0.00000158,0.383,0.695,117.111,4
spotify:track:0m25wKgDxPYiG90PFtXyeC,"Prison Song","Wild Tales","Graham Nash",1973,193693,37,false,sartoip888,2019-11-27T15:33:19Z,"folk rock,wokaliści i autorzy piosenek","Rhino Atlantic",0.631,0.313,0,-14.388,0,0.0475,0.476,0,0.0526,0.792,143.88,4
spotify:track:6y20BV5L33R8YXM0YuI38N,"No One Knows","Songs For The Deaf","Queens of the Stone Age",2002-01-01,278746,73,false,sartoip888,2019-11-28T14:34:25Z,"stoner rock,rock alternatywny","Polydor Associated Labels",0.509,0.584,0,-4.907,1,0.057,0.0368,0.0000996,0.384,0.685,170.411,4
spotify:track:6GyDY0yE47rfk8pcuKhioh,"Make It Wit Chu","Era Vulgaris","Queens of the Stone Age",2007-01-01,290493,68,false,sartoip888,2019-11-28T14:40:27Z,"stoner rock,rock alternatywny","Interscope",0.708,0.828,9,-5.286,1,0.0286,0.413,0.000104,0.12,0.505,91.977,4
spotify:track:5tf1VVWniHgryyumXyJM7w,"Sugar (feat. Francesco Yates)","Sugar","Robin Schulz;Francesco Yates",2015-09-25,219043,80,false,sartoip888,2020-01-17T14:26:20Z,"tropical house","Tonspiel",0.636,0.815,5,-5.098,0,0.0581,0.0185,0,0.163,0.636,123.063,4
spotify:track:5ChkMS8OtdzJeqyybCc9R5,"Billie Jean","Thriller 25 Super Deluxe Edition","Michael Jackson",2008-02-08,293826,79,false,sartoip888,2019-11-28T14:54:13Z,"","Epic/Legacy",0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0153,0.036,0.847,117.046,4
spotify:track:56KqaFSGTb7ifpt16t5Y1N,"Rock the Casbah - Remastered","Combat Rock (Remastered)","The Clash",1982,222426,72,false,sartoip888,2019-11-27T15:40:46Z,"punk","Sony Music UK",0.797,0.872,9,-6.727,0,0.0575,0.291,0,0.284,0.866,129.885,4
spotify:track:6pyzBTIjcO2AMkKE6x2Otb,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack","Greatest","Bee Gees",1979-01-01,285373,0,false,sartoip888,2019-11-27T15:48:13Z,"disco","Universal Music Group",0.703,0.826,10,-7.179,0,0.0341,0.0322,0.00629,0.179,0.945,103.564,4
spotify:track:5xRP5iyVdGglqlY4Vcjhkx,"Sinnerman","Pastel Blues","Nina Simone",1965-10-01,622000,61,false,sartoip888,2019-11-27T13:01:01Z,"jazz wokalny,jazz blues,soul,soul jazz,jazz,blues","Verve Reissues",0.439,0.543,11,-13.35,0,0.0975,0.654,0.00000979,0.0937,0.671,146.704,4
spotify:track:4sFbojhVXQv7dBC9PVCcRn,"Sympathy For The Devil","Beggars Banquet","The Rolling Stones",1968-12-06,377746,1,false,sartoip888,2019-11-27T15:43:11Z,"rock klasyczny,rock","Universal Music Group",0.566,0.673,9,-10.814,1,0.306,0.565,0.00000113,0.0438,0.583,114.385,4
spotify:track:3Iz8duvvoMfQif0mnqDyGu,"She brings the Rain","Soundtracks (Remastered)","CAN",1970,244533,0,false,sartoip888,2019-11-27T15:15:40Z,"krautrock,space rock,rock progresywny,muzyka eksperymentalna,rock psychodeliczny,art rock,proto-punk","Mute",0.511,0.112,5,-14.192,1,0.0395,0.533,0.000844,0.12,0.0541,104.45,4
spotify:track:7xcFTtcCiyRvqLLq8s61WF,"You Never Can Tell","You Never Can Tell: His Complete Chess Recordings 1960 -1966","Chuck Berry",2009-01-01,161946,0,false,sartoip888,2019-11-27T15:49:05Z,"rockabilly,rock and roll","Universal Music Group",0.605,0.837,7,-10.059,1,0.114,0.754,0.0000411,0.3,0.93,157.225,4
spotify:track:300RfAPZ57B0y6YYj9n6DN,"Superstition - Single Version","Number Ones","Stevie Wonder",2007-01-01,244826,2,false,sartoip888,2019-11-27T15:43:50Z,"motown,klasyczny soul,soul","Universal Music Group",0.642,0.735,8,-8.866,1,0.0806,0.0172,0.000733,0.0391,0.864,99.682,4
spotify:track:5FM2zyvBsSQtx9HXZ8dFsc,"I Will Survive - Extended Version","Disco Nights","Gloria Gaynor",2001-01-01,194840,33,false,sartoip888,2019-11-27T15:46:50Z,"disco","Universal Music Group International",0.77,0.692,0,-10.944,1,0.0533,0.0132,0.0192,0.34,0.649,115.953,4
spotify:track:5ZKPYfrfPDMnppinW3Rzxp,"Miserlou","Surfer's Choice","Dick Dale & His Del-Tones",2006-10-17,137426,0,false,sartoip888,2019-11-27T16:15:28Z,"surf rock,rockabilly","Sundazed Music / Modern Harmonic",0.295,0.917,4,-8.008,1,0.052,0.00928,0.728,0.28,0.622,173.316,4
spotify:track:6TQ4DgGhK4if6DNVpyi8V4,"Rumble","Link Wray","Link Wray",2013,145920,38,false,sartoip888,2019-11-27T15:14:40Z,"surf rock,rockabilly,proto-punk,rdzenna muzyka amerykańska,psychobilly","Imperial Music Group",0.551,0.617,9,-9.842,1,0.0339,0.264,0.000784,0.4,0.63,85.145,4
spotify:track:2zrtp9krR2IyT9mi2PaIBC,"I Wonder","Cold Fact","Rodríguez",1970-03-05,154240,58,false,sartoip888,2019-11-27T15:11:17Z,"folk rock,folk","Clarence Avant Catalog",0.53,0.685,9,-6.69,1,0.0658,0.109,0.000277,0.123,0.709,113.618,4
spotify:track:17nOJOcPbcl4sKzM2yyYDp,"Sugar Man","Cold Fact","Rodríguez",1970-03-05,229413,61,false,sartoip888,2019-11-27T15:11:05Z,"folk rock,folk","Clarence Avant Catalog",0.463,0.577,5,-6.542,1,0.043,0.77,0,0.598,0.43,97.83,4
spotify:track:5TeoCsHbzWo9UgMW3rv7JL,"Clap Hands","Rain Dogs","Tom Waits",1985-09-30,226666,0,false,sartoip888,2019-11-27T12:59:21Z,"wokaliści i autorzy piosenek,gotyk południowy","Island Records",0.784,0.401,7,-15.166,1,0.0407,0.6,0.0929,0.0935,0.795,142.794,4
spotify:track:6Rqn2GFlmvmV4w9Ala0I1e,"Feeling Good","I Put A Spell On You","Nina Simone",1965-06-01,174000,74,false,sartoip888,2019-11-27T13:00:42Z,"jazz wokalny,jazz blues,soul,soul jazz,jazz,blues","Verve Reissues",0.451,0.326,7,-9.239,0,0.0372,0.863,0,0.192,0.55,81.726,4
spotify:track:0sjxRg1VlYfx4YG7uxurrq,"I Put A Spell On You","I Put A Spell On You","Nina Simone",1965-06-01,155026,68,false,sartoip888,2019-11-27T13:00:51Z,"jazz wokalny,jazz blues,soul,soul jazz,jazz,blues","Verve Reissues",0.428,0.398,6,-9.13,0,0.0295,0.755,0.000537,0.172,0.365,88.886,3
