Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2jHUVYoCuax8Ffa1JYZX0C,"The Chamber","The Chamber","Lenny Kravitz",2014-06-24,297320,0,false,ankaa133,2018-04-29T13:11:24Z,"","Roxie Records, Inc.",0.661,0.925,7,-6.396,1,0.0327,0.0000949,0.014,0.0713,0.914,117.524,4
spotify:track:265638nD7nlh7Rduh1LkLG,"Hot Stuff - 12"" Version","Bad Girls [Deluxe Edition (US Version)]","Donna Summer",1979-04-25,407053,0,false,ankaa133,2018-04-29T13:11:29Z,"disco,hi-nrg","Universal Music Group",0.796,0.892,0,-8.31,1,0.0333,0.00475,0.0187,0.0717,0.965,120.4,4
spotify:track:5ft1GmMZA4uNX7afvQfDLn,"Just Like Heaven","Kiss Me Kiss Me Kiss Me","The Cure",1987-05-25,212826,1,false,ankaa133,2018-04-29T13:11:32Z,"nowa fala,post-punk,gotycki rock,darkwave","Fiction",0.439,0.837,9,-11.548,1,0.0336,0.0808,0.0024,0.115,0.511,151.994,4
spotify:track:56KqaFSGTb7ifpt16t5Y1N,"Rock the Casbah - Remastered","Combat Rock (Remastered)","The Clash",1982,222426,72,false,ankaa133,2018-04-29T13:11:35Z,"punk","Sony Music UK",0.797,0.872,9,-6.727,0,0.0575,0.291,0,0.284,0.866,129.885,4
spotify:track:0eUZZXQq2obaF9dmJ1Wuwk,"Dancing with Tears in My Eyes - 2009 Remaster","Lament (2009 Remaster)","Ultravox",1984-04-06,280906,0,false,ankaa133,2018-04-29T13:11:39Z,"synthpop,nowa fala","Chrysalis Records",0.593,0.848,9,-9.46,1,0.0411,0.0433,0.000615,0.128,0.923,143.589,4
spotify:track:0fsobk7BdKcbAklk6yVqwV,"Szklana Pogoda","81-91. Największe przeboje","Lombard",2004-01-29,200866,0,false,ankaa133,2018-04-29T13:11:46Z,"","MTJ",0.602,0.849,0,-7.26,1,0.0298,0.03,0,0.262,0.775,134.884,4
spotify:track:3jnQcyntqZ5Btpal1Msikp,"Jesus He Knows Me - Remastered 2007","We Can't Dance","Genesis",1991-11-11,256487,1,false,ankaa133,2018-04-29T13:11:55Z,"rock progresywny,art rock","Virgin Catalogue",0.479,0.886,1,-7.274,1,0.0488,0.49,0.00000444,0.147,0.569,94.934,4
spotify:track:4ePP9So5xRzspjLFVVbj90,"Two Princes","Pocket Full Of Kryptonite","Spin Doctors",1991-08-27,256733,72,false,ankaa133,2018-04-29T13:12:07Z,"","Epic",0.543,0.912,7,-10.71,1,0.0601,0.00162,0.0000021,0.0565,0.836,103.731,4
spotify:track:1H5VQuShs4qfwBXyHF0PeH,"Narcotic - Radio Edit","Narcotic","Liquido",1998-07-10,236150,71,false,ankaa133,2018-04-29T13:12:19Z,"","Liquido Music",0.617,0.607,1,-7.015,1,0.0231,0.000876,0.0701,0.0918,0.446,102.068,4
spotify:track:5fwP61Nmo5xXYIjO9XEWqb,"I'm Still Standing","Too Low For Zero (Remastered With Bonus Tracks)","Elton John",1983-05-30,183440,0,false,ankaa133,2018-04-29T13:12:26Z,"","Universal Music Group",0.504,0.904,6,-6.863,1,0.179,0.356,0.121,0.14,0.772,176.808,4
spotify:track:4fXGWiVhlOLdhwRDP6pIFG,"Lemon Tree","Dish Of The Day","Fools Garden",1995-01-01,191026,2,false,ankaa133,2018-04-29T13:12:36Z,"","Lemonade Music",0.663,0.475,1,-8.834,1,0.0417,0.643,0,0.122,0.644,143.175,4
spotify:track:6L2woktiAuW35BrcROmhW5,"Anyone Who Knows What Love Is (Will Understand)","Straight From The Soul","Irma Thomas",2004-01-01,181293,45,false,ankaa133,2018-04-29T13:12:58Z,"klasyczny soul","Stateside",0.389,0.29,2,-11.868,1,0.0393,0.406,0.0000397,0.0758,0.158,185.007,3
spotify:track:2pZbERJUZsfkKRn1EU1mgD,"You Can Win If You Want","The First & Second Album (30th Anniversary Edition)","Modern Talking",1985,229986,60,false,ankaa133,2018-04-29T13:13:29Z,"italo disco,europop,eurodance","Sony Music Catalog",0.792,0.842,6,-7.589,1,0.03,0.181,0.000185,0.0582,0.761,108.01,4
spotify:track:5PntSbMHC1ud6Vvl8x56qd,"Loser","Mellow Gold","Beck",1994-03-01,235000,72,false,ankaa133,2018-04-29T13:13:39Z,"anti-folk","DGC",0.654,0.611,2,-10.45,1,0.119,0.0337,0.000178,0.405,0.786,85.387,4
spotify:track:4sFbojhVXQv7dBC9PVCcRn,"Sympathy For The Devil","Beggars Banquet","The Rolling Stones",1968-12-06,377746,1,false,ankaa133,2018-04-29T13:13:48Z,"rock klasyczny,rock","Universal Music Group",0.566,0.673,9,-10.814,1,0.306,0.565,0.00000113,0.0438,0.583,114.385,4
spotify:track:6JNJERZGJwDVgkmbohBw7u,"Self Control","Self Control","Laura Branigan",1984,246440,77,false,ankaa133,2018-04-29T13:13:57Z,"","Rhino Atlantic",0.814,0.686,6,-12.172,0,0.0342,0.219,0.00382,0.155,0.778,106.679,4
spotify:track:300RfAPZ57B0y6YYj9n6DN,"Superstition - Single Version","Number Ones","Stevie Wonder",2007-01-01,244826,2,false,ankaa133,2018-04-29T13:14:09Z,"motown,klasyczny soul,soul","Universal Music Group",0.642,0.735,8,-8.866,1,0.0806,0.0172,0.000733,0.0391,0.864,99.682,4
spotify:track:38wCbVfMreML5ZhF5iQuKA,"Disorder - 2007 Remaster","Unknown Pleasures","Joy Division",1979-06-01,209039,0,false,ankaa133,2018-04-29T13:14:37Z,"post-punk,nowa fala,gotycki rock,darkwave,madchester,cold wave","WM UK",0.32,0.798,10,-7.078,0,0.124,0.00033,0.692,0.176,0.74,84.696,4
spotify:track:6NQfUZb5VummNR8rozb8Ic,"Into The Black","Kill For Love","Chromatics",2012-03-26,322994,0,false,ankaa133,2018-04-29T13:15:11Z,"dream pop","Italians Do It Better",0.613,0.384,9,-8.763,0,0.0268,0.96,0.46,0.0789,0.131,109.02,4
