Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5dd9gIPJApoUL72CbyNHZT,"Liquid Lady","Until the Hunter","Hope Sandoval & The Warm Inventions",2016-11-04,383066,31,false,sartoip888,2020-10-20T20:30:05Z,"slowcore,dream pop,art pop","Tendril Tales",0.29,0.437,5,-9.73,0,0.0281,0.122,0.435,0.0791,0.381,139.339,3
spotify:track:3MmhjQnf0BijrCrjftw8Ai,"One More Cup Of Coffee","Obadiah (Bonus Track Version)","Frazey Ford",2010-07-19,259173,0,false,sartoip888,2020-10-20T20:30:14Z,"","Nettwerk Records",0.793,0.327,9,-12.154,0,0.0358,0.557,0.000534,0.688,0.286,125.963,4
spotify:track:17Qzn5Zj3Q1FyfAAcSbERU,"What Are You Fighting For?","Across Six Leap Years","Tindersticks",2013-10-11,249840,36,false,sartoip888,2020-10-20T20:30:24Z,"barokowy pop","Lucky Dog",0.697,0.191,4,-16.543,1,0.0353,0.505,0.55,0.0854,0.373,81.191,4
spotify:track:4apUkaxoXtUIoslFvoWjDW,"Trape La Verite","Yemen Blues","Yemen Blues",2011,463702,0,false,sartoip888,2020-10-20T20:35:16Z,"mizrahi","Lev Group Media",0.41,0.167,7,-9.235,1,0.0351,0.619,0.0294,0.0898,0.219,112.635,3
spotify:track:5gNchicUY2EvUvZOE2eBzg,"Milk and Honey - 2001 Remaster","Jackson C. Frank (2001 Remastered Version)","Jackson C. Frank",1965,217266,0,false,sartoip888,2020-10-20T20:31:01Z,"folk","Transatlantic",0.454,0.106,4,-17.133,0,0.0286,0.948,0.098,0.0997,0.318,106.619,4
spotify:track:59BweHnnNQc5Y55WO30JuK,"Train Song","Some Things Just Stick In Your Mind","Vashti Bunyan",2015,135360,46,false,sartoip888,2020-10-20T20:31:18Z,"folk","Branch Music Ltd.",0.576,0.382,4,-9.98,0,0.0361,0.888,0.000555,0.132,0.55,102.575,4
spotify:track:24X1QZJd3vUj3CKWNSCfdo,"Canção verdes anos","Guitarra portuguesa","Carlos Paredes;Fernando Alvim",1967,186906,0,false,sartoip888,2020-10-20T20:32:19Z,"fado","Edições Valentim de Carvalho, S.A.",0.557,0.257,7,-13.017,0,0.0562,0.712,0.668,0.228,0.228,105.108,4
spotify:track:2yfkIk74snxxoITu4AGK5c,"Apology","New Lute Music for Film","Jozef Van Wissem",2017-05-20,240000,31,false,sartoip888,2020-10-20T20:33:17Z,"","incunabulum",0.499,0.232,1,-18.987,0,0.0567,0.934,0.775,0.105,0.559,91.386,4
spotify:track:4KxSVU5375FbvLctwrtCne,"Strange Fruit","Yesterday I Had The Blues - The Music Of Billie Holiday","José James",2015-02-04,288466,18,false,sartoip888,2020-10-20T20:33:39Z,"jazz wokalny","Universal Music LLC",0.259,0.0133,8,-19.043,1,0.0337,0.986,0.00933,0.107,0.0678,138.094,5
spotify:track:4X24gbKkMyC1VlNFog3EUD,"Mas Que Nada","Barra Limpa","Luiz Henrique",1967-01-01,184173,40,false,sartoip888,2020-10-20T20:33:55Z,"bossa nova,brazylijski jazz","Verve Reissues",0.626,0.238,4,-19.585,0,0.0418,0.881,0.00366,0.182,0.664,78.816,4
spotify:track:00nu8EQxGDlXvdgBsQRD41,"Amir","Amir","Henri Texier",1975,262360,30,false,sartoip888,2020-10-20T20:54:55Z,"francuski jazz","JMS Productions",0.497,0.307,2,-19.266,0,0.0353,0.879,0.951,0.0942,0.52,137.316,4
spotify:track:6lNUewdE3ZY4vUMxXpHtIC,"White Lake","Pale Ravine","Deaf Center",2005-11-07,395440,21,false,sartoip888,2020-11-09T16:23:47Z,"drone,dark ambient,ambient,neoklasycyzm","Type",0.251,0.0754,10,-20.139,0,0.0325,0.921,0.879,0.0952,0.131,85.185,3
spotify:track:0SvNPXHJXNhN7gtlEtwmxm,"Nachtwache, 15. September","Absencen","Kammerflimmer Kollektief",2005-03-15,372040,21,false,sartoip888,2020-11-09T16:43:42Z,"nu jazz,free jazz,awangarda,space rock","Staubgold",0.114,0.446,6,-9.318,1,0.0341,0.728,0.119,0.084,0.0357,172.614,4
spotify:track:2CTOa3CEBts3p1NyTVLTXU,"What He Wrote","I Speak Because I Can","Laura Marling",2010-01-01,247123,55,false,sartoip888,2020-11-11T13:39:10Z,"wokaliści i autorzy piosenek,gotyk południowy,folk,indie folk","Virgin Records",0.458,0.0987,9,-16.021,0,0.0376,0.948,0.00954,0.109,0.349,139.987,3
spotify:track:5V5qO9d020QOsMMbCguqe3,"Annobon","Carnet de routes","Henri Texier;Aldo Romano;Louis Sclavis",1995-01-01,302933,40,false,sartoip888,2020-11-11T13:45:29Z,"francuski jazz,jazz,free jazz","Label Bleu",0.639,0.225,4,-13.462,0,0.0295,0.944,0.638,0.112,0.248,107.982,4
spotify:track:2g41THNLejrMa6A9ORwRou,"Le piroguier","Amir","Henri Texier",1975,264426,24,false,sartoip888,2020-11-11T14:27:29Z,"francuski jazz","JMS Productions",0.635,0.22,4,-14.078,1,0.03,0.859,0.202,0.0775,0.153,109.342,4
spotify:track:1zb2Jn4lYn15sVBpNkxNZy,"The Old Man","Songs for the Old Man","Yom",2015,313080,37,false,sartoip888,2020-11-11T14:34:15Z,"","Buda musique",0.51,0.204,2,-13.818,0,0.0402,0.948,0.904,0.11,0.0984,121.336,4
spotify:track:3mnSq0DGKWTZcU3ccymC79,"De Cara a la Pared","La Llorona","Lhasa De Sela",1997-02-04,255360,46,false,sartoip888,2020-11-11T14:50:19Z,"","Audiogram",0.607,0.415,2,-13.883,0,0.0356,0.799,0.0215,0.387,0.373,121.101,4
spotify:track:4dmpNeoiu2E3MJQGBSF8QW,"Will Soon Be a Woman","Diagnostic (Version remasterisée)","Ibrahim Maalouf",2011-10-26,331000,33,false,sartoip888,2020-11-11T15:16:33Z,"francuski jazz,jazz","Mi'ster",0.236,0.369,4,-13.608,0,0.031,0.875,0.915,0.0707,0.124,67.438,3
spotify:track:1KFyl8gBPdv53l3Wrcv7jS,"The Night [Alternate Version]","At Your Service (Anthology)","Morphine",2009-10-05,284560,35,false,sartoip888,2020-11-11T15:25:41Z,"","Ryko/Rhino",0.592,0.443,5,-15.27,0,0.0334,0.659,0.128,0.16,0.293,91.357,4
spotify:track:0cnoQyMcZXsYEtOF4qm8WG,"Golden Brown","1992-1998","Bedhead",2014-11-11,207880,0,false,sartoip888,2020-11-11T16:01:44Z,"slowcore,shoegaze,post-rock","Numero Group",0.618,0.287,1,-12.991,1,0.0324,0.411,0.0000535,0.143,0.73,92.347,3
spotify:track:5kirwoi2qsGTuWd8ez94Rm,"The Garden","Strategies Against Architecture III","Einstürzende Neubauten",1991-05-21,313306,0,false,sartoip888,2020-11-11T16:05:27Z,"industrial,industrial rock,muzyka eksperymentalna,ebm,awangarda,krautrock,noise rock,post-punk","Mute",0.409,0.298,0,-8.257,1,0.0312,0.112,0.0123,0.0957,0.135,93.263,4
spotify:track:5zb7npjQqoJ7Kcpq4yD9qn,"You Want It Darker","You Want It Darker","Leonard Cohen",2016-10-21,284373,59,false,sartoip888,2020-11-11T16:11:07Z,"wokaliści i autorzy piosenek","Columbia",0.674,0.327,4,-16.986,0,0.0574,0.613,0.199,0.0756,0.494,108.995,4
spotify:track:1XuccRABkfUVB4FjSVhjL1,"Alone Again Or - 2015 Remaster","Forever Changes (2015 Remaster)","Love",1967,197274,51,false,sartoip888,2020-11-11T16:15:26Z,"rock psychodeliczny,acid rock,barokowy pop,proto-punk","Rhino/Elektra",0.318,0.303,11,-15.572,0,0.0302,0.664,0.000223,0.113,0.226,174.254,4
spotify:track:4j4RE1MZbyflx7ILiDv0CB,"I'll Be Your Woman","Party Girl","Michelle Gurevich",2007-05-01,303160,34,false,sartoip888,2020-11-11T16:19:35Z,"slowcore","Michelle Gurevich",0.574,0.208,7,-16.092,0,0.0581,0.811,0.0158,0.26,0.158,115.836,3
spotify:track:0PV3TXgRdsbdBqjo1sKRda,"Prière, pt. 3 - Méditation, no. 1","Prière","Yom;Baptiste-Florian Marle-Ouvrard",2018-03-23,571360,15,false,sartoip888,2020-11-11T16:24:12Z,"","Buda musique",0.163,0.188,7,-16.438,0,0.0367,0.195,0.89,0.111,0.0355,95.262,4
spotify:track:39KOhhh83o7jp7We40NSsg,"Let Me Go Let Me Go Let Me Go","Let Me Go, Let Me Go, Let Me Go","Jason Molina",2006-08-22,399933,0,false,sartoip888,2020-11-11T16:53:36Z,"slowcore,country alternatywne,americana,anti-folk","Secretly Canadian",0.674,0.144,0,-13.911,1,0.0417,0.728,0.295,0.0834,0.0621,116.347,4
