Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0g5BsN2KqueBRh83PUGTsO,"Dale","Dale","Lua Preta;B4mba",2019-07-19,193352,0,false,sartoip888,2020-01-16T15:49:35Z,"brytyjski funk,kuduro","U Know Me Records",0.851,0.501,1,-9.901,1,0.19,0.247,0.00589,0.108,0.521,150.039,4
spotify:track:43sFPakNn7jXG6BFap9U0v,"Karwoski","Marginal","Pablopavo i Ludziki",2018-10-12,304038,32,false,sartoip888,2020-01-16T15:40:27Z,"","Karrot Kommando",0.746,0.695,9,-8.231,0,0.111,0.307,0.0104,0.108,0.598,130.07,4
spotify:track:6reyjEvheJxdiizR31n7ib,"Dancingowa Piosenka Miłosna","Polor","Pablopavo i Ludziki",2014-01-25,246613,33,false,sartoip888,2020-01-16T15:39:28Z,"","Karrot Kommando",0.69,0.612,2,-9.153,1,0.106,0.176,0.0000131,0.108,0.585,143.871,4
spotify:track:2VE0cFIkyCocERfmBddREU,"U mnie w pracy","Mistrz sztuki","Rau Performance;Adi Nowak",2018-10-23,295640,22,false,sartoip888,2020-01-16T15:50:32Z,"","Rau Performance",0.787,0.525,8,-7.307,1,0.276,0.407,0,0.131,0.314,119.95,4
spotify:track:6YvAJrwj4NxjYHbGhICcov,"Lascaux","Lascaux","Bisz/Radex;Bisz;Radek Łukasiewicz",2019-06-05,200625,5,true,sartoip888,2020-01-16T15:48:07Z,"","PchamyTenSyf",0.702,0.71,2,-12.043,1,0.311,0.0951,0.0000605,0.107,0.67,159.871,4
spotify:track:4rLRJ8MHP4XSXb85WIJa3o,"Mostra Pistola","Polaquinha Preta","Lua Preta",2019-09-27,179015,0,false,sartoip888,2020-01-16T15:51:19Z,"brytyjski funk,kuduro","U Know Me Records",0.894,0.434,10,-10.708,0,0.12,0.112,0.765,0.116,0.344,130.011,4
spotify:track:2wrwvV2h8WaYc3Uu9SD2c5,"Smutna Muzyka","Smutna Muzyka","Martwy Robot Projekt",2019-10-03,213373,0,false,sartoip888,2020-01-16T15:55:25Z,"jungle","#martwyrobot",0.804,0.504,4,-7.613,0,0.085,0.00347,0.528,0.162,0.381,92.042,4
spotify:track:4SC2oKvPviNa7Sqr6VNjGo,"Mandarynki","Tato Hemingway","Kamil Pivot",2017-12-15,234362,0,false,sartoip888,2020-01-16T16:05:42Z,"","Kamil Pivot",0.872,0.468,11,-7.808,0,0.372,0.568,0,0.108,0.411,86.004,4
spotify:track:7lpGfZeRhcLlvpcDcSKCFQ,"Kocham być z tobą","Sea You Later","The Dumplings",2015-11-13,252122,42,false,sartoip888,2020-01-16T16:09:54Z,"","WM Poland/WMI",0.64,0.688,9,-6.98,0,0.0367,0.326,0.00466,0.141,0.199,120.038,4
spotify:track:01VEpM38d3fcWZddfuYWOv,"Nie gotujemy","Sea You Later","The Dumplings",2015-11-13,233614,40,false,sartoip888,2020-01-16T16:10:14Z,"","WM Poland/WMI",0.756,0.681,6,-5.649,0,0.0309,0.17,0.144,0.381,0.577,120.009,4
spotify:track:1L5gGRUW4li9TyFZnnl0HO,"Panie inżynierze","Marginal","Pablopavo i Ludziki",2018-10-12,252808,29,false,sartoip888,2020-01-24T11:28:46Z,"","Karrot Kommando",0.755,0.791,9,-7.803,0,0.323,0.325,0.000228,0.105,0.626,92.024,4
spotify:track:1QzVCtWLZLTKRT21MpWuca,"Nów","Zachód","Meek;Oh Why?",2019-11-21,215635,0,false,sartoip888,2020-01-24T11:40:08Z,"","Asfalt Records Sp. z o.o",0.62,0.449,7,-9.764,0,0.0837,0.622,0.00000342,0.574,0.482,90.085,4
spotify:track:406Iqhz3xKxBCrzntjn15y,"Poka Jak u Ciebie Tańczą","Kwiaty i Korzenie","Bitamina;Grubson;Jarecki;Schrott",2019-06-28,218800,0,false,sartoip888,2020-01-24T11:40:59Z,"","Kalejdoskop Records",0.591,0.72,10,-8.744,0,0.536,0.702,0,0.673,0.719,89.24,4
spotify:track:7kcjA2TGuGQouLJzwrgFta,"Błysk","BŁYSK","Hey",2016-04-22,175877,0,false,sartoip888,2020-01-30T15:06:37Z,"","Kayax Production",0.775,0.442,1,-11.022,0,0.0523,0.0271,0.316,0.11,0.106,119.987,4
