Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:73ik3a517Lz2W7eLWejapJ,"Exit Music","Songs: The Art of the Trio, Vol. 3","Brad Mehldau",1998-09-15,263933,44,false,sartoip888,2019-01-10T12:04:25Z,"jazz,cool jazz","Warner Jazz",0.283,0.174,4,-21.064,0,0.0331,0.921,0.676,0.0582,0.117,154.72,4
spotify:track:1qdhcvW9Qo8YxNImH38AcP,"Venus In Furs","The Velvet Underground & Nico 45th Anniversary (Super Deluxe Edition)","The Velvet Underground;Nico",1967-03-12,312253,0,false,sartoip888,2019-01-10T12:04:25Z,"proto-punk,art rock","Universal Music Group",0.251,0.619,8,-9.904,0,0.0336,0.00126,0.736,0.0802,0.574,144.407,4
spotify:track:2mspT2rx7MBcE63cQ45wUF,"Quatere","Mario Batkovic","Mario Batkovic",2017-03-17,378746,0,false,sartoip888,2019-01-10T12:04:25Z,"","INVADA Records",0.816,0.563,2,-10.366,1,0.0695,0.875,0.959,0.0904,0.122,102.493,4
spotify:track:36C85VF4qLbSCTr4gx4tvt,"Beboyi Yerki - Remastered","Sen Balık Değilsin ki (Remastered)","Gevende",2011-02-15,355982,20,false,sartoip888,2019-01-10T12:04:25Z,"","Baykush Music",0.287,0.227,2,-14.753,0,0.0328,0.304,0.106,0.105,0.0398,138.995,3
spotify:track:7kveDuMIniKkOh2nZpYMb8,"Genedigaeth koring-bato","Clychau Dibon","Catrin Finch;Seckou Keita",2013-10-13,398920,25,false,sartoip888,2019-01-10T12:04:25Z,"requiem","Astar Artes Recordings",0.323,0.114,0,-18.433,0,0.0457,0.962,0.871,0.0876,0.167,87.109,4
spotify:track:2OpvPBcH0O6qJrQaFuPWDc,"Ô Solitude","Birds On a Wire","Rosemary Standley;Dom La Nena;Birds on a Wire",2014-03-31,378880,26,false,sartoip888,2019-01-10T12:04:25Z,"","Air Rytmo",0.356,0.118,5,-14.487,0,0.0324,0.917,0.047,0.118,0.144,62.281,3
spotify:track:523hTpQ28XvghDAn9rsVY8,"My Name Is Carnival - 2001 Remaster","Jackson C. Frank (2001 Remastered Version)","Jackson C. Frank",1965,224866,0,false,sartoip888,2019-01-10T12:04:25Z,"folk","Transatlantic",0.448,0.37,8,-11.653,1,0.0273,0.76,0,0.113,0.414,103.807,4
spotify:track:1hIyVmB6tdlu39AXTqhTC7,"Klara stjärnor","Musik genom fyra sekler","Jan Johansson",1968,213853,29,false,sartoip888,2019-01-10T12:04:25Z,"jazz","Heptagon",0.328,0.141,4,-22.754,0,0.046,0.972,0.9,0.144,0.159,171.722,4
spotify:track:5jXJbl9sB6ldSla4suSwXW,"Werewolf","You Are Free","Cat Power",2003-02-17,245293,0,false,sartoip888,2019-01-10T12:04:25Z,"slowcore,wokaliści i autorzy piosenek","Matador",0.433,0.112,9,-14.043,0,0.0292,0.45,0.0132,0.104,0.277,94.043,4
spotify:track:0nsw7Km6kdrKQqfGSmnYmx,"Teil I","Der Klang der Offenbarung des Göttlichen","Davíð Þór Jónsson;Deutsches Filmorchester Babelsberg",2016-10-28,483674,0,false,sartoip888,2019-01-10T12:04:25Z,"awangarda,neoklasycyzm","KRUNK",0.129,0.284,0,-12.7,0,0.0399,0.0585,0.882,0.0873,0.0359,83.157,1
spotify:track:4mP5YjG4fLQr8xbAAWodS0,"Gogol","Solo Piano","Chilly Gonzales",2004,122546,0,false,sartoip888,2019-01-10T12:04:25Z,"neoklasycyzm","Gentle Threat Ltd.",0.402,0.0247,7,-23.717,0,0.0504,0.989,0.932,0.116,0.178,76.897,4
spotify:track:0oMf9qpKbR0oPCVzgi78wn,"The Boss Bossa Nova","Lioness","Sivert Høyem",2016-01-29,312493,0,false,sartoip888,2019-01-10T12:04:25Z,"norweski pop","Hektor Grammofon",0.666,0.549,6,-9.579,0,0.0332,0.0505,0.0612,0.066,0.22,152.391,4
spotify:track:4uKtmgTLJJWFab5DjMGRGm,"Song to the Siren","Cowboy Worship","Amen Dunes",2014-01-23,224635,0,false,sartoip888,2019-01-10T12:04:25Z,"","Sacred Bones",0.289,0.359,10,-11.515,1,0.037,0.426,0.00584,0.117,0.0812,72.269,3
spotify:track:1KxWCgesihRT77Uc1QsnCh,"Ice Tree","Anamkhara","Kelly Thoma",2009-12-12,564240,22,false,sartoip888,2019-01-10T12:04:25Z,"","Kelly Thoma",0.208,0.279,10,-10.202,1,0.0349,0.829,0.00344,0.0945,0.116,107.11,4
spotify:track:66hmFhdoI5YyDtNQYF2LoW,"Flowering Jasmine","De Profundis","Gidon Kremer",2010-09-10,408093,28,false,sartoip888,2019-01-10T12:04:25Z,"muzyka kameralna,muzyka klasyczna,tango,minimalizm","Nonesuch",0.298,0.0315,9,-30.249,0,0.0449,0.975,0.714,0.0582,0.0551,135.392,3
spotify:track:0evhabxKRo28moFOrw185S,"A Cool Wind Is Blowing","I Will Not Be Sad In This World","Djivan Gasparyan",1983,244000,0,false,sartoip888,2019-01-10T12:04:25Z,"sufi","All Saints Records",0.133,0.184,7,-16.498,1,0.0458,0.995,0.96,0.119,0.0471,86.178,4
spotify:track:4oDbSlwb8ccn0FmkIevK5A,"Autopsy","Unhalfbricking","Fairport Convention",1969-07,264506,35,false,sartoip888,2019-01-10T12:04:25Z,"folk rock,folk,tradycyjny folk","Island Records",0.594,0.185,7,-16.683,0,0.031,0.353,0.0555,0.187,0.328,67.179,4
spotify:track:0J7HqTpv9twGKUc0rnqfYX,"Paris, Texas","Lunático","Gotan Project",2006,405946,30,false,sartoip888,2019-01-10T12:04:25Z,"tango,nu jazz,lounge","¡Ya Basta! records",0.795,0.281,9,-12.007,0,0.0569,0.0764,0.849,0.0933,0.0745,140.025,3
spotify:track:4358hwCWqusiLUmQth8Fi3,"Melancholia I","Melancholia","William Basinski",2003-01-17,205133,0,false,sartoip888,2019-01-10T12:04:25Z,"ambient,drone,minimalizm,dark ambient","2062",0.404,0.0459,4,-27.943,1,0.049,0.99,0.814,0.0839,0.038,79.453,5
spotify:track:2D3QPNZOa8C7IFu0EqpE6W,"Weeping willow","Happiness","Sébastien Schuller",2005,329986,0,false,sartoip888,2019-01-10T12:04:25Z,"","(contrat clos) La Tribu",0.529,0.589,9,-9.521,0,0.0282,0.296,0.0000404,0.101,0.363,74.984,4
