Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7k3YrlUP1DxGe802jjuT1L,"Yègellé Tezeta","New York - Addis - London: The Story of Ethio Jazz 1965-1975","Mulatu Astatke",1969,194293,0,false,sartoip888,2019-04-10T15:37:17Z,"etiopski jazz","Strut",0.839,0.233,3,-13.539,1,0.0414,0.745,0.746,0.105,0.778,125.597,4
spotify:track:61S0mEfdRtJ62Fc7fPqx0U,"Feeling Good","I Put A Spell On You","Nina Simone",1965-06,174000,0,false,sartoip888,2019-04-10T15:41:35Z,"jazz wokalny,jazz blues,soul,soul jazz,jazz,blues","Universal Music Group",0.399,0.326,7,-9.239,0,0.0386,0.864,0,0.191,0.546,79.206,4
spotify:track:177w3TzYIhGWiVXFDD7KvR,"Don't Let Me Be Misunderstood","Feeling Good","Nina Simone",1994-01-01,166000,0,false,sartoip888,2019-04-10T15:41:38Z,"jazz wokalny,jazz blues,soul,soul jazz,jazz,blues","Universal Music Group",0.388,0.381,11,-15.709,0,0.0754,0.78,0,0.355,0.503,157.452,4
spotify:track:0C5ex13H3zRMsqSROZu78W,"I Put A Spell On You","I Put A Spell On You","Nina Simone",1965-06,155026,0,false,sartoip888,2019-04-10T15:41:40Z,"jazz wokalny,jazz blues,soul,soul jazz,jazz,blues","Universal Music Group",0.42,0.398,6,-9.13,0,0.0296,0.755,0.000537,0.172,0.364,88.897,3
spotify:track:2HDwGSgOBJD9lE3BF5JEec,"Sinnerman - Live In New York/1965","Pastel Blues (Originals)","Nina Simone",1965-01-01,622000,0,false,sartoip888,2019-04-10T15:42:30Z,"jazz wokalny,jazz blues,soul,soul jazz,jazz,blues","Universal Music Group",0.436,0.543,11,-13.351,0,0.0962,0.654,0.00000935,0.0937,0.663,148.282,4
spotify:track:6t7114vjifhk37tqCO3yRx,"Los Angeles Mood (Chromium Descensions) - Instrumental","Night on Earth","Tom Waits",1991,155306,17,false,sartoip888,2019-04-10T15:38:52Z,"wokaliści i autorzy piosenek,gotyk południowy","Jalma Music",0.355,0.0064,9,-31.759,0,0.0454,0.972,0.636,0.122,0.227,122.489,4
spotify:track:1zDaxoiAxuE0DaxAThksx0,"On the Other Side of the World - Instrumental","Night on Earth","Tom Waits",1991,238800,12,false,sartoip888,2019-04-10T15:39:11Z,"wokaliści i autorzy piosenek,gotyk południowy","Jalma Music",0.486,0.0277,5,-28.053,0,0.0401,0.89,0.901,0.111,0.18,103.593,3
spotify:track:0KgEFupF6s1XGKxUkf49Zn,"Singapore","Rain Dogs","Tom Waits",1985-09-30,164533,0,false,sartoip888,2019-04-10T15:39:40Z,"wokaliści i autorzy piosenek,gotyk południowy","Universal Music Group",0.798,0.524,11,-15.022,0,0.142,0.383,0,0.115,0.879,99.503,4
spotify:track:3eo72k87jxVY8zoRefxkpy,"Jockey Full Of Bourbon","Rain Dogs","Tom Waits",1985-09-30,166040,0,false,sartoip888,2019-04-10T15:39:55Z,"wokaliści i autorzy piosenek,gotyk południowy","Universal Music Group",0.675,0.501,11,-16.45,1,0.0608,0.912,0.807,0.277,0.964,82.756,4
spotify:track:7M9BT26DAgCpbNmn9V28MS,"Rain Dogs","Rain Dogs","Tom Waits",1985-09-30,175933,0,false,sartoip888,2019-04-10T15:41:13Z,"wokaliści i autorzy piosenek,gotyk południowy","Universal Music Group",0.782,0.295,2,-13.788,1,0.0844,0.494,0.00000305,0.0762,0.566,135.08,4
spotify:track:2UZxUSA4TxbS5tXUB5QSoL,"How's It Gonna End - Remastered","Real Gone (Remastered)","Tom Waits",2004-10-05,290680,34,false,sartoip888,2019-05-25T12:46:40Z,"wokaliści i autorzy piosenek,gotyk południowy","Anti/Epitaph",0.674,0.229,9,-16.703,0,0.329,0.838,0.00361,0.0981,0.628,110.929,4
spotify:track:4SdxIVjnNQlnQ1m26TrdaM,"Yekermo Sew","Ethio Jazz Vol. 1","Mulatu Astatke",2006-01-01,264693,13,false,sartoip888,2019-04-10T15:37:07Z,"etiopski jazz","AZMARI",0.693,0.723,1,-8.533,1,0.0264,0.13,0.208,0.0926,0.738,120.099,4
spotify:track:06bQDJZxx9emm03474fgJE,"Destined for Great Things","The Assassination of Jesse James By the Coward Robert Ford","Nick Cave;Warren Ellis",2008-09-17,145960,0,false,sartoip888,2019-04-10T15:44:58Z,"","Mute, a BMG Company",0.0688,0.0825,2,-17.919,0,0.0388,0.845,0.961,0.0832,0.0728,64.855,4
