Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6J3HNhDBIwEX11bX8hzx5u,"Colors","Black Pumas","Black Pumas",2019-06-21,246586,72,false,sartoip888,2024-08-14T22:05:58Z,"retro soul","ATO Records",0.388,0.694,1,-6.537,0,0.0459,0.0951,0.0000179,0.199,0.6,180.043,4
spotify:track:1s5IgWBZmQLfdSaAHBFuEu,"Palisade (feat. Michael Rose)","Palisade","Parker Millsap;Michael Rose",2012-04-18,203560,45,false,sartoip888,2024-08-14T22:27:22Z,"gotyk południowy,americana,country alternatywne,roots reggae,reggae,rocksteady,dub","Okrahoma Records LLC",0.859,0.307,2,-11.015,1,0.0714,0.423,0.0000714,0.108,0.583,115.027,4
spotify:track:7aHMTN6QuGwUP0z4Vvu8Z7,"There Is An End","Sewed Soles","The Greenhornes;Holly Golightly",2005-01-01,184893,43,false,sartoip888,2024-09-03T17:31:37Z,"garage rock","UMC (Universal Music Catalogue)",0.699,0.521,11,-6.734,0,0.0268,0.148,0.000952,0.133,0.793,107.053,4
spotify:track:0lwUIYJfWGB8qUEAJtYfb6,"Broken Bones","A/B","KALEO",2016-06-10,245960,68,false,sartoip888,2024-08-26T13:47:49Z,"","Elektra (NEK)",0.779,0.486,5,-7.205,1,0.193,0.802,0.0000576,0.0992,0.654,123.993,4
spotify:track:3oUphdZVPyrsprZ8FgbmQS,"I Need A Dollar","Good Things","Aloe Blacc",2010-09-28,243053,68,false,sartoip888,2024-08-14T22:45:39Z,"","Stones Throw Records",0.84,0.481,6,-7.123,0,0.0336,0.199,0,0.0873,0.955,95.497,4
spotify:track:7KX65PC1UZuImsUInThbav,"Cold Little Heart - Radio Edit","Cold Little Heart (Radio Edit)","Michael Kiwanuka",2017-02-24,210299,73,false,sartoip888,2024-08-14T22:54:31Z,"soul","Polydor Records",0.629,0.58,7,-6.208,0,0.0278,0.357,0.000353,0.436,0.655,110.264,4
spotify:track:4YeYupLm97ehlhYhboqMxM,"Better Days","The Meltdown","The Meltdown",2017-04-07,237350,65,false,sartoip888,2024-08-14T22:13:48Z,"retro soul,soul blues","HopeStreet Recordings",0.812,0.398,7,-10.103,0,0.0403,0.676,0.000697,0.0768,0.922,119.257,4
spotify:track:4yA2SM7XCLkSgkBUSoZb5S,"Sing","The Invisible Band","Travis",2001-06-12,228800,70,false,sartoip888,2024-08-14T23:03:59Z,"britpop","Craft Recordings",0.33,0.905,4,-5.047,1,0.0497,0.000233,0.00000814,0.0712,0.259,163.142,4
spotify:track:6RJK553YhstRzyKA4mug09,"The Letter","The Letter/Neon Rainbow","The Box Tops",1967,112800,65,false,sartoip888,2024-08-14T22:33:10Z,"","Arista/Legacy",0.638,0.428,9,-12.156,0,0.0687,0.252,0,0.132,0.901,139.434,4
spotify:track:4eMxLQtSdgxdA1Hs6D2YuN,"In Hell I'll Be in Good Company","Good Company","The Dead South",2014-04-26,245320,68,false,sartoip888,2024-08-14T22:52:35Z,"bluegrass,gotyk południowy,newgrass","Six Shooter Records Inc.",0.772,0.235,7,-9.075,0,0.0479,0.753,0.00125,0.111,0.703,154.802,4
spotify:track:5Q0uilamiVtrGSeqVPN9Dn,"Freedom","Django Unchained","Rob Starr & The Hollywood Singers and Orchestra",2014-05-18,260884,45,false,sartoip888,2024-08-14T22:53:32Z,"","iMusician Digital",0.619,0.362,1,-7.647,0,0.0264,0.555,0.00000136,0.114,0.144,103.028,4
spotify:track:3rkRWnb8aaiXMevBmf2Ul8,"Out With the Crow","Out With the Crow","The Haunted Windchimes",2012-04-24,164880,53,false,sartoip888,2024-08-26T13:05:19Z,"gotyk południowy,bluegrass,americana,newgrass,folk","Blank-Tape Records",0.613,0.351,10,-11.908,0,0.307,0.743,0.0000175,0.0835,0.797,179.476,4
