Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0vlCOzte4bru0gK74lfUIJ,"Once Upon A Time In The West","Communiqué","Dire Straits",1979-06-15,324200,69,false,sartoip888,2025-09-05T11:27:46Z,"rock klasyczny","EMI",0.679,0.655,9,-11.859,0,0.0456,0.22,0.0198,0.109,0.898,146.556,4
spotify:track:61Ad95lVR8KdblY5He6SY8,"How Was It for You","Released","Snowy White",2016-10-21,166693,60,false,sartoip888,2025-09-05T11:27:57Z,"blues,blues rock","Snowy White",0.547,0.174,4,-15.047,0,0.0352,0.81,0.357,0.105,0.246,135.133,3
spotify:track:3WfjYZbJiVpdjPdeduMLFX,"Alchemy","Peace Machine","Philip Sayce",2012-09-27,306666,58,false,sartoip888,2025-09-05T11:29:37Z,"blues rock,współczesny blues,blues","Philip Sayce",0.547,0.549,3,-6.431,0,0.0279,0.0298,0.716,0.153,0.145,114.797,3
spotify:track:6vTX4Fc8Zp2YWM3hHUQviF,"Iron Hand","On Every Street","Dire Straits",1991-09-10,188200,54,false,sartoip888,2025-09-05T11:53:16Z,"rock klasyczny","EMI",0.65,0.208,4,-15.491,0,0.0264,0.67,0.00615,0.129,0.222,88.994,4
spotify:track:2kKNeapwCHUUvMhmAOGce6,"Where Do You Think You're Going?","Communiqué","Dire Straits",1979-06-15,229640,64,false,sartoip888,2025-09-05T11:57:24Z,"rock klasyczny","EMI",0.455,0.493,9,-12.738,0,0.0414,0.449,0.0158,0.116,0.484,155.165,4
spotify:track:7JK8XRHurusTnfalMv43sr,"Midnight Blues","No Faith Required","Snowy White;The White Flames",1996-10-07,513360,53,false,sartoip888,2025-09-05T13:01:45Z,"blues,blues rock","Snowy White",0.477,0.251,4,-12.852,0,0.0592,0.782,0.0387,0.0842,0.114,131.876,4
spotify:track:5XeQu9g1xNL8Wm6FIujcno,"Rain Plans","Israel Nash's Rain Plans","Israel Nash",2014-08-19,438709,50,false,sartoip888,2025-09-05T13:28:19Z,"americana,country alternatywne,folk rock","Desert Folklore Music",0.26,0.541,4,-8.913,0,0.0283,0.0274,0.811,0.11,0.412,146.471,4
spotify:track:3J0NmgZfufXdcWsmllAPoo,"Your Love's Like Heroin","Ice Cream In Hell","Tinsley Ellis",2020-01-31,427283,35,false,sartoip888,2025-09-05T14:10:45Z,"blues,blues rock,współczesny blues","Alligator Records",0.398,0.268,2,-8.626,0,0.0388,0.545,0.0153,0.112,0.108,154.888,3
spotify:track:4cgFj6WrnVjIJylDEwQ54G,"Dead Mans Blues","American Shuffle","Roy Williams",2021-03-05,190902,49,false,sartoip888,2025-09-05T15:19:10Z,"","Epidemic Sound",0.541,0.579,2,-6.136,0,0.0302,0.0159,0.874,0.159,0.325,149.737,3
spotify:track:63JIZfWgk8RfqtodNGI0w2,"Follow Me Home","Communiqué","Dire Straits",1979-06-15,350866,50,false,sartoip888,2025-09-05T19:49:24Z,"rock klasyczny","EMI",0.729,0.396,11,-17.765,0,0.0424,0.777,0.597,0.35,0.567,98.955,4
spotify:track:1AH4vynITvfsVtpJq9NUB2,"The Man's Too Strong - Remastered 1996","Brothers In Arms (Remastered 1996)","Dire Straits",1985-05-13,278706,57,false,sartoip888,2025-09-05T19:58:15Z,"rock klasyczny","UMC (Universal Music Catalogue)",0.612,0.285,7,-14.482,1,0.0273,0.442,0.0000929,0.27,0.23,97.552,4
spotify:track:6XaNSS7E0cJwuBAV7epBi9,"Slabo Day","After Paradise","Snowy White",2012-11-16,315810,48,false,sartoip888,2025-09-08T10:08:51Z,"blues,blues rock","Snowy White Distributions",0.504,0.398,9,-15.462,0,0.0266,0.143,0.769,0.442,0.484,90.968,4
spotify:track:4TIJ7zSBNejpoIPaWpWRKc,"Rebel Yell","Rebel Yell","Billy Idol",1983-11-01,288533,77,false,sartoip888,2025-09-08T10:18:21Z,"","CAPITOL CATALOG MKT (C92)",0.531,0.864,4,-4.948,0,0.0611,0.000753,0.00046,0.354,0.485,166.312,4
spotify:track:4XxMVIDKRAYKlZ6pLt9zJ2,"Sweet Sixteen","Whiplash Smile","Billy Idol",1986-10-20,257813,60,false,sartoip888,2025-09-08T10:18:26Z,"","CAPITOL CATALOG MKT (C92)",0.595,0.594,9,-12.682,0,0.0326,0.563,0.0339,0.114,0.703,156.342,4
spotify:track:1gzIbdFnGJ226LTl0Cn2SX,"White Wedding - Pt. 1","Billy Idol","Billy Idol",1982-01-01,252200,74,false,sartoip888,2025-09-08T10:18:30Z,"","CAPITOL CATALOG MKT (C92)",0.673,0.814,9,-5.411,1,0.0367,0.0134,0.00293,0.343,0.728,147.193,4
spotify:track:4XU3UbQRXTkBR8VastbrFK,"White Wedding - Parts 1 And 2 - Shotgun Mix; 2001 Remastered Version","80s 12'' Party","Billy Idol",2011-06-20,506080,59,false,sartoip888,2025-09-08T10:20:04Z,"","Parlophone UK",0.664,0.646,9,-10.702,1,0.0339,0.0156,0.00765,0.309,0.685,146.899,4
