Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7wqF3BU0ykeKch6BcNqGiT,"Planet Caravan","Paranoid (2009 Remastered Version)","Black Sabbath",1970-09-18,269533,0,false,sartoip888,2019-10-11T13:59:01Z,"metal,heavy metal,rock,stoner rock,doom metal,hard rock","Sanctuary Records",0.417,0.0889,2,-24.661,1,0.036,0.926,0.897,0.083,0.411,88.25,4
spotify:track:0y1eaipbcP50xp6WLgJtuv,"Solitude","Master of Reality (2009 Remastered Version)","Black Sabbath",1971-07-21,301640,0,false,sartoip888,2019-10-11T19:48:29Z,"metal,heavy metal,rock,stoner rock,doom metal,hard rock","Sanctuary Records",0.307,0.024,7,-28.353,0,0.0411,0.831,0.758,0.12,0.524,109.732,3
spotify:track:3jNGLTOcA4a34rZD2y392C,"Bourée","Repeat - The Best of Jethro Tull, Vol. II","Jethro Tull",1990-07-01,226506,42,false,sartoip888,2019-10-11T08:38:10Z,"rock progresywny,art rock,rock klasyczny","Parlophone UK",0.522,0.275,0,-14.005,1,0.0511,0.371,0.873,0.219,0.555,115.327,4
spotify:track:1IQAsCKoXsEJ7tdI0dxTqT,"Bungle in the Jungle - 2002 Remaster","War Child (2002 Remaster)","Jethro Tull",1974-10-14,216213,44,false,sartoip888,2019-10-11T08:38:07Z,"rock progresywny,art rock,rock klasyczny","Parlophone UK",0.621,0.561,11,-10.797,0,0.0308,0.275,0,0.323,0.961,106.142,4
spotify:track:5UuikgHTxSRFRnC0zXx10i,"Aqualung","Aqualung (Special Edition)","Jethro Tull",1971-03-19,396186,62,false,sartoip888,2019-10-11T08:38:13Z,"rock progresywny,art rock,rock klasyczny","Parlophone UK",0.477,0.479,7,-11.887,0,0.0483,0.0649,0.029,0.0906,0.662,122.531,4
spotify:track:2t5GyUfFoZg3E8ak3i7dVP,"Maggot Brain","Maggot Brain","Funkadelic",1971-07-12,621106,0,false,sartoip888,2019-10-11T14:04:30Z,"funk,funk rock","Westbound Records Inc.",0.301,0.353,4,-15.588,0,0.0467,0.778,0.489,0.406,0.189,134.588,3
spotify:track:3ZPLFD6mbw6hhu3g6S4EGl,"Cortez the Killer - 2016 Remaster","Zuma","Neil Young;Crazy Horse",1975-11-10,449959,52,false,sartoip888,2019-10-11T14:15:58Z,"rock klasyczny,folk rock,wokaliści i autorzy piosenek,roots rock","Reprise",0.527,0.42,4,-13.241,0,0.027,0.0113,0.0187,0.176,0.478,113.826,4
spotify:track:3Xls4cNOwy01dtrNXb1inG,"White Room","Wheels Of Fire","Cream",1968-07-01,298333,70,false,sartoip888,2019-10-11T14:20:21Z,"rock klasyczny,rock psychodeliczny,acid rock,blues rock","Polydor Records",0.553,0.576,0,-13.458,1,0.0304,0.191,0.00664,0.0365,0.457,109.827,4
spotify:track:1SDiiE3v2z89VxC3aVRKHQ,"Since I've Been Loving You - Remaster","Led Zeppelin III (Remaster)","Led Zeppelin",1970,444148,64,false,sartoip888,2019-10-11T14:09:13Z,"rock klasyczny,rock,hard rock,rock and roll","Atlantic Records",0.393,0.364,5,-10.945,0,0.0345,0.0021,0.0703,0.121,0.308,118.566,3
spotify:track:2fQ2iALVbAZ7MkH6PaaIJ6,"No Quarter - 1990 Remaster","Houses of the Holy (1994 Remaster)","Led Zeppelin",1973-03-28,419133,0,false,sartoip888,2019-10-11T14:08:35Z,"rock klasyczny,rock,hard rock,rock and roll","Rhino Atlantic",0.339,0.34,11,-14.377,1,0.0385,0.657,0.459,0.375,0.117,142.362,4
spotify:track:5CQ30WqJwcep0pYcV4AMNc,"Stairway to Heaven - Remaster","Led Zeppelin IV (Deluxe Edition)","Led Zeppelin",1971-11-08,482830,79,false,sartoip888,2019-10-11T09:35:48Z,"rock klasyczny,rock,hard rock,rock and roll","Atlantic Records",0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,4
spotify:track:2nVHqZbOGkKWzlcy1aMbE7,"Kashmir - 1990 Remaster","Physical Graffiti (1994 Remaster)","Led Zeppelin",1975-02-24,508200,3,false,sartoip888,2019-10-11T09:35:55Z,"rock klasyczny,rock,hard rock,rock and roll","Rhino Atlantic",0.48,0.536,2,-11.166,1,0.0427,0.488,0.0000422,0.155,0.581,80.617,3
spotify:track:573Z2Dty5epeNgKsgoDOlr,"Child in Time - 1995 Remaster","Deep Purple in Rock (Anniversary Edition)","Deep Purple",1970-06-03,613440,61,false,sartoip888,2019-10-11T08:38:22Z,"hard rock,rock klasyczny,rock","Parlophone UK",0.344,0.497,9,-9.295,0,0.0366,0.0167,0.453,0.108,0.356,127.707,4
spotify:track:60ifqqPhbselSwXyGrGyMK,"Soldier Of Fortune - 2009 Digital Remaster","Stormbringer (Remastered)","Deep Purple",1974-11,204880,61,false,sartoip888,2019-10-11T08:38:25Z,"hard rock,rock klasyczny,rock","Parlophone Catalogue",0.533,0.313,2,-13.007,0,0.0298,0.386,0.00000464,0.0868,0.225,133.615,4
