Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1MLUxFwS1d4eY0JWIEkn4X,"Miserlou","Surfer's Choice","Dick Dale",1962,135426,0,false,sartoip888,2019-06-06T10:09:46Z,"surf rock","Sundazed",0.297,0.926,4,-8.103,1,0.0553,0.0135,0.702,0.379,0.605,173.342,4
spotify:track:7xmW8gsZgihBHkjHA3U8l7,"Girl, You'll Be a Woman Soon","Stull","Urge Overkill",1992-06-10,189626,0,false,sartoip888,2019-06-06T11:21:13Z,"","Touch and Go Records",0.514,0.584,5,-13.049,1,0.042,0.0698,0.000183,0.205,0.558,114.142,4
spotify:track:5jfTIrmADLt0seRX9rwtKq,"There Is An End","Broken Flowers","Craig James Fox;The Greenhornes;Holly Golightly",2005-01-01,184306,0,false,sartoip888,2019-07-16T12:08:54Z,"garage rock","Decca",0.691,0.574,11,-6.006,0,0.0271,0.118,0.0000702,0.139,0.854,107.046,4
spotify:track:6rKfNNO1gDq1In6mEVPRiN,"Tell Me Now So I Know","Broken Flowers","Ray Davies;Holly Golightly",2005-01-01,120586,0,false,sartoip888,2019-07-16T12:56:42Z,"garage rock","Decca",0.667,0.555,2,-8.282,0,0.0257,0.547,0.0000954,0.148,0.802,112.343,4
spotify:track:2Fc3WZZZef2oJqkcH7ZQNf,"Oh, Sinnerman","A Touch of Some One Else's Class","Black Diamond Heavies",2008-06-10,265986,0,false,sartoip888,2019-07-16T13:14:31Z,"blues rock,współczesny blues,garage rock","Alive Records",0.401,0.517,7,-11.135,0,0.0444,0.584,0.0447,0.0974,0.369,81.782,4
spotify:track:7dRfobhDNnsEgB2ZArxA1f,"El Cuarto de Tula","Buena Vista Social Club","Buena Vista Social Club",1997-06-23,444533,0,false,sartoip888,2019-07-26T11:17:41Z,"son cubano,latynoski jazz,latynoskie rytmy,bolero","World Circuit",0.553,0.664,9,-13.167,1,0.0453,0.595,0.000416,0.299,0.858,104.784,4
spotify:track:5sbw5zIz9ck2pOEDXUR0QU,"Chan Chan","Buena Vista Social Club","Buena Vista Social Club",1997-06-23,256653,1,false,sartoip888,2019-07-26T11:17:48Z,"son cubano,latynoski jazz,latynoskie rytmy,bolero","World Circuit",0.529,0.496,2,-11.728,0,0.0346,0.832,0.005,0.0996,0.69,83.095,4
spotify:track:1eHGsCdAWh1Ffowzacpfoi,"Candela","Buena Vista Social Club","Buena Vista Social Club",1997-06-23,327866,0,false,sartoip888,2019-07-26T11:21:56Z,"son cubano,latynoski jazz,latynoskie rytmy,bolero","World Circuit",0.525,0.619,9,-12.322,1,0.0355,0.72,0.000165,0.289,0.814,101.046,4
spotify:track:5mpmLk50TcKlmER9D688dh,"El Carretero","Buena Vista Social Club","Buena Vista Social Club",1997-06-23,208800,0,false,sartoip888,2019-07-26T11:42:04Z,"son cubano,latynoski jazz,latynoskie rytmy,bolero","World Circuit",0.513,0.35,9,-15.155,1,0.0494,0.722,0.00404,0.129,0.598,170.164,4
spotify:track:4TOMI010Sd4ZAX4aZ5TS85,"Perfect Day","Transformer","Lou Reed",1972-12-01,225000,66,false,sartoip888,2019-08-21T14:10:07Z,"glam rock,proto-punk,art rock","RCA/Legacy",0.4,0.267,10,-12.488,1,0.0323,0.744,0.00734,0.103,0.0872,144.799,3
spotify:track:32B4X4PQxAQTrMs5S1OVsB,"The Moon Song - Film Version","The Moon Song (Music From And Inspired By The Motion Picture Her) - Single","Scarlett Johansson;Joaquin Phoenix",2014-02-11,110920,0,false,sartoip888,2019-12-27T15:38:30Z,"","WaterTower Music",0.626,0.0654,0,-17.089,1,0.0405,0.994,0.000662,0.106,0.724,95.303,4
spotify:track:4X24gbKkMyC1VlNFog3EUD,"Mas Que Nada","Barra Limpa","Luiz Henrique",1967-01-01,184173,40,false,sartoip888,2020-10-20T20:34:47Z,"bossa nova,brazylijski jazz","Verve Reissues",0.626,0.238,4,-19.585,0,0.0418,0.881,0.00366,0.182,0.664,78.816,4
