Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3poxkaxtdmxzLDK1JXnmbh,"Il Grande Duello (Parte Prima)","Il Grande Duello - The Grand Duel / Storm Rider (Original Motion Picture Soundtrack)","Luis Bacalov",1973,206640,38,false,sartoip888,2020-01-29T11:30:28Z,"","EMI General Music srl",0.134,0.285,9,-14.136,0,0.0356,0.297,0.033,0.105,0.0766,81.826,4
spotify:track:62Vw8K6VWMv7FXWCtS8Btr,"(All Along The) Watchtower - Instrumental","Watchtower","Devlin",2012-01-01,272062,0,false,sartoip888,2020-01-29T11:45:38Z,"grime,brytyjski grime","Island Records",0.705,0.852,8,-4.989,1,0.0367,0.00438,0.857,0.0508,0.519,107.023,4
spotify:track:6H0DXOPil8UBKGp5RlIcdj,"Guns Of Brixton","Nouvelle Vague","Nouvelle Vague",2004-05-11,246946,0,false,sartoip888,2019-08-21T13:48:32Z,"lounge","Kwaidan Records",0.752,0.498,0,-9.542,1,0.0359,0.61,0.00000608,0.0766,0.346,119.976,4
spotify:track:0jnFDxgNhS156vu6roUVco,"The Guns of Brixton - Remastered","London Calling (Remastered)","The Clash",1979,192440,57,false,sartoip888,2019-08-21T13:52:37Z,"punk","Sony Music UK",0.74,0.613,7,-9.487,1,0.0856,0.00494,0.118,0.095,0.676,96.491,4
spotify:track:5jzma6gCzYtKB1DbEwFZKH,"London Calling - Remastered","London Calling (Remastered)","The Clash",1979,200480,69,false,sartoip888,2019-08-21T14:00:28Z,"punk","Sony Music UK",0.651,0.801,0,-7.34,1,0.0514,0.123,0,0.0825,0.776,133.769,4
spotify:track:56KqaFSGTb7ifpt16t5Y1N,"Rock the Casbah - Remastered","Combat Rock (Remastered)","The Clash",1982,222426,72,false,sartoip888,2019-08-21T14:00:35Z,"punk","Sony Music UK",0.797,0.872,9,-6.727,0,0.0575,0.291,0,0.284,0.866,129.885,4
spotify:track:1i6N76fftMZhijOzFQ5ZtL,"Psycho Killer - 2005 Remaster","Talking Heads '77 (Deluxe Version)","Talking Heads",1977-09-16,261413,66,false,sartoip888,2019-08-21T13:55:42Z,"nowa fala,post-punk","Rhino/Warner Records",0.721,0.521,2,-8.123,1,0.0613,0.0708,0.00545,0.127,0.942,123.118,4
spotify:track:2PzU4IB8Dr6mxV3lHuaG34,"(I Can't Get No) Satisfaction - Mono","Out Of Our Heads","The Rolling Stones",1965-07-30,222813,76,false,sartoip888,2019-08-21T14:27:09Z,"rock klasyczny,rock","ABKCO Music and Records, Inc.",0.723,0.863,2,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302,4
spotify:track:0wJoRiX5K5BxlqZTolB2LD,"Purple Haze","Are You Experienced","Jimi Hendrix",1967-05-12,170813,68,false,sartoip888,2019-08-21T14:01:25Z,"rock psychodeliczny,rock klasyczny,acid rock,blues rock","Legacy Recordings",0.533,0.905,2,-5.27,1,0.0754,0.00876,0.578,0.0698,0.486,108.9,4
spotify:track:0cG9ocYqYOIVtgiWTmTe3g,"Breaking the Girl","Blood Sugar Sex Magik (Deluxe Edition)","Red Hot Chili Peppers",1991-09-24,295373,61,false,sartoip888,2019-08-21T14:01:47Z,"funk rock,rock alternatywny,rock","Warner Records",0.348,0.686,8,-12.748,0,0.0319,0.0233,0.00256,0.145,0.635,178.466,3
spotify:track:2aoo2jlRnM3A0NyLQqMN2f,"All Along the Watchtower","Electric Ladyland","Jimi Hendrix",1968-10-25,240800,75,false,sartoip888,2019-08-21T14:02:02Z,"rock psychodeliczny,rock klasyczny,acid rock,blues rock","Legacy Recordings",0.438,0.805,8,-6.237,1,0.0624,0.00255,0.0000569,0.0842,0.564,113.253,4
spotify:track:21Kcx0eQvTOGcimntZSnol,"Hasta siempre, comandante","Carlos Puebla y sus tradicionales: La Caimanera","Carlos Puebla Y Sus Tradicionales",2013-10-29,225266,17,false,sartoip888,2019-08-21T13:48:40Z,"son cubano,nueva trova,trova","West Wind",0.758,0.392,6,-8.427,0,0.0321,0.898,0.00113,0.0877,0.528,111.308,4
spotify:track:3Xls4cNOwy01dtrNXb1inG,"White Room","Wheels Of Fire","Cream",1968-07-01,298333,70,false,sartoip888,2019-08-21T15:10:02Z,"rock klasyczny,rock psychodeliczny,acid rock,blues rock","Polydor Records",0.553,0.576,0,-13.458,1,0.0304,0.191,0.00664,0.0365,0.457,109.827,4
spotify:track:15BQ7vEDv2LJuh8TxWIhtd,"The Passenger","Lust For Life","Iggy Pop",1977-08-29,283360,72,false,sartoip888,2019-10-17T09:05:31Z,"proto-punk,glam rock","Virgin Catalog",0.498,0.889,0,-5.413,1,0.0544,0.0937,0.00000162,0.734,0.696,134.882,4
