Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2qVc3mVAW2MCsVzTC5rKaq,"Le Piroguier - Be Svendsen Remix","Between a Smile and a Tear","Be Svendsen;Henri Texier",2018-10-19,453138,35,false,sartoip888,2020-12-24T22:58:52Z,"organic house,tribal house,downtempo,francuski jazz","Music For Dreams",0.814,0.72,9,-8.949,1,0.0708,0.158,0.797,0.119,0.389,111.008,4
spotify:track:5V5qO9d020QOsMMbCguqe3,"Annobon","Carnet de routes","Henri Texier;Aldo Romano;Louis Sclavis",1995-01-01,302933,40,false,sartoip888,2020-12-24T22:53:53Z,"francuski jazz,jazz,free jazz","Label Bleu",0.639,0.225,4,-13.462,0,0.0295,0.944,0.638,0.112,0.248,107.982,4
spotify:track:00nu8EQxGDlXvdgBsQRD41,"Amir","Amir","Henri Texier",1975,262360,30,false,sartoip888,2020-12-24T22:50:50Z,"francuski jazz","JMS Productions",0.497,0.307,2,-19.266,0,0.0353,0.879,0.951,0.0942,0.52,137.316,4
spotify:track:2u1pxzzrUg1Sgce0TxD9fB,"Viso di donna","African Flashback","Henri Texier;Aldo Romano;Louis Sclavis",2005-01-01,219346,40,false,sartoip888,2020-12-24T22:58:32Z,"francuski jazz,jazz,free jazz","Label Bleu",0.659,0.23,4,-15.477,0,0.0308,0.955,0.925,0.098,0.264,108.607,4
spotify:track:1xL3gS9M5DHuqtU5Ia01C4,"Indians","Sand Woman","Henri Texier",2018-02-02,601920,2,false,sartoip888,2020-12-24T23:01:15Z,"francuski jazz","Label Bleu",0.225,0.322,2,-9.161,0,0.0306,0.728,0.729,0.0744,0.0606,78.392,4
spotify:track:5EzGOkUwkRUXYAyvjlEHah,"True Sorry","Illusions","Ibrahim Maalouf",2013-11-05,291303,52,false,sartoip888,2020-12-24T22:52:59Z,"francuski jazz,jazz","Mi'ster",0.288,0.454,4,-7.639,0,0.0369,0.585,0.882,0.177,0.0792,123.143,4
spotify:track:4bfNXfkNSIhk0XLpZ2MC2q,"All I Can't Say - Duo Version","40 Melodies","Ibrahim Maalouf;Sting",2020-11-06,191000,23,false,sartoip888,2020-12-24T23:19:55Z,"francuski jazz,jazz,soft rock","Mi'ster",0.535,0.123,4,-16.273,0,0.0377,0.98,0.917,0.0874,0.37,76.025,4
spotify:track:2DNN12nSAWmUERBKNvyeip,"Traveller's Defense","Tarantella","Lars Danielsson;Leszek Możdżer;John Parricelli;Eric Harland;Mathias Eick",2009-02-27,263020,16,false,sartoip888,2020-12-24T23:08:17Z,"jazz,cool jazz,francuski jazz,jazz wokalny,bossa nova","ACT Music",0.558,0.186,7,-20.752,0,0.0296,0.92,0.946,0.102,0.254,111.951,3
spotify:track:5mpQi1w9el22SNMbF31cCX,"Tarantella","Tarantella","Lars Danielsson;Leszek Możdżer;John Parricelli;Eric Harland",2009-02-27,303152,11,false,sartoip888,2020-12-24T23:08:37Z,"jazz,cool jazz,francuski jazz,jazz wokalny,bossa nova","ACT Music",0.601,0.44,4,-17.2,0,0.038,0.855,0.92,0.105,0.454,105.014,3
spotify:track:0LespiIDUQjdg9yFdGpgRg,"I Tima","Liberetto II","Lars Danielsson;Tigran;John Parricelli;Magnus Öström;Mathias Eick",2014-08-29,267786,33,false,sartoip888,2020-12-24T22:51:37Z,"jazz,cool jazz,francuski jazz,jazz wokalny,bossa nova,nu jazz","ACT Music",0.59,0.0703,7,-15.587,0,0.0341,0.913,0.87,0.111,0.483,113.885,3
