Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0lwUIYJfWGB8qUEAJtYfb6,"Broken Bones","A/B","KALEO",2016-06-10,245960,68,false,sartoip888,2023-11-17T21:45:20Z,"","Elektra (NEK)",0.779,0.486,5,-7.205,1,0.193,0.802,0.0000576,0.0992,0.654,123.993,4
spotify:track:2sJ0qWZzAmy960oNZSNoVP,"Central Pacific (feat. Michael Rose)","Palisade","Parker Millsap;Michael Rose",2012-04-18,204093,43,false,sartoip888,2023-11-17T22:59:24Z,"gotyk południowy,americana,country alternatywne,roots reggae,reggae,rocksteady,dub","Okrahoma Records LLC",0.668,0.435,11,-9.428,0,0.0287,0.51,0,0.0995,0.5,106.921,4
spotify:track:1s5IgWBZmQLfdSaAHBFuEu,"Palisade (feat. Michael Rose)","Palisade","Parker Millsap;Michael Rose",2012-04-18,203560,45,false,sartoip888,2024-08-14T13:41:00Z,"gotyk południowy,americana,country alternatywne,roots reggae,reggae,rocksteady,dub","Okrahoma Records LLC",0.859,0.307,2,-11.015,1,0.0714,0.423,0.0000714,0.108,0.583,115.027,4
spotify:track:21NjIDERL7CD8vg91rrodB,"Graveyard","The Devil Makes Three","The Devil Makes Three",2002,205053,39,false,sartoip888,2024-08-14T14:12:10Z,"bluegrass,gotyk południowy,newgrass,americana,folk punk,country alternatywne,folk,country blues","Kahn Records",0.69,0.494,9,-9.146,0,0.0276,0.401,0.00000332,0.114,0.842,127.321,4
spotify:track:1lW6A79JuNRLzZIXeObiOe,"St. James","Bluestown","Rag'n'Bone Man",2012-11-11,238125,39,false,sartoip888,2024-08-14T14:24:17Z,"","Rum Committee",0.476,0.329,5,-3.81,1,0.0419,0.707,0,0.108,0.223,161.857,5
spotify:track:490PqiGIKjjhWoXoEpLYul,"Tell Me","Runaway","Yes Ma'am",2021-10-10,153968,37,false,sartoip888,2024-08-14T14:32:18Z,"folk punk,gotyk południowy,bluegrass,anti-folk","Flail Records",0.645,0.578,5,-9.838,0,0.0353,0.541,0.000142,0.278,0.21,124.148,4
spotify:track:0NQLClDXPllzS9xQQO3yXi,"You Know I'm Gone","The Pilgrim","Owen Campbell",2013-06-07,150717,35,false,sartoip888,2024-08-14T15:14:46Z,"blues rock,współczesny blues,blues,country blues","ROC Records",0.456,0.266,7,-11.719,1,0.033,0.848,0.000154,0.0995,0.5,162.077,4
spotify:track:08pCnq3MdYsbEjubAWBdCt,"Ships in the Night","Ships in the Night","Ryan Montbleau",2017-11-27,221379,41,false,sartoip888,2024-08-14T15:24:38Z,"","Blue's Mountain",0.599,0.125,10,-14.472,0,0.0557,0.93,0.00000157,0.0811,0.405,120.392,4
spotify:track:4jB3Mw900goYibsFAueHph,"Black Creek","No Place Left to Leave (2006)","Brent Cobb",2020-02-07,212453,74,false,sartoip888,2024-08-14T15:34:47Z,"outlaw country,americana,country alternatywne,red dirt","Ol' Buddy Records",0.537,0.365,0,-12.303,1,0.0331,0.563,0.0388,0.119,0.441,80.597,4
spotify:track:6jXPZid0KLorvgIDP6TiSo,"God's Gonna Cut You Down","American V: A Hundred Highways","Johnny Cash",2006-01-01,158573,68,false,sartoip888,2024-08-14T16:36:55Z,"klasyki country,outlaw country,country","American Recordings Catalog P&D",0.618,0.484,5,-8.229,0,0.127,0.875,0.0000431,0.115,0.834,82.317,4
