Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:68hIkZXqCrkdsugmX6zs6W,"Again","You All Look The Same To Me","Archive",2002-01-01,979666,42,false,sartoip888,2022-06-29T09:25:42Z,"trip hop","Hangman Records",0.404,0.569,2,-10.649,0,0.0375,0.0426,0.184,0.0795,0.0399,76.059,4
spotify:track:15SNnc30qD2SJHojwz9chA,"Take Me With You [Alternate Version]","At Your Service (Anthology)","Morphine",2009-10-05,259079,13,false,sartoip888,2022-06-29T09:49:22Z,"","Ryko/Rhino",0.332,0.15,7,-11.865,1,0.0344,0.927,0.0188,0.119,0.168,76.791,4
spotify:track:1qaO7rQDkcwBcriBxZTmm8,"Ei aurinko milloinkaan laske","Jatkuvasti Maailmaa Pelastamaan Kyllästynyt Supersankari","Kuusumun Profeetta",2003-09-12,346733,18,false,sartoip888,2022-06-29T09:53:31Z,"fiński rock","Ektro Records",0.502,0.377,9,-13.9,0,0.0476,0.838,0.229,0.124,0.503,142.671,4
spotify:track:4ITpwKPJ7UsfCdzULei7VC,"Sie Ściemnia - 2011 Remaster","Sie Sciemnia [2011 Remaster]","Maanam",1989,342933,32,false,sartoip888,2022-06-29T10:04:14Z,"","Parlophone Poland",0.63,0.632,2,-5.422,1,0.0357,0.0719,0.0115,0.302,0.472,113.038,4
spotify:track:3aT5zZz6FEtWAGDRJy7t8j,"Pastime Paradise","Twelve","Patti Smith",2007-04-13,324800,36,false,sartoip888,2022-06-29T10:19:11Z,"proto-punk","Columbia/Legacy",0.608,0.553,8,-7.246,1,0.0361,0.23,0,0.0783,0.299,77.62,4
spotify:track:05y0gx840jh5VRZzEPmdvU,"Specially for You","Light","DakhaBrakha",2014-01-04,365493,34,false,sartoip888,2022-06-29T10:26:33Z,"","DakhaBrakha",0.342,0.338,4,-10.608,0,0.0324,0.819,0.00515,0.0968,0.159,102.812,4
spotify:track:2vIxU6h888VLdyy7PjYRB8,"Baby Night - Remastered 2000","Just A Poke / Darkness To Light","Sweet Smoke",2000,994066,29,false,sartoip888,2022-06-29T11:35:17Z,"rock psychodeliczny,krautrock,rock progresywny,acid rock","Harvest",0.511,0.599,9,-12.451,1,0.0894,0.304,0.0983,0.118,0.507,107.446,4
spotify:track:3A92l7ShiFv4CLsdR74BAP,"The Torture Never Stops","Zoot Allures","Frank Zappa",1976-10-20,588933,8,false,sartoip888,2022-06-29T11:56:42Z,"rock progresywny,art rock,jazz fusion,rock psychodeliczny,awangarda,muzyka eksperymentalna","Frank Zappa Catalog",0.7,0.383,5,-12.67,1,0.0476,0.381,0.519,0.135,0.191,115.472,4
spotify:track:5GvCX8WNlOmu5eKzRofCC5,"The Ecstacy Once Told","Our Days Mind the Tyme","The Dolly Rocker Movement",2010-02-22,302733,51,true,sartoip888,2022-06-29T12:15:01Z,"neo-psychodelia,rock psychodeliczny,space rock,stoner rock","Bad Afro Records",0.489,0.456,11,-9.021,0,0.0267,0.0291,0.235,0.173,0.289,80.066,4
spotify:track:0aOR2D0CuTxB2muBkhXrgV,"Six Bells Chime","Room Of Lights","Crime & the City Solution",1986,340026,21,false,sartoip888,2022-06-29T12:35:16Z,"post-punk,gotycki rock,deathrock","Mute",0.431,0.467,9,-13.08,1,0.0354,0.0105,0.618,0.227,0.582,110.428,4
spotify:track:7eCutpKdHjTduOGxDIXufO,"You Make Me Feel","Take My Head","Archive",1999-01-01,246213,41,false,sartoip888,2022-06-29T13:33:25Z,"trip hop","Craft Recordings",0.123,0.582,5,-4.936,0,0.0403,0.149,0.0634,0.393,0.0529,167.05,4
spotify:track:34ebeHWIGQrAt99L1R2Kyn,"Fuck U","Noise","Archive",2004-01-01,311986,43,true,sartoip888,2022-07-05T07:59:16Z,"trip hop","Dangervisit",0.58,0.782,9,-5.86,0,0.0363,0.0902,0.00000221,0.322,0.182,100.025,4
