Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1PGfufH63EaaMVxu8ik0qZ,"To co czujesz, to co wiesz","Cosmopolis","Brygada Kryzys",2000-12-31,317613,37,false,sartoip888,2022-09-16T11:15:29Z,"cold wave,post-punk","MTJ",0.678,0.49,11,-12.546,0,0.0367,0.00235,0.0765,0.332,0.846,142.054,4
spotify:track:2WrTRx6Jzzwyr2dMhfXZ7y,"Kocham wolność - Live","Krzyż","Chłopcy Z Placu Broni",1991-01-01,185133,36,false,sartoip888,2022-09-16T11:18:07Z,"","MTJ",0.442,0.699,11,-15.903,0,0.0468,0.0369,0.0141,0.366,0.731,168.421,4
spotify:track:3PoPIGh8KMgijItTCpc423,"Konstytucje","The best - strzeż się tych miejsc","Klaus Mitffoch;Lech Janerka",2005-06-29,210000,33,false,sartoip888,2022-09-16T11:17:59Z,"cold wave,post-punk","MTJ",0.666,0.792,9,-7.238,1,0.0537,0.232,0.0000568,0.0788,0.812,92.451,4
spotify:track:1rD0BmlixRov9u1zPGFpZu,"Jezu jak się cieszę","The best - strzeż się tych miejsc","Klaus Mitffoch",2005-06-29,130333,42,false,sartoip888,2022-09-16T11:16:42Z,"cold wave,post-punk","MTJ",0.571,0.923,4,-7.473,0,0.0752,0.0781,0.0000234,0.0575,0.909,156.524,4
spotify:track:7wYVm3OFsQvR8o8UwPoxQ0,"Mówię ci, że","Tilt","Tilt",2000-12-31,181453,47,false,sartoip888,2022-09-16T11:17:16Z,"cold wave","MTJ",0.648,0.645,4,-7.772,0,0.0652,0.0396,0.00000139,0.0651,0.617,137.672,4
spotify:track:2nyBbMPk3yWE0cLJmJcbzH,"Wieża radości, wieża samotności","Europa i Azja","Sztywny Pal Azji",2001-12-31,296586,49,false,sartoip888,2022-09-16T11:16:34Z,"","MTJ",0.607,0.893,4,-9.468,1,0.0349,0.0822,0.102,0.158,0.447,130.515,4
spotify:track:5W5l9ysNngpGz2J4xK8Rsa,"Nie Pytaj O Polskę","Tak! Tak!","Obywatel G.C.",2017-04-11,362280,50,false,sartoip888,2022-09-16T11:16:50Z,"cold wave","ZPR Media",0.723,0.679,4,-7.937,0,0.0312,0.25,0.00497,0.0988,0.774,130.332,4
spotify:track:0FGBCrLj15yxjJ1WPRnVMQ,"Kiedy byłem małym chłopcem","Blues","Breakout",1971,191853,49,false,sartoip888,2022-09-16T11:17:01Z,"big beat","WM Poland/WMI",0.809,0.356,6,-9.921,0,0.0544,0.405,0.00937,0.112,0.87,120.86,4
spotify:track:4aA0qqyR2w9hpxYcHASxlT,"Ogrodu serce","Daab","Daab",2004-10-28,339040,45,false,sartoip888,2022-09-16T11:17:05Z,"","MTJ",0.949,0.42,9,-9.909,0,0.0658,0.0854,0.0239,0.0888,0.957,128.209,4
spotify:track:3MADYAQDPs5ACYIQZTCQPU,"Skóra","Aya RL (Czerwona)","Aya RL",1991,278640,0,false,sartoip888,2022-09-16T11:17:33Z,"cold wave","EMI Music Poland",0.518,0.404,5,-9.44,1,0.0296,0.235,0.000113,0.188,0.714,177.049,4
spotify:track:3pGbNgDouEys2kZZGHl6Rc,"Oni zaraz przyjdą tu","Blues","Breakout",1971,181946,38,false,sartoip888,2022-09-16T11:16:26Z,"big beat","WM Poland/WMI",0.476,0.428,7,-7.924,1,0.0334,0.553,0.203,0.0606,0.931,80.724,4
spotify:track:1D0ZS8zYoR3AlrHPzmovmf,"Tak ... Tak ... To Ja","Tak! Tak!","Obywatel G.C.",2017-04-11,219000,52,false,sartoip888,2022-09-16T11:17:47Z,"cold wave","ZPR Media",0.605,0.921,9,-6.066,0,0.0891,0.055,0,0.358,0.593,126.411,4
spotify:track:6prenJfZidjTXQMz9dBuUm,"Biała Flaga","Koncerty W Trójce - Republika (Live 6.12.1998)","Republika",2014-10-20,295880,46,false,sartoip888,2022-09-16T11:17:55Z,"cold wave","Polskie Radio S.A.",0.518,0.864,5,-5.933,1,0.0506,0.15,0.0183,0.74,0.63,132.255,4
spotify:track:5RDEUTUghR62DSvrjWvLNn,"Jedwab","Poganie! Kochaj i Obrażaj","Róże Europy",2015-01-01,369200,47,false,sartoip888,2022-09-16T11:18:29Z,"","Box Music",0.724,0.529,7,-7.683,1,0.0291,0.255,0.0000123,0.374,0.762,110.474,4
spotify:track:0004Uy71ku11n3LMpuyf59,"24.11.94 - Wersja Akustyczna","AQQ - Akustycznie","Golden Life",2012-01-01,258906,39,false,sartoip888,2022-09-16T11:19:26Z,"","Universal Music Polska Sp. z o.o.",0.623,0.599,6,-9.255,1,0.0255,0.177,0.00148,0.0748,0.381,140.056,4
spotify:track:5Nxp7zG4uWQGqIJ541lCNP,"Oprocz - Blekitnego Nieba","Efil Ned Log","Golden Life",1993-07-07,270826,47,false,sartoip888,2022-09-16T11:19:58Z,"","Hussar Records",0.279,0.773,4,-7.005,0,0.0399,0.0659,0.000491,0.0972,0.439,173.071,4
spotify:track:7fYmDKSydjDrY4LWRSvAzf,"Jeszcze będzie przepięknie","Czad Kommando Tilt","Tilt",2000-12-31,186066,43,false,sartoip888,2022-09-16T12:04:15Z,"cold wave","MTJ",0.562,0.429,4,-11.654,0,0.027,0.261,0,0.0938,0.417,75.696,4
spotify:track:1MfMmKR6bBR1S0yqOsi1mS,"Marchewkowe pole","Zamki na piasku (The Best)","Lady Pank",2004-01-29,232133,47,false,sartoip888,2022-09-16T12:04:24Z,"disco polo","MTJ",0.608,0.596,2,-9.925,1,0.0576,0.217,0.445,0.0744,0.933,152.295,4
spotify:track:1kAb8sDgCY43mRRw8lskmp,"Spotkanie z...","Europa i Azja","Sztywny Pal Azji",2001-12-31,202746,45,false,sartoip888,2022-09-16T12:38:38Z,"","MTJ",0.589,0.804,9,-10.388,0,0.0652,0.196,0.000693,0.0768,0.7,170.59,4
spotify:track:5aV6NxUaWtQdDV4K6VSLww,"Hej, czy nie wiecie","Your Eyes","Kult",1991,321013,45,false,sartoip888,2022-09-16T12:38:53Z,"","SP Records",0.704,0.659,0,-7.498,1,0.0268,0.0722,0.00521,0.214,0.912,105.636,4
spotify:track:1ngjjSd73Fgkcf3uOCGnxZ,"Polska","Posłuchaj to do Ciebie (Expanded)","Kult",2016-04-01,324013,50,false,sartoip888,2022-09-16T12:38:55Z,"","SP Records",0.337,0.861,9,-5.437,0,0.0938,0.000146,0.00503,0.0977,0.635,91.713,3
spotify:track:18sM7A95jQugA982HWRJoe,"Noc komety","Kolory Muzyki","Felicjan Andrzejczak",2013-11-04,259026,50,false,sartoip888,2022-09-16T12:39:37Z,"","MTJ",0.633,0.604,7,-5.491,1,0.027,0.21,0.000167,0.0972,0.331,88.997,4
spotify:track:0B0DHAefOiMrouhSB6Q9Y5,"Idź precz!","Unu","Perfect",2003-12-31,206840,43,false,sartoip888,2022-09-16T12:40:44Z,"disco polo","MTJ",0.755,0.601,4,-9.044,0,0.0415,0.00161,0.0045,0.245,0.623,122.654,4
