Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6reyjEvheJxdiizR31n7ib,"Dancingowa Piosenka Miłosna","Polor","Pablopavo i Ludziki",2014-01-25,246613,33,false,sartoip888,2022-02-09T08:12:16Z,"","Karrot Kommando",0.69,0.612,2,-9.153,1,0.106,0.176,0.0000131,0.108,0.585,143.871,4
spotify:track:1XF6zG9cgUGWA14OKjHoB4,"Człowiek (Złota Ryba)","Moje Fado","Marek Dyjak",2011-10-07,327240,0,false,sartoip888,2022-02-09T09:14:29Z,"fado","Agora S.A.",0.707,0.681,4,-10.759,0,0.0558,0.58,0.00000158,0.31,0.793,130.877,4
spotify:track:5ExcrymqrHd9SAuZOMVnLK,"Ostatni Dzień Sierpnia","Ladinola","Pablopavo i Ludziki",2017-04-07,335388,35,false,sartoip888,2022-02-09T15:02:03Z,"","2017 Karrot Kommando",0.591,0.386,9,-10.017,0,0.0982,0.78,0.000295,0.129,0.288,140.238,4
spotify:track:3UBTjzAZNhoNcqvYJJpPLQ,"Intro – Hydrozagadka","Tournee Warszawskie","Pablopavo i Ludziki",2021-04-13,216786,3,false,sartoip888,2022-02-11T13:03:42Z,"","Karrot Kommando",0.661,0.749,9,-8.753,1,0.0614,0.0142,0.0102,0.834,0.579,92.037,4
spotify:track:3TIIf1St0TcIL8dVJ0xCbA,"Wenecja","Polor","Pablopavo i Ludziki",2014-01-25,459467,14,false,sartoip888,2022-02-15T09:45:57Z,"","Karrot Kommando",0.66,0.469,2,-11.204,0,0.214,0.3,0.00512,0.109,0.13,75.029,4
spotify:track:4bBGfSMnrxkqejyJt9Im7E,"Mississippi w Ogniu","Czarna Madonna","Organek",2016-11-04,286266,0,false,sartoip888,2022-05-12T10:34:25Z,"","Mystic Production",0.516,0.695,11,-9.024,0,0.0321,0.00637,0.0539,0.0938,0.269,136.011,4
spotify:track:2dkrNay7TB7WDbHSoUlkr9,"Głupi ja","Głupi","Organek",2014-05-19,235026,37,false,sartoip888,2022-05-12T10:34:33Z,"","Mystic Production",0.8,0.74,2,-6.951,1,0.081,0.333,0,0.0811,0.62,110.109,4
spotify:track:3Sjoef5iXzJKGDfkT18YxM,"Kate Moss","Głupi","Organek",2014-05-19,165253,36,false,sartoip888,2022-05-12T10:47:00Z,"","Mystic Production",0.509,0.886,4,-4.707,1,0.0686,0.00153,0,0.0537,0.804,169.836,4
spotify:track:18b5RM9gPdP4N3CqdIt3uP,"Ultimo","Czarna Madonna","Organek",2016-11-04,259293,0,false,sartoip888,2022-05-12T10:52:48Z,"","Mystic Production",0.481,0.617,2,-8.654,0,0.0488,0.0853,0.00401,0.125,0.603,176.135,4
spotify:track:2YU0xY1VavIaiMC9XY5ZR6,"Prosto W Ogień","Wilk","Kim Nowak;Izabela Skrybant Dziewiątkowska",2012-01-01,374280,16,false,sartoip888,2022-07-08T12:13:53Z,"","Universal Music Polska Sp. z o.o.",0.592,0.747,11,-9.63,0,0.0626,0.0297,0.376,0.336,0.588,101.995,4
