Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6wJPynYr4PgDhHwkanR4Bt,"Linoskoczek","Wilczełyko","SKUBAS",2012-09-11,304626,0,false,sartoip888,2020-01-30T15:23:01Z,"","Kayax Production",0.8,0.412,1,-8.191,1,0.0413,0.202,0.015,0.0734,0.0743,111.872,4
spotify:track:42cuCmYhThZkQGtlNsPHdr,"Brzask","Brzask","SKUBAS",2014-09-09,204760,0,false,sartoip888,2020-01-30T15:24:03Z,"","Kayax Production",0.521,0.809,1,-7.943,0,0.0385,0.225,0.00000462,0.0831,0.706,153.039,4
spotify:track:3KQme2x97pALJJmQPbqHfl,"Nie mam dla Ciebie miłości","Nie mam dla Ciebie miłości","SKUBAS",2014-05-19,224678,0,false,sartoip888,2020-01-30T15:23:48Z,"","Kayax Production",0.461,0.41,1,-9.943,1,0.0284,0.588,0.0732,0.109,0.114,80.982,3
spotify:track:2hV5HVgRtenZy52MQrCbEy,"Ultimo","Czarna Madonna","Organek",2016-11-04,259293,0,false,sartoip888,2020-01-30T15:38:15Z,"","Mystic Production",0.602,0.598,5,-9.88,1,0.0359,0.195,0.00925,0.119,0.581,87.979,4
spotify:track:40z71UEcw8OKFYeJ9i5xZG,"O, matko!","Głupi","Organek",2014-05-19,205613,0,false,sartoip888,2020-01-30T15:46:20Z,"","Mystic Production",0.677,0.707,2,-8.369,1,0.0278,0.299,0.0063,0.316,0.483,95.045,4
spotify:track:5ihgFEYhrIxeGOBXW9T3bE,"Wiosna","Czarna Madonna","Organek",2016-11-04,202400,0,false,sartoip888,2020-01-31T15:58:53Z,"","Mystic Production",0.384,0.888,11,-7.671,0,0.114,0.00332,0.000364,0.151,0.704,170.948,4
spotify:track:4H5aPWceqQFl4uc7EqbU6D,"Głupi ja","Głupi","Organek",2014-05-19,235026,0,false,sartoip888,2020-01-30T15:44:41Z,"","Mystic Production",0.766,0.716,2,-8.176,1,0.094,0.421,0,0.0931,0.618,110.103,4
spotify:track:3PUvH7rUYMhTeX2d9DvSTd,"Ki Czort","Czarna Madonna","Organek;Adam ""Nergal"" Darski",2016-11-04,205733,0,false,sartoip888,2020-01-30T15:49:24Z,"","Mystic Production",0.431,0.69,4,-8.123,0,0.0512,0.373,0.00161,0.207,0.822,178.022,4
spotify:track:4Pslf0rV8BsQVYmXjdei37,"Zostań","Bumerang","Kortez",2015-09-25,246771,50,false,sartoip888,2020-01-31T09:45:37Z,"","Jazzboy",0.601,0.363,9,-11.691,0,0.0359,0.614,0.666,0.11,0.211,130.081,4
spotify:track:2AbDY2agHP7e5slykeHPxJ,"Z imbirem","Bumerang","Kortez",2015-09-25,185024,54,false,sartoip888,2020-01-31T09:45:56Z,"","Jazzboy",0.526,0.534,9,-11.129,0,0.0409,0.784,0.0011,0.102,0.836,79.39,4
spotify:track:7lpGfZeRhcLlvpcDcSKCFQ,"Kocham być z tobą","Sea You Later","The Dumplings",2015-11-13,252122,42,false,sartoip888,2020-01-30T15:50:27Z,"","WM Poland/WMI",0.64,0.688,9,-6.98,0,0.0367,0.326,0.00466,0.141,0.199,120.038,4
spotify:track:444dmL6qxjuKXmIt3D8Iee,"Betonowy las","No Bad Days","The Dumplings",2014-05-06,206608,35,false,sartoip888,2020-01-31T09:46:40Z,"","Parlophone Poland",0.877,0.588,5,-6.214,0,0.0526,0.0152,0.000903,0.12,0.457,115.011,4
spotify:track:0T834caxBOTYDzCa5iLhwy,"Nieznajomy","Comfort and Happiness","Dawid Podsiadło",2013-05-27,295320,51,false,sartoip888,2020-01-30T15:51:16Z,"","Sony Music Entertainment",0.546,0.453,7,-9.86,0,0.0276,0.659,0.0000167,0.175,0.105,104.969,4
spotify:track:3v0fVON6z5CnRlle3SJZU1,"Trójkąty i Kwadraty","Comfort and Happiness","Dawid Podsiadło",2013-05-27,243066,56,false,sartoip888,2020-01-30T15:51:24Z,"","Sony Music Entertainment",0.712,0.716,4,-9.767,0,0.0328,0.0153,0.0533,0.126,0.768,124.961,4
spotify:track:5Jt9LBya59lo2T9qQ7jfH3,"Sobie i Wam","Sobie i Wam","Męskie Granie Orkiestra 2019;Nosowska;Igo;Organek;Krzysztof Zalewski",2019-05-30,203080,0,false,sartoip888,2020-01-31T09:47:05Z,"","Agencja LIVE",0.724,0.815,9,-7.153,0,0.0386,0.0606,0,0.345,0.914,114.017,4
