Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1FLEVJaXv8vZwunzQZSHLK,"Odchodząc","Masakra","Republika",1998,237333,41,false,sartoip888,2020-01-30T10:01:38Z,"cold wave","Parlophone Poland",0.631,0.623,9,-8.658,0,0.048,0.354,0.0508,0.151,0.557,178.947,4
spotify:track:7ahrMYnfOey0yV2JWLWMul,"Zapytaj mnie czy Cię kocham","Republika Marzeń","Republika",1995-05-22,228760,37,false,sartoip888,2020-01-30T10:03:00Z,"cold wave","Parlophone Poland",0.72,0.61,6,-7.569,0,0.0489,0.554,0.162,0.0418,0.787,95.226,4
spotify:track:2HfsOApfOXphR5FJnv88IX,"Biała flaga - Live","Republika (Reedycja 2011)","Republika",2002-03-30,320373,33,false,sartoip888,2020-01-30T10:06:33Z,"cold wave","Parlophone Poland",0.497,0.89,5,-6.162,1,0.0615,0.2,0.0283,0.832,0.57,132.324,4
spotify:track:4DoLXcmKky3tWmRKu188p9,"Śmierć W Bikini","Nowe Sytuacje","Republika",2001-05-26,264733,40,false,sartoip888,2020-01-30T14:53:51Z,"cold wave","Parlophone Poland",0.73,0.633,0,-10.849,1,0.129,0.00405,0.00343,0.0597,0.751,147.9,4
spotify:track:4Amawz9TAdKHJLcUsANEU0,"Modlitwa III - Pozwól mi - 2003 Remaster","Najemnik","Dżem",1998,496946,33,false,sartoip888,2020-01-30T10:11:53Z,"","Parlophone Poland",0.496,0.238,9,-13.829,0,0.0301,0.346,0.000272,0.1,0.124,136.449,3
spotify:track:3N0NpIDR1in3CSla0XsL7H,"List Do M. - 2003 Remaster","Detox","Dżem",2003,395640,46,false,sartoip888,2020-01-30T10:09:18Z,"","Parlophone Poland",0.665,0.264,9,-16.676,0,0.0427,0.672,0.0000561,0.103,0.244,122.833,4
spotify:track:2uP8HHRaNvJkgPvPDrxpml,"Mala Aleja Roz - 2003 Remaster","Złota Kolekcja","Dżem",2012-04-03,313133,27,false,sartoip888,2020-01-30T11:12:35Z,"","Parlophone Poland",0.63,0.591,7,-7.253,1,0.0334,0.0479,0.0000106,0.0596,0.799,81.982,4
spotify:track:00K3yuFVb33hBNoEyWcdnj,"Złoty Paw - 2003 Remaster","Złota Kolekcja","Dżem",2012-04-03,361226,33,false,sartoip888,2020-01-30T11:02:45Z,"","Parlophone Poland",0.716,0.816,5,-6.163,1,0.0544,0.0442,0.00142,0.0442,0.834,125.631,4
spotify:track:0lcZZz2Noaxn392X3qe21x,"Jak malowany ptak - 2003 Remaster","Złota Kolekcja","Dżem",2012-04-03,270706,28,false,sartoip888,2020-01-30T11:07:57Z,"","Parlophone Poland",0.69,0.529,9,-11.015,0,0.046,0.149,0.00000109,0.0141,0.664,130.519,4
spotify:track:3mFRiJ6c2XXkd0Hd9qWP46,"Arahja","Spokojnie","Kult",1988,220013,54,false,sartoip888,2020-01-30T10:08:25Z,"","SP Records",0.287,0.894,2,-5.269,1,0.0771,0.0491,0.175,0.155,0.497,87.627,4
spotify:track:1rD0BmlixRov9u1zPGFpZu,"Jezu jak się cieszę","The best - strzeż się tych miejsc","Klaus Mitffoch",2005-06-29,130333,42,false,sartoip888,2020-01-30T10:08:51Z,"cold wave,post-punk","MTJ",0.571,0.923,4,-7.473,0,0.0752,0.0781,0.0000234,0.0575,0.909,156.524,4
spotify:track:2nyBbMPk3yWE0cLJmJcbzH,"Wieża radości, wieża samotności","Europa i Azja","Sztywny Pal Azji",2001-12-31,296586,49,false,sartoip888,2020-01-30T10:07:58Z,"","MTJ",0.607,0.893,4,-9.468,1,0.0349,0.0822,0.102,0.158,0.447,130.515,4
spotify:track:2XDlyWv5pAswJmeREKS6rO,"Tylko ja i ty - 2003 Remaster","Złota Kolekcja","Dżem",2012-04-03,332786,23,false,sartoip888,2020-01-30T11:21:38Z,"","Parlophone Poland",0.457,0.23,2,-13.23,0,0.0353,0.152,0.00159,0.0838,0.0705,136.137,4
spotify:track:4eqVj2I4p8t0msd9xj1nnk,"Cała W Trawie - 2003 Remaster","Autsajder","Dżem",2003,401893,27,false,sartoip888,2020-01-30T11:26:40Z,"","Parlophone Poland",0.732,0.145,7,-17.777,0,0.0345,0.196,0.00169,0.111,0.171,133.9,3
spotify:track:76sTIj0cWqbalUle2UR96R,"Tak ... Tak ... To Ja","Tak Tak","Obywatel G.C.",2004-01-01,219000,0,false,sartoip888,2020-01-30T11:27:01Z,"cold wave","ZPR Media",0.604,0.921,9,-6.066,0,0.0858,0.055,0,0.358,0.589,126.359,4
spotify:track:3a7elKJsZvbRK5CiBvXQMb,"Moja i Twoja Nadzieja","Fire","Hey;Edyta Bartosiewicz",1993-02-08,285933,52,false,sartoip888,2020-01-30T11:27:14Z,"","Universal Music Polska Sp. z o.o.",0.299,0.843,9,-5.932,0,0.0379,0.428,0.00000185,0.0699,0.512,109.297,4
spotify:track:0CoBBrYaYakVR5udImOpxe,"Sen","Dzis Sa Moje Urodziny","Edyta Bartosiewicz",1999,223466,35,false,sartoip888,2020-01-30T12:13:32Z,"","Universal Music Polska Sp. z o.o.",0.548,0.401,0,-11.149,1,0.0296,0.0142,0.000516,0.0944,0.207,120.735,4
spotify:track:0IZ26aAErwbYaRqawB2nSL,"Ostatni","Dzis Sa Moje Urodziny","Edyta Bartosiewicz",1999,305800,53,false,sartoip888,2020-01-30T12:42:53Z,"","Universal Music Polska Sp. z o.o.",0.591,0.341,2,-11.839,0,0.0291,0.773,0.00104,0.13,0.152,135.712,3
