Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4M57XL7vYGaEF3kBD1W8mM,"Zanim Zrozumiesz","Marek Sierocki Przedstawia: I love Polska, Vol.1 (Tylko Hity)","Varius Manx",2016-07-11,183093,0,false,sartoip888,2022-07-08T12:42:40Z,"","Sony Music Entertainment",0.585,0.474,4,-6.366,0,0.0345,0.667,0.000124,0.0883,0.445,154.212,3
spotify:track:1FLEVJaXv8vZwunzQZSHLK,"Odchodząc","Masakra","Republika",1998,237333,41,false,sartoip888,2022-07-08T12:29:36Z,"cold wave","Parlophone Poland",0.631,0.623,9,-8.658,0,0.048,0.354,0.0508,0.151,0.557,178.947,4
spotify:track:3fYB4ptzaZxBKM6eZyUEKU,"List","?","Hey",1995-10-09,268133,40,false,sartoip888,2022-07-08T12:35:10Z,"","Universal Music Polska Sp. z o.o.",0.322,0.434,11,-9.231,0,0.0295,0.198,0,0.0828,0.097,140.661,4
spotify:track:4aWHvvlFVjyUOG5t3kBqLp,"Sen","Sen","Edyta Bartosiewicz",2010-01-01,224506,0,false,sartoip888,2022-07-08T12:39:36Z,"","Universal Music Polska Sp. z o.o.",0.547,0.402,0,-11.102,1,0.0296,0.0129,0.000422,0.171,0.228,121.013,4
spotify:track:4EbrkWbN93ZMN6bCiol0YX,"Ostatni","Szok 'N' Show","Edyta Bartosiewicz",2010-01-01,304666,39,false,sartoip888,2022-07-08T12:42:50Z,"","Universal Music Polska Sp. z o.o.",0.619,0.344,5,-12.266,1,0.0277,0.755,0.00286,0.149,0.158,135.657,3
spotify:track:4wTcc8fAM3vpxugrgFM55j,"King - 2008 Remaster","Złota Kolekcja","T.Love",2014-04-15,268226,40,false,sartoip888,2022-07-08T12:42:57Z,"","Parlophone Poland",0.495,0.885,7,-3.349,1,0.0463,0.257,0,0.0916,0.478,109.619,4
spotify:track:3AuPBFGs0xnrk8ofAl2Omv,"Dlugosc Dzwieku Samotnosci","Marek Sierocki Przedstawia: I love Polska 3","Myslovitz",2016-08-05,244480,0,false,sartoip888,2022-07-08T12:43:06Z,"","Sony Music Entertainment",0.546,0.717,5,-5.026,1,0.027,0.352,0.0000164,0.0936,0.668,98.191,4
spotify:track:7IwUoyfMF0hphfhcMZMVlC,"Jak Rzecz","Gemini","Kasia Kowalska",1994-01-01,268866,0,false,sartoip888,2022-07-08T12:44:18Z,"","Universal Music",0.665,0.279,7,-10.858,1,0.0318,0.182,0.00000215,0.429,0.518,128.056,4
spotify:track:7qboThq6AiQBDDq2wCj578,"Mamona","Masakra","Republika",1998,218906,45,false,sartoip888,2022-07-08T12:45:38Z,"cold wave","Parlophone Poland",0.715,0.769,7,-5.82,1,0.0291,0.0947,0,0.498,0.954,112.991,4
spotify:track:4DoLXcmKky3tWmRKu188p9,"Śmierć W Bikini","Nowe Sytuacje","Republika",2001-05-26,264733,40,false,sartoip888,2022-07-08T12:45:41Z,"cold wave","Parlophone Poland",0.73,0.633,0,-10.849,1,0.129,0.00405,0.00343,0.0597,0.751,147.9,4
spotify:track:0WhPYKWZD20gRI9EDnVBHY,"Zazdrosc","Fire","Hey",1993-02-08,121000,49,false,sartoip888,2022-07-08T12:46:50Z,"","Universal Music Polska Sp. z o.o.",0.423,0.51,11,-10.274,0,0.0404,0.816,0,0.247,0.419,129.156,4
spotify:track:3a7elKJsZvbRK5CiBvXQMb,"Moja i Twoja Nadzieja","Fire","Hey;Edyta Bartosiewicz",1993-02-08,285933,52,false,sartoip888,2022-07-08T12:46:54Z,"","Universal Music Polska Sp. z o.o.",0.299,0.843,9,-5.932,0,0.0379,0.428,0.00000185,0.0699,0.512,109.297,4
spotify:track:7n8WLP5LoWNrWs039AunWg,"Z twarzą Marilyn Monroe","Sun Machine","Myslovitz",1996-09-17,167640,52,false,sartoip888,2022-07-08T12:47:27Z,"","Sony Music Entertainment",0.643,0.712,0,-3.908,1,0.0295,0.00147,0.00000109,0.102,0.698,123.949,4
spotify:track:348u3kyvdh35xgeCuXf7yk,"Peggy Brown","Sun Machine","Myslovitz",1996-09-17,212480,52,false,sartoip888,2022-07-08T12:47:29Z,"","Sony Music Entertainment",0.387,0.838,7,-3.511,1,0.0408,0.00287,0.00297,0.0981,0.677,78.058,4
spotify:track:00jTCwp3as0XlccdGemv2J,"W Deszczu Maleńkich Żółtych Kwiatów","Happiness Is Easy","Myslovitz",2006-05-12,292920,48,false,sartoip888,2022-07-08T12:47:36Z,"","Parlophone Poland",0.637,0.673,9,-8.393,0,0.0319,0.0772,0.452,0.125,0.398,97.397,4
spotify:track:5ytkHKps6RVVDFZwAqVDCB,"Długość dźwięku samotności","Miłość w czasach popkultury","Myslovitz",1999,251053,63,false,sartoip888,2022-07-08T12:47:41Z,"","Sony Music Entertainment",0.552,0.689,5,-6.475,1,0.0266,0.352,0.0000851,0.0865,0.652,98.097,4
spotify:track:2EEevGBoiKViJmByMzRDfw,"Zaopiekuj sie mną","Serce","Rezerwat",2012-04-04,310706,44,false,sartoip888,2022-07-08T12:50:15Z,"cold wave","Magic Records",0.462,0.547,9,-8.269,0,0.0373,0.264,0.0135,0.109,0.248,99.067,4
spotify:track:5W5l9ysNngpGz2J4xK8Rsa,"Nie Pytaj O Polskę","Tak! Tak!","Obywatel G.C.",2017-04-11,362280,50,false,sartoip888,2022-07-08T12:50:29Z,"cold wave","ZPR Media",0.723,0.679,4,-7.937,0,0.0312,0.25,0.00497,0.0988,0.774,130.332,4
