Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1Tqz4XfxXPeZ2lbk8MBlzY,"In The Deathcar - ""Arizona Dream"" Original Motion Picture Soundtrack","Arizona Dream (Original Motion Picture Soundtrack)","Iggy Pop",2013-01-01,314186,41,false,sartoip888,2019-12-27T16:26:02Z,"proto-punk,glam rock","Universal Music Division Mercury Records",0.876,0.596,4,-8.163,0,0.0345,0.258,0.0442,0.275,0.96,129.76,4
spotify:track:1A8oBBmPCigloW5pcaOygF,"Dreams - ""Arizona Dream"" Original Motion Picture Soundtrack","Arizona Dream (Original Motion Picture Soundtrack)","Goran Bregović",2013-01-01,213706,20,false,sartoip888,2019-12-27T16:26:02Z,"","Universal Music Division Mercury Records",0.204,0.16,5,-18.381,1,0.041,0.982,0.00716,0.102,0.0418,131.758,3
spotify:track:5mp9CJcfMbsTf3TsqU6aJN,"Old Home Movie - ""Arizona Dream"" Original Motion Picture Soundtrack","Arizona Dream (Original Motion Picture Soundtrack)","Goran Bregović",2013-01-01,304160,24,false,sartoip888,2019-12-27T16:26:02Z,"","Universal Music Division Mercury Records",0.653,0.125,2,-16.751,1,0.0406,0.59,0.588,0.119,0.247,146.124,4
spotify:track:35PHgIqHWvmFwQrNfbkh6m,"TV Screen - ""Arizona Dream"" Original Motion Picture Soundtrack","Arizona Dream (Original Motion Picture Soundtrack)","Iggy Pop",2013-01-01,318840,20,false,sartoip888,2019-12-27T16:26:02Z,"proto-punk,glam rock","Universal Music Division Mercury Records",0.74,0.449,9,-10.584,0,0.0238,0.476,0.311,0.0346,0.334,99.796,4
spotify:track:12HK4aIxJ9Pb2wiLPI59v8,"7/8 & 11/8 - ""Arizona Dream"" Original Motion Picture Soundtrack[blank]","Arizona Dream (Original Motion Picture Soundtrack)","Goran Bregović",2013-01-01,291920,17,false,sartoip888,2019-12-27T16:26:02Z,"","Universal Music Division Mercury Records",0.508,0.203,9,-14.016,0,0.0379,0.48,0.0831,0.0805,0.181,179.894,1
spotify:track:3mBFjUnG2OkPL3Z0TMKx9S,"Get The Money - ""Arizona Dream"" Original Motion Picture Soundtrack","Arizona Dream (Original Motion Picture Soundtrack)","Iggy Pop",2013-01-01,291533,23,false,sartoip888,2019-12-27T16:26:02Z,"proto-punk,glam rock","Universal Music Division Mercury Records",0.795,0.866,8,-7.693,1,0.0453,0.234,0.00725,0.0711,0.895,101.866,4
spotify:track:6dWXZp9WmugSz07yTC4eRl,"Gunpowder - ""Arizona Dream"" Original Motion Picture Soundtrack","Arizona Dream (Original Motion Picture Soundtrack)","Goran Bregović",2013-01-01,286186,15,false,sartoip888,2019-12-27T16:26:02Z,"","Universal Music Division Mercury Records",0.533,0.512,2,-11.392,1,0.0406,0.0547,0.828,0.0479,0.178,101.582,5
spotify:track:08j4xW2dFU1uE5fhVEc0wn,"Gypsy Reggae - ""Arizona Dream"" Original Motion Picture Soundtrack","Arizona Dream (Original Motion Picture Soundtrack)","Goran Bregović",2013-01-01,182453,26,false,sartoip888,2019-12-27T16:26:02Z,"","Universal Music Division Mercury Records",0.868,0.375,7,-9.234,1,0.043,0.598,0.379,0.083,0.518,81.051,4
spotify:track:6wvPf6XkpGil0KzUHZkymU,"Death","Arizona Dream (Original Motion Picture Soundtrack)","Goran Bregović",2013-01-01,312426,16,false,sartoip888,2019-12-27T16:26:02Z,"","Universal Music Division Mercury Records",0.456,0.421,9,-11.988,0,0.0455,0.27,0.00172,0.0949,0.209,94.911,3
spotify:track:5SCv2CQGYOxM3pV0jfPLC4,"This Is A Film - ""Arizona Dream"" Original Motion Picture Soundtrack","Arizona Dream (Original Motion Picture Soundtrack)","Iggy Pop",2013-01-01,258000,14,false,sartoip888,2019-12-27T16:26:02Z,"proto-punk,glam rock","Universal Music Division Mercury Records",0.849,0.466,4,-10.047,0,0.0389,0.362,0.113,0.145,0.969,129.78,4
spotify:track:40USVwccIQkyBAh5uWnR2V,"American Dreamers - Old Home Movie - ""Arizona Dream"" Original Motion Picture Soundtrack","Arizona Dream (Original Motion Picture Soundtrack)","Johnny Depp",2013-01-01,305333,14,false,sartoip888,2019-12-27T16:26:02Z,"musicale","Universal Music Division Mercury Records",0.64,0.198,2,-17.036,1,0.0328,0.739,0.0247,0.295,0.183,145.886,4
