Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1JaCzrF7tKqauoNdQUWcNb,"San Junipero (80s-90s-00s-??S)","Black Mirror: San Junipero (Original Score)","Clint Mansell",2016-12-02,240643,24,false,sartoip888,2019-11-04T09:21:46Z,"ścieżka dźwiękowa","Lakeshore Records",0.226,0.115,0,-25.773,0,0.047,0.935,0.957,0.0976,0.0375,109.893,4
spotify:track:4yfm2E7FWDQQjW4syoB4jP,"Faith, Hope, Fear & Falling in Love","Black Mirror: San Junipero (Original Score)","Clint Mansell",2016-12-02,166277,21,false,sartoip888,2019-11-04T09:21:46Z,"ścieżka dźwiękowa","Lakeshore Records",0.15,0.276,2,-19.062,0,0.0435,0.814,0.975,0.114,0.0349,137.78,1
spotify:track:0tTSacD022oIUpzZctppgX,"Tick Tock (Clock of My Heart)","Black Mirror: San Junipero (Original Score)","Clint Mansell",2016-12-02,248613,18,false,sartoip888,2019-11-04T09:21:46Z,"ścieżka dźwiękowa","Lakeshore Records",0.0706,0.01,9,-35.586,0,0.0431,0.99,0.862,0.0884,0.0441,71.255,5
spotify:track:7vQtcOcC5YrRhdXXrTPMr4,"Night Drive","Black Mirror: San Junipero (Original Score)","Clint Mansell",2016-12-02,157848,18,false,sartoip888,2019-11-04T09:21:46Z,"ścieżka dźwiękowa","Lakeshore Records",0.342,0.16,0,-22.078,0,0.0395,0.918,0.921,0.0661,0.0366,110.039,4
spotify:track:6IgarZYScN7Up7CCzamytP,"Property of Tucker Systems","Black Mirror: San Junipero (Original Score)","Clint Mansell",2016-12-02,130102,13,false,sartoip888,2019-11-04T09:21:46Z,"ścieżka dźwiękowa","Lakeshore Records",0.33,0.126,1,-24.599,1,0.0345,0.664,0.793,0.105,0.0371,119.166,1
spotify:track:1BZIK5atoKrJvKikf4j4fn,"In Sickness, In Health","Black Mirror: San Junipero (Original Score)","Clint Mansell",2016-12-02,140877,24,false,sartoip888,2019-11-04T09:21:46Z,"ścieżka dźwiękowa","Lakeshore Records",0.243,0.00181,2,-45.192,1,0.046,0.99,0.955,0.129,0.0348,67.825,3
spotify:track:4Pao52cLRh5J6M7gWEsC54,"Life Eternal","Black Mirror: San Junipero (Original Score)","Clint Mansell",2016-12-02,138447,19,false,sartoip888,2019-11-04T09:21:46Z,"ścieżka dźwiękowa","Lakeshore Records",0.228,0.0538,5,-28.791,1,0.0379,0.949,0.97,0.0566,0.0505,74.715,5
spotify:track:2lpkRgBi1D7juwRLXs5xhR,"Waves Crashing on Distant Shores of Time","Black Mirror: San Junipero (Original Score)","Clint Mansell",2016-12-02,311198,35,false,sartoip888,2019-11-04T09:21:46Z,"ścieżka dźwiękowa","Lakeshore Records",0.0861,0.127,2,-21.274,0,0.0399,0.828,0.967,0.26,0.061,80.071,4
spotify:track:3RBDL15vDPVFhDBeijdxZn,"Endless Summer","Black Mirror: San Junipero (Original Score)","Clint Mansell",2016-12-02,157446,23,false,sartoip888,2019-11-04T09:21:46Z,"ścieżka dźwiękowa","Lakeshore Records",0.142,0.00651,11,-40.287,1,0.0463,0.966,0.948,0.102,0.0374,101.159,4
spotify:track:4JVEAXLvO3FF313Prcv6sW,"San Junipero (Saturday Night in the City of the Dead)","Black Mirror: San Junipero (Original Score)","Clint Mansell",2016-12-02,275797,20,false,sartoip888,2019-11-04T09:21:46Z,"ścieżka dźwiękowa","Lakeshore Records",0.182,0.26,1,-20.68,1,0.0404,0.71,0.985,0.106,0.0325,171.364,1
