Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0aud7NouD28YTcD7WJzioD,"The Door","Chernobyl (Music from the Original TV Series)","Hildur Guðnadóttir",2019-05-31,163157,31,false,sartoip888,2019-10-31T16:15:36Z,"drone,neoklasycyzm","Deutsche Grammophon (DG)",0.521,0.327,11,-16.953,1,0.0269,0.00397,0.92,0.373,0.0893,99.995,5
spotify:track:5VwxuwHdpY19gZvyA7TlyU,"Bridge of Death","Chernobyl (Music from the Original TV Series)","Hildur Guðnadóttir",2019-05-31,284052,36,false,sartoip888,2019-10-31T16:15:36Z,"drone,neoklasycyzm","Deutsche Grammophon (DG)",0.146,0.372,11,-17.428,0,0.0565,0.0671,0.902,0.594,0.036,85.814,4
spotify:track:1cS7AxpJiwDhCh7v2B0LRd,"Turbine Hall","Chernobyl (Music from the Original TV Series)","Hildur Guðnadóttir",2019-05-31,156665,26,false,sartoip888,2019-10-31T16:15:36Z,"drone,neoklasycyzm","Deutsche Grammophon (DG)",0.214,0.138,2,-25.668,0,0.0399,0.817,0.875,0.231,0.0282,101.906,4
spotify:track:5NU8pIT0Yp8wgaUiHZM90w,"Vichnaya Pamyat","Chernobyl (Music from the Original TV Series)","Homin Lviv Municipal Choir",2019-05-31,247107,40,false,sartoip888,2019-10-31T16:15:36Z,"","Deutsche Grammophon (DG)",0.163,0.168,10,-20.328,0,0.0349,0.961,0.862,0.115,0.0385,65.77,3
spotify:track:0QaXPrIEeDhRZCLqzJo7ED,"Pump Room","Chernobyl (Music from the Original TV Series)","Hildur Guðnadóttir",2019-05-31,223513,26,false,sartoip888,2019-10-31T16:15:36Z,"drone,neoklasycyzm","Deutsche Grammophon (DG)",0.144,0.095,10,-26.477,0,0.0519,0.555,0.857,0.107,0.0275,72.058,4
spotify:track:6dXQxlyj1fMPhX8i7LfP4d,"Clean Up","Chernobyl (Music from the Original TV Series)","Hildur Guðnadóttir",2019-05-31,101233,23,false,sartoip888,2019-10-31T16:15:36Z,"drone,neoklasycyzm","Deutsche Grammophon (DG)",0.153,0.312,6,-16.875,0,0.0352,0.606,0.789,0.113,0.0646,82.169,3
spotify:track:14LxYedUSDzuNwalQPgTGu,"Dealing With Destruction","Chernobyl (Music from the Original TV Series)","Hildur Guðnadóttir",2019-05-31,114647,26,false,sartoip888,2019-10-31T16:15:36Z,"drone,neoklasycyzm","Deutsche Grammophon (DG)",0.174,0.044,0,-22.446,1,0.0442,0.36,0.945,0.0875,0.0284,102.082,3
spotify:track:5J8q5cw7J5O7FUWn3VQ8kQ,"Waiting for the Engineer","Chernobyl (Music from the Original TV Series)","Hildur Guðnadóttir",2019-05-31,91666,22,false,sartoip888,2019-10-31T16:15:36Z,"drone,neoklasycyzm","Deutsche Grammophon (DG)",0.184,0.273,5,-19.152,0,0.0658,0.944,0.967,0.0801,0.0266,141.645,4
spotify:track:0GvSIY2o7974HN53WZZDIi,"Gallery","Chernobyl (Music from the Original TV Series)","Hildur Guðnadóttir",2019-05-31,143508,27,false,sartoip888,2019-10-31T16:15:36Z,"drone,neoklasycyzm","Deutsche Grammophon (DG)",0.355,0.34,11,-15.67,0,0.095,0.345,0.941,0.175,0.0531,109.544,3
spotify:track:3pcrD4NBBBQGMJATRhk25C,"12 Hours Before","Chernobyl (Music from the Original TV Series)","Hildur Guðnadóttir",2019-05-31,151875,34,false,sartoip888,2019-10-31T16:15:36Z,"drone,neoklasycyzm","Deutsche Grammophon (DG)",0.179,0.249,0,-19.918,1,0.0405,0.82,0.929,0.0803,0.0367,84.444,4
spotify:track:4f76tcz3PKwty5QVA8JVCA,"Corridors","Chernobyl (Music from the Original TV Series)","Hildur Guðnadóttir",2019-05-31,193023,23,false,sartoip888,2019-10-31T16:15:36Z,"drone,neoklasycyzm","Deutsche Grammophon (DG)",0.206,0.337,4,-15.391,1,0.065,0.187,0.926,0.224,0.0324,161.707,4
spotify:track:6HVsARWIlJiv6ujVfEbTlH,"Líður - Chernobyl Version","Chernobyl (Music from the Original TV Series)","Hildur Guðnadóttir",2019-05-31,168180,29,false,sartoip888,2019-10-31T16:15:36Z,"drone,neoklasycyzm","Deutsche Grammophon (DG)",0.117,0.0443,2,-25.69,0,0.0398,0.961,0.931,0.104,0.0383,88.484,3
spotify:track:5peOOgPogTScqCtUtm0MF5,"Evacuation","Chernobyl (Music from the Original TV Series)","Hildur Guðnadóttir",2019-05-31,283991,29,false,sartoip888,2019-10-31T16:15:36Z,"drone,neoklasycyzm","Deutsche Grammophon (DG)",0.146,0.237,3,-18.403,0,0.0373,0.642,0.977,0.099,0.0366,76.716,4
