Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1KADAjWFMDcv3qPt6gYEFu,"Guitar Solo, No. 1","Dead Man: A Film By Jim Jarmusch (Music From And Inspired By The Motion Picture)","Neil Young",1996,318493,25,false,sartoip888,2019-12-27T16:21:53Z,"rock klasyczny,folk rock,wokaliści i autorzy piosenek,roots rock","Vapor Records",0.373,0.464,11,-21.47,0,0.121,0.963,0.927,0.358,0.312,103.016,4
spotify:track:4TRjErxKqISZFnxQP2y64I,"The Round Stones Beneath the Earth","Dead Man: A Film By Jim Jarmusch (Music From And Inspired By The Motion Picture)","Neil Young",1996,211799,19,false,sartoip888,2019-12-27T16:21:53Z,"rock klasyczny,folk rock,wokaliści i autorzy piosenek,roots rock","Vapor Records",0.305,0.187,1,-21.67,1,0.0589,0.394,0.724,0.114,0.0983,113.102,4
spotify:track:2rNsyNCAvY7N3JoEV39ez9,"Guitar Solo, No. 2","Dead Man: A Film By Jim Jarmusch (Music From And Inspired By The Motion Picture)","Neil Young",1996,122999,23,false,sartoip888,2019-12-27T16:21:53Z,"rock klasyczny,folk rock,wokaliści i autorzy piosenek,roots rock","Vapor Records",0.2,0.0999,9,-16.387,1,0.0472,0.864,0.891,0.135,0.0728,168.942,4
spotify:track:3cxvnwJzxeMDHhoKvxKt9L,"Why Dost Thou Hide Thyself in Clouds","Dead Man: A Film By Jim Jarmusch (Music From And Inspired By The Motion Picture)","Neil Young",1996,144599,18,false,sartoip888,2019-12-27T16:21:53Z,"rock klasyczny,folk rock,wokaliści i autorzy piosenek,roots rock","Vapor Records",0.163,0.216,2,-22.328,1,0.0451,0.427,0.774,0.111,0.137,72.736,4
spotify:track:5Yb3w3JBKwFoB4tjrO9iKb,"Organ Solo","Dead Man: A Film By Jim Jarmusch (Music From And Inspired By The Motion Picture)","Neil Young",1996,93133,26,false,sartoip888,2019-12-27T16:21:53Z,"rock klasyczny,folk rock,wokaliści i autorzy piosenek,roots rock","Vapor Records",0.154,0.209,7,-17.738,1,0.0296,0.91,0.896,0.114,0.0395,82.885,4
spotify:track:2wMrSGUI5Bfme7ahSJb3y9,"Do You Know How to Use This Weapon?","Dead Man: A Film By Jim Jarmusch (Music From And Inspired By The Motion Picture)","Neil Young",1996,265173,18,false,sartoip888,2019-12-27T16:21:53Z,"rock klasyczny,folk rock,wokaliści i autorzy piosenek,roots rock","Vapor Records",0.283,0.214,4,-21.669,0,0.0841,0.671,0.78,0.4,0.113,104.415,4
spotify:track:2Mu2coL2LSjQhqIG120hGN,"Guitar Solo, No. 3","Dead Man: A Film By Jim Jarmusch (Music From And Inspired By The Motion Picture)","Neil Young",1996,270759,21,false,sartoip888,2019-12-27T16:21:53Z,"rock klasyczny,folk rock,wokaliści i autorzy piosenek,roots rock","Vapor Records",0.182,0.357,11,-14.278,0,0.0485,0.779,0.842,0.272,0.0717,178.999,4
spotify:track:3hMaatRxFKoLiw0ryqq3Vn,"Nobody's Story","Dead Man: A Film By Jim Jarmusch (Music From And Inspired By The Motion Picture)","Neil Young",1996,395733,17,false,sartoip888,2019-12-27T16:21:53Z,"rock klasyczny,folk rock,wokaliści i autorzy piosenek,roots rock","Vapor Records",0.351,0.288,4,-16.962,0,0.0877,0.654,0.0389,0.113,0.274,167.15,5
spotify:track:3TAPPBn35eyY4I07FgMxuy,"Guitar Solo, No. 4","Dead Man: A Film By Jim Jarmusch (Music From And Inspired By The Motion Picture)","Neil Young",1996,262199,19,false,sartoip888,2019-12-27T16:21:53Z,"rock klasyczny,folk rock,wokaliści i autorzy piosenek,roots rock","Vapor Records",0.18,0.526,4,-15.301,1,0.0488,0.878,0.887,0.107,0.125,178.819,4
spotify:track:0qjhiX6JZKtTrTiZRg4K9B,"Stupid White Men...","Dead Man: A Film By Jim Jarmusch (Music From And Inspired By The Motion Picture)","Neil Young",1996,525666,15,true,sartoip888,2019-12-27T16:21:53Z,"rock klasyczny,folk rock,wokaliści i autorzy piosenek,roots rock","Vapor Records",0.436,0.426,1,-18.247,1,0.553,0.00379,0,0.232,0.15,111.393,3
spotify:track:1JxRExof2R93NuZsH2jzR6,"Guitar Solo, No. 5","Dead Man: A Film By Jim Jarmusch (Music From And Inspired By The Motion Picture)","Neil Young",1996,880666,28,false,sartoip888,2019-12-27T16:21:53Z,"rock klasyczny,folk rock,wokaliści i autorzy piosenek,roots rock","Vapor Records",0.175,0.435,11,-10.898,0,0.0411,0.963,0.883,0.133,0.0733,80.839,4
spotify:track:569AUYg692QiNIGL9dLKLm,"Time for You to Leave, William Blake...","Dead Man: A Film By Jim Jarmusch (Music From And Inspired By The Motion Picture)","Neil Young",1996,51466,14,false,sartoip888,2019-12-27T16:21:53Z,"rock klasyczny,folk rock,wokaliści i autorzy piosenek,roots rock","Vapor Records",0.403,0.276,2,-23.244,1,0.292,0.949,0.081,0.292,0.293,116.49,5
spotify:track:5anf1OEH3sB4ISkltCYvYi,"Guitar Solo, No. 6","Dead Man: A Film By Jim Jarmusch (Music From And Inspired By The Motion Picture)","Neil Young",1996,201973,18,false,sartoip888,2019-12-27T16:21:53Z,"rock klasyczny,folk rock,wokaliści i autorzy piosenek,roots rock","Vapor Records",0.163,0.132,9,-25.322,1,0.0741,0.909,0.875,0.115,0.0645,139.237,3
