Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5u1YbXeoLpDuunADJIxQpE,"Bemidji, MN (Fargo Series Main Theme)","Fargo (An Original MGM / FXP Television Series)","Jeff Russo",2014-06-27,148146,36,false,sartoip888,2019-12-27T15:59:42Z,"ścieżka dźwiękowa","Sony Classical",0.168,0.0956,2,-16.33,0,0.0377,0.929,0.956,0.584,0.0663,85.031,3
spotify:track:6ckfTNaYqyTuvuJRrdoDZO,"The Long Road Home (Paint Cans)","Fargo (An Original MGM / FXP Television Series)","Jeff Russo",2014-06-27,135306,18,false,sartoip888,2019-12-27T15:59:42Z,"ścieżka dźwiękowa","Sony Classical",0.117,0.146,2,-22.459,0,0.0353,0.802,0.955,0.105,0.0629,67.74,5
spotify:track:5gvO9Iom4x21RCXEekYpiQ,"Molly Looks for Lester","Fargo (An Original MGM / FXP Television Series)","Jeff Russo",2014-06-27,123493,11,false,sartoip888,2019-12-27T15:59:42Z,"ścieżka dźwiękowa","Sony Classical",0.204,0.107,7,-25.102,0,0.0382,0.42,0.937,0.336,0.0772,117.4,3
spotify:track:4YmDLVb6XOGEtlMs1J13au,"Murder","Fargo (An Original MGM / FXP Television Series)","Jeff Russo",2014-06-27,107706,11,false,sartoip888,2019-12-27T15:59:42Z,"ścieżka dźwiękowa","Sony Classical",0.181,0.0778,7,-22.942,0,0.0451,0.827,0.856,0.111,0.0287,74.496,5
spotify:track:2SolbiJ4wbOmpfTGDEGkk9,"The Deer","Fargo (An Original MGM / FXP Television Series)","Jeff Russo",2014-06-27,110800,12,false,sartoip888,2019-12-27T15:59:42Z,"ścieżka dźwiękowa","Sony Classical",0.209,0.0937,2,-22.432,0,0.0385,0.969,0.806,0.233,0.0337,71.39,5
spotify:track:1mu7pg9iIqoOJndnLlJgkW,"The North","Fargo (An Original MGM / FXP Television Series)","Jeff Russo",2014-06-27,107866,11,false,sartoip888,2019-12-27T15:59:42Z,"ścieżka dźwiękowa","Sony Classical",0.212,0.0681,2,-21.671,0,0.039,0.845,0.89,0.329,0.0368,70.395,4
spotify:track:6REhovedKgJZtvcvpjBYtE,"Malvo's Theme","Fargo (An Original MGM / FXP Television Series)","Jeff Russo",2014-06-27,129453,15,false,sartoip888,2019-12-27T15:59:42Z,"ścieżka dźwiękowa","Sony Classical",0.23,0.186,2,-20.705,0,0.0358,0.552,0.889,0.0979,0.0382,108.4,5
spotify:track:67dauybWm7KtmNmFymakDa,"Wrench and Numbers","Fargo (An Original MGM / FXP Television Series)","Jeff Russo",2014-06-27,106653,31,false,sartoip888,2019-12-27T15:59:42Z,"ścieżka dźwiękowa","Sony Classical",0.656,0.538,7,-11.654,1,0.0745,0.00637,0.686,0.0781,0.451,91.927,4
spotify:track:27iuzlJFXgNinWr7W5ix59,"Stavros' Prayer","Fargo (An Original MGM / FXP Television Series)","Jeff Russo",2014-06-27,193133,11,false,sartoip888,2019-12-27T15:59:42Z,"ścieżka dźwiękowa","Sony Classical",0.0692,0.0611,2,-23.651,0,0.0404,0.73,0.766,0.349,0.0333,76.806,3
spotify:track:0wxT0HeuGRk31fZrabmUSa,"Murderous Tundra","Fargo (An Original MGM / FXP Television Series)","Jeff Russo",2014-06-27,129573,12,false,sartoip888,2019-12-27T15:59:42Z,"ścieżka dźwiękowa","Sony Classical",0.132,0.0991,7,-22.719,1,0.0413,0.616,0.93,0.117,0.0378,71.615,4
spotify:track:6Vik6w4aPob8teYlrnlnje,"Dullard","Fargo (An Original MGM / FXP Television Series)","Jeff Russo",2014-06-27,141853,10,false,sartoip888,2019-12-27T15:59:42Z,"ścieżka dźwiękowa","Sony Classical",0.268,0.0337,2,-23.115,0,0.0438,0.979,0.849,0.0874,0.0349,109.882,4
spotify:track:3b53smS9hfzdfC6z2fd7sa,"Fish Head","Fargo (An Original MGM / FXP Television Series)","Jeff Russo",2014-06-27,90040,8,false,sartoip888,2019-12-27T15:59:42Z,"ścieżka dźwiękowa","Sony Classical",0.135,0.0548,3,-24.53,1,0.0438,0.821,0.899,0.113,0.0366,73.599,4
spotify:track:3LhU5K4X55JYTh1weqfIY4,"Lester Running","Fargo (An Original MGM / FXP Television Series)","Jeff Russo",2014-06-27,164666,8,false,sartoip888,2019-12-27T15:59:42Z,"ścieżka dźwiękowa","Sony Classical",0.0827,0.184,2,-24.874,1,0.0493,0.631,0.936,0.114,0.0383,83.677,4
spotify:track:0Goj2GslHlWGRerID66OOk,"Bad Idea","Fargo (An Original MGM / FXP Television Series)","Jeff Russo",2014-06-27,142733,8,false,sartoip888,2019-12-27T15:59:42Z,"ścieżka dźwiękowa","Sony Classical",0.303,0.157,7,-26.256,1,0.0339,0.612,0.905,0.126,0.102,119.558,4
spotify:track:4qppm1J5eu9hy7Jm8rPtXr,"Homecoming","Fargo (An Original MGM / FXP Television Series)","Jeff Russo",2014-06-27,67546,8,false,sartoip888,2019-12-27T15:59:42Z,"ścieżka dźwiękowa","Sony Classical",0.225,0.2,10,-19.731,1,0.0405,0.985,0.895,0.0999,0.032,90.022,4
spotify:track:4s9ppiw2KiikKFFqLZyzQt,"Lester as Malvo","Fargo (An Original MGM / FXP Television Series)","Jeff Russo",2014-06-27,62666,7,false,sartoip888,2019-12-27T15:59:42Z,"ścieżka dźwiękowa","Sony Classical",0.397,0.154,2,-20.996,0,0.0379,0.575,0.957,0.107,0.151,113.006,3
spotify:track:3CnPuKpeukxOLyNyFmK8GK,"Gus, Pt. 2","Fargo (An Original MGM / FXP Television Series)","Jeff Russo",2014-06-27,94360,6,false,sartoip888,2019-12-27T15:59:42Z,"ścieżka dźwiękowa","Sony Classical",0.342,0.105,7,-19.329,0,0.0444,0.887,0.95,0.116,0.0356,110.073,4
spotify:track:2ANVJdvReAVRlsE41Q4R7X,"Malvo Reinvents","Fargo (An Original MGM / FXP Television Series)","Jeff Russo",2014-06-27,165960,7,false,sartoip888,2019-12-27T15:59:42Z,"ścieżka dźwiękowa","Sony Classical",0.0785,0.214,5,-21.788,0,0.0457,0.566,0.93,0.12,0.116,64.649,4
spotify:track:1DhjBQTclhj52B3XPEJh6K,"The Parable (Gus' Theme)","Fargo (An Original MGM / FXP Television Series)","Jeff Russo",2014-06-27,118773,11,false,sartoip888,2019-12-27T15:59:42Z,"ścieżka dźwiękowa","Sony Classical",0.418,0.12,5,-21.786,0,0.0376,0.943,0.873,0.277,0.11,120.07,4
spotify:track:0HgWlvjzECxpMEOKuok9r6,"Poor Demitri","Fargo (An Original MGM / FXP Television Series)","Jeff Russo",2014-06-27,91506,8,false,sartoip888,2019-12-27T15:59:42Z,"ścieżka dźwiękowa","Sony Classical",0.152,0.0897,2,-19.427,1,0.0466,0.94,0.972,0.0758,0.0367,136.241,5
spotify:track:7DqKkVuRBS8LPdfx9PQi4K,"Trading Places","Fargo (An Original MGM / FXP Television Series)","Jeff Russo",2014-06-27,94573,7,false,sartoip888,2019-12-27T15:59:42Z,"ścieżka dźwiękowa","Sony Classical",0.283,0.179,0,-26.209,0,0.0343,0.865,0.76,0.11,0.0722,139.965,3
spotify:track:1SaE7moiBFx1MlV64DqKzD,"Malvo Retreats","Fargo (An Original MGM / FXP Television Series)","Jeff Russo",2014-06-27,85920,7,false,sartoip888,2019-12-27T15:59:42Z,"ścieżka dźwiękowa","Sony Classical",0.167,0.125,7,-20.177,0,0.0382,0.691,0.682,0.283,0.0349,126.553,4
spotify:track:4Mr43WKngwecM675GFtHlo,"Malvo (Eyes Wide)","Fargo (An Original MGM / FXP Television Series)","Jeff Russo",2014-06-27,65200,7,false,sartoip888,2019-12-27T15:59:42Z,"ścieżka dźwiękowa","Sony Classical",0.167,0.154,2,-17.638,0,0.0394,0.251,0.732,0.0992,0.0284,72.963,1
spotify:track:1cjO1SkVVYbeMVCcMeC6lk,"Gus and Molly","Fargo (An Original MGM / FXP Television Series)","Jeff Russo",2014-06-27,80200,8,false,sartoip888,2019-12-27T15:59:42Z,"ścieżka dźwiękowa","Sony Classical",0.138,0.0864,5,-25.059,1,0.0467,0.919,0.874,0.103,0.0355,77.95,4
spotify:track:01u4kwuF79Amgmr3zyw1MR,"Malvo's Briefcase","Fargo (An Original MGM / FXP Television Series)","Jeff Russo",2014-06-27,84600,6,false,sartoip888,2019-12-27T15:59:42Z,"ścieżka dźwiękowa","Sony Classical",0.257,0.0613,2,-23.857,0,0.039,0.962,0.899,0.058,0.036,64.838,4
spotify:track:4QaWd1Q60R6uIbWsanBTQ6,"Thin Ice","Fargo (An Original MGM / FXP Television Series)","Jeff Russo",2014-06-27,81666,12,false,sartoip888,2019-12-27T15:59:42Z,"ścieżka dźwiękowa","Sony Classical",0.465,0.178,0,-16.582,0,0.0422,0.939,0.00183,0.203,0.165,109.927,4
spotify:track:43flwDyuZ1SN3PEuyfqLaE,"Bemidji, MN (Reprise)","Fargo (An Original MGM / FXP Television Series)","Jeff Russo",2014-06-27,173106,19,false,sartoip888,2019-12-27T15:59:42Z,"ścieżka dźwiękowa","Sony Classical",0.214,0.0313,2,-20.239,0,0.0375,0.977,0.867,0.251,0.0388,99.813,4
