Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0JJ36a5ieYON9SVM7eKREF,"Videodrones; Questions","Lost Highway","Trent Reznor;Peter Christopherson",1997-02-18,44266,26,false,sartoip888,2019-10-31T16:24:43Z,"industrial rock","Interscope",0.199,0.152,1,-27.054,1,0.0723,0.836,0.911,0.131,0.202,82.79,4
spotify:track:14tKBoKXxGakkoEmYuFfor,"The Perfect Drug","Lost Highway","Nine Inch Nails",1997-02-18,315440,55,false,sartoip888,2019-10-31T16:24:43Z,"industrial rock,industrial,industrial metal,metal alternatywny,nu metal","Interscope",0.627,0.883,5,-8.988,0,0.0946,0.0207,0.00364,0.323,0.252,149.024,4
spotify:track:7lNjnofOXINuYxkurUEKxX,"Red Bats With Teeth","Lost Highway","Angelo Badalamenti",1997-02-18,177133,30,false,sartoip888,2019-10-31T16:24:43Z,"ścieżka dźwiękowa","Interscope",0.69,0.457,10,-8.866,1,0.0446,0.457,0.0194,0.684,0.542,110.889,4
spotify:track:0edBSm58JDIyxuuF4eDOpF,"Haunting & Heartbreaking","Lost Highway","Angelo Badalamenti",1997-02-18,129000,26,false,sartoip888,2019-10-31T16:24:43Z,"ścieżka dźwiękowa","Interscope",0.194,0.152,0,-22.792,1,0.0491,0.976,0.97,0.369,0.0301,71.813,4
spotify:track:4qPr24sWKOEGpcLLptRXXv,"Eye","Lost Highway","The Smashing Pumpkins",1997-02-18,291520,36,false,sartoip888,2019-10-31T16:24:43Z,"rock alternatywny,rock","Interscope",0.674,0.412,8,-9.723,0,0.05,0.00361,0.442,0.311,0.861,158.092,4
spotify:track:6vG8NBohaxsYt7A48xFOyl,"Dub Driving","Lost Highway","Angelo Badalamenti",1997-02-18,223213,32,false,sartoip888,2019-10-31T16:24:43Z,"ścieżka dźwiękowa","Interscope",0.582,0.129,2,-18.061,1,0.0359,0.161,0.856,0.126,0.489,61.258,4
spotify:track:1DYQ6Duqa8Ty7pAvoDgkmr,"Mr. Eddy's Theme 1","Lost Highway","Barry Adamson",1997-02-18,211400,26,false,sartoip888,2019-10-31T16:24:43Z,"acid jazz","Interscope",0.254,0.576,1,-12.452,1,0.0364,0.000798,0.308,0.071,0.0954,122.874,3
spotify:track:5C4sfjPfsnAEYHgxnxQTjf,"This Magic Moment","Lost Highway","Lou Reed",1997-02-18,203600,47,false,sartoip888,2019-10-31T16:24:43Z,"glam rock,proto-punk,art rock","Interscope",0.471,0.623,4,-8.449,1,0.0285,0.0294,0.4,0.115,0.25,109.852,4
spotify:track:724b3BXM29bvwCXEWM6BWm,"Mr. Eddy's Theme 2","Lost Highway","Barry Adamson",1997-02-18,133933,23,false,sartoip888,2019-10-31T16:24:43Z,"acid jazz","Interscope",0.39,0.401,10,-18.555,1,0.0354,0.319,0.239,0.452,0.0391,81.963,4
spotify:track:4knNPcLLDbjx1GxT4DXwYo,"Fred & Renee Make Love","Lost Highway","Angelo Badalamenti",1997-02-18,124800,23,false,sartoip888,2019-10-31T16:24:43Z,"ścieżka dźwiękowa","Interscope",0.122,0.0563,0,-22.553,1,0.0328,0.703,0.506,0.111,0.039,91.954,1
spotify:track:3xVhaAg6qqbrjAEsjntaQf,"Apple Of Sodom","Lost Highway","Marilyn Manson",1997-02-18,265133,36,false,sartoip888,2019-10-31T16:24:43Z,"industrial metal,industrial rock,industrial,metal,nu metal","Interscope",0.714,0.578,9,-10.813,1,0.0276,0.191,0.688,0.121,0.852,99.019,4
spotify:track:1F2MWjIdxikFXVMjdFkOBQ,"Insensatez - Instrumental","Lost Highway","Antônio Carlos Jobim",1997-02-18,173400,27,false,sartoip888,2019-10-31T16:24:43Z,"bossa nova,brazylijski jazz,mpb,latynoski jazz","Interscope",0.558,0.2,11,-19.386,0,0.0295,0.423,0.622,0.123,0.39,113.857,4
spotify:track:0GmMBJj6nFTOGvcO3rCdj4,"Something Wicked This Way Comes - Edit","Lost Highway","Barry Adamson",1997-02-18,174840,32,false,sartoip888,2019-10-31T16:24:43Z,"acid jazz","Interscope",0.651,0.545,10,-10.083,1,0.0345,0.0000101,0.828,0.127,0.597,99.554,4
spotify:track:2EpWSz9znbY1B2ycbPK2HX,"I Put A Spell On You","Lost Highway","Marilyn Manson",1997-02-18,210866,30,true,sartoip888,2019-10-31T16:24:43Z,"industrial metal,industrial rock,industrial,metal,nu metal","Interscope",0.643,0.741,11,-8.296,0,0.049,0.00104,0.534,0.157,0.419,98.267,3
spotify:track:0OLvpAv9jWoRp4rhfc6tZS,"Fats Revisited","Lost Highway","Angelo Badalamenti",1997-02-18,151626,26,false,sartoip888,2019-10-31T16:24:43Z,"ścieżka dźwiękowa","Interscope",0.364,0.18,1,-14.6,1,0.0302,0.377,0.76,0.281,0.0629,110.278,4
spotify:track:5cSLeKuvexoaesnxdqopBL,"Fred's World","Lost Highway","Angelo Badalamenti",1997-02-18,181040,25,false,sartoip888,2019-10-31T16:24:43Z,"ścieżka dźwiękowa","Interscope",0.145,0.0404,0,-30.755,0,0.0383,0.875,0.783,0.207,0.0989,139.731,1
spotify:track:7Kl8hfSH4uG9nEFTkA5CNG,"Rammstein - Edit","Lost Highway","Rammstein",1997-02-18,206333,31,false,sartoip888,2019-10-31T16:24:43Z,"industrial metal,metal,industrial rock,industrial","Interscope",0.657,0.698,4,-7.851,1,0.0458,0.00169,0.785,0.39,0.143,113.921,4
spotify:track:0RS8B4tTowCEvoIN6iHJJA,"Hollywood Sunset","Lost Highway","Barry Adamson",1997-02-18,121293,31,false,sartoip888,2019-10-31T16:24:43Z,"acid jazz","Interscope",0.573,0.311,11,-14.664,1,0.0311,0.0102,0.871,0.299,0.325,147.955,4
spotify:track:1RPUErprX8HCFbCjkDifzx,"Heirate Mich - Edit","Lost Highway","Rammstein",1997-02-18,182600,28,false,sartoip888,2019-10-31T16:24:43Z,"industrial metal,metal,industrial rock,industrial","Interscope",0.572,0.931,6,-6.46,0,0.215,0.001,0.000233,0.267,0.298,94.704,4
spotify:track:3k29lAeYDZ4dhewfKic03J,"Police","Lost Highway","Angelo Badalamenti",1997-02-18,100000,21,false,sartoip888,2019-10-31T16:24:43Z,"ścieżka dźwiękowa","Interscope",0.156,0.108,1,-20.981,1,0.032,0.84,0.931,0.6,0.0334,88.987,4
spotify:track:1gQLcsENUSq2PbK2BFKTa4,"Driver Down","Lost Highway","Trent Reznor",1997-02-18,318133,32,false,sartoip888,2019-10-31T16:24:43Z,"industrial rock","Interscope",0.332,0.908,1,-8.056,1,0.0472,0.0017,0.908,0.109,0.199,132.043,3
