Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6E37yfJZHpuW6NpugiWXMi,"Mars - Theme","Mars (Original Series Sountrack)","Nick Cave;Warren Ellis",2016-11-11,102656,0,false,sartoip888,2019-10-31T16:18:28Z,"","Editions Milan Music",0.437,0.338,2,-12.57,1,0.0319,0.734,0.703,0.114,0.0369,126.763,4
spotify:track:6vlJUB5xCzJfFhslG1K2EC,"Mars","Mars (Original Series Sountrack)","Nick Cave;Warren Ellis",2016-11-11,240768,0,false,sartoip888,2019-10-31T16:18:28Z,"","Editions Milan Music",0.128,0.257,5,-15.374,1,0.0484,0.842,0.888,0.0829,0.0809,81.981,4
spotify:track:5YhXSf5JQx4eUEbbpxs5EI,"Daedalus","Mars (Original Series Sountrack)","Nick Cave;Warren Ellis",2016-11-11,180821,0,false,sartoip888,2019-10-31T16:18:28Z,"","Editions Milan Music",0.18,0.0304,5,-26.595,0,0.0447,0.929,0.952,0.111,0.0305,128.04,4
spotify:track:1m61b3wjiFYm32vGtmZ7yt,"Earth","Mars (Original Series Sountrack)","Nick Cave;Warren Ellis",2016-11-11,131626,0,false,sartoip888,2019-10-31T16:18:28Z,"","Editions Milan Music",0.167,0.0645,2,-20.695,1,0.0404,0.961,0.964,0.0932,0.0364,130.171,4
spotify:track:2fBgYz1HQYyXxwFNqhkvtp,"Science","Mars (Original Series Sountrack)","Nick Cave;Warren Ellis",2016-11-11,145365,0,false,sartoip888,2019-10-31T16:18:28Z,"","Editions Milan Music",0.514,0.124,2,-23.791,0,0.0344,0.994,0.94,0.154,0.272,119.948,4
spotify:track:1UuTGSE9oiI2p9gAdpxSPH,"Voyage","Mars (Original Series Sountrack)","Nick Cave;Warren Ellis",2016-11-11,292906,0,false,sartoip888,2019-10-31T16:18:28Z,"","Editions Milan Music",0.196,0.281,7,-18.568,1,0.0401,0.77,0.923,0.107,0.034,150.822,5
spotify:track:03iXAYxT8NkowIa3ygpTMu,"Space X","Mars (Original Series Sountrack)","Nick Cave;Warren Ellis",2016-11-11,162250,0,false,sartoip888,2019-10-31T16:18:28Z,"","Editions Milan Music",0.208,0.223,4,-17.354,1,0.0381,0.817,0.918,0.107,0.0331,160.76,1
spotify:track:7yeLDO8LYVCvIFYM7vlJ4F,"Space Station","Mars (Original Series Sountrack)","Nick Cave;Warren Ellis",2016-11-11,256608,0,false,sartoip888,2019-10-31T16:18:28Z,"","Editions Milan Music",0.281,0.0284,5,-28.816,1,0.0529,0.98,0.912,0.104,0.0337,127.149,1
spotify:track:1zVmOPf0BUp4G7vX2VlpMi,"Symphony of the Dead","Mars (Original Series Sountrack)","Nick Cave;Warren Ellis",2016-11-11,578240,0,false,sartoip888,2019-10-31T16:18:28Z,"","Editions Milan Music",0.208,0.167,2,-20.743,1,0.0453,0.821,0.32,0.111,0.0356,126.922,4
spotify:track:4G7BqKnBLlB8s6QGg1fm3H,"Planetarium","Mars (Original Series Sountrack)","Nick Cave;Warren Ellis",2016-11-11,163178,0,false,sartoip888,2019-10-31T16:18:28Z,"","Editions Milan Music",0.245,0.0301,7,-27.06,1,0.0306,0.961,0.939,0.14,0.031,66.4,3
spotify:track:0neI6zqJ1lJ0RB5fEfc8uY,"Aftermath","Mars (Original Series Sountrack)","Nick Cave;Warren Ellis",2016-11-11,282469,0,false,sartoip888,2019-10-31T16:18:28Z,"","Editions Milan Music",0.198,0.126,5,-20.787,1,0.043,0.857,0.823,0.0843,0.0344,126.903,4
spotify:track:7votUfvCPdEHjkYcRIHpv3,"Towards Daedalus","Mars (Original Series Sountrack)","Nick Cave;Warren Ellis",2016-11-11,180794,0,false,sartoip888,2019-10-31T16:18:28Z,"","Editions Milan Music",0.18,0.261,2,-19.978,1,0.0408,0.439,0.748,0.129,0.138,117.466,4
spotify:track:3IBuoaHY0bjKj3rq8J2iYS,"Life on Mars","Mars (Original Series Sountrack)","Nick Cave;Warren Ellis",2016-11-11,232773,0,false,sartoip888,2019-10-31T16:18:28Z,"","Editions Milan Music",0.226,0.227,7,-15.261,1,0.0369,0.626,0.734,0.0839,0.0364,127.1,4
