Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3CD75JGmSMKA3RW5RtOwAz,"Cat People (Putting Out Fire) - Single Version, 2002 Remaster","Platinum Collection","David Bowie",2005-08-22,252493,0,false,sartoip888,2017-07-13T10:21:28Z,"glam rock,art rock","Parlophone UK",0.73,0.526,10,-10.909,1,0.0429,0.0256,0.000887,0.0913,0.385,118.208,4
spotify:track:50oQKoR2p1x8Am8d2fetkW,"The Green Leaves of Summer - From ""Inglourious Basterds""","Music from Quentin Taratino Movies (Original Recordings)","Nick Perito",2013-01-01,146050,34,false,sartoip888,2017-07-13T10:21:35Z,"exotica","Soundtrack",0.0731,0.332,4,-7.499,0,0.0326,0.948,0.835,0.099,0.103,180.905,3
spotify:track:3cNnmuGBLh8gKqMZLUEKXJ,"The Verdict (Dopo la condanna) (From ""Inglourious Basterds"")","Quentin Tarantino The Essential (The Complete Edition)","Ennio Morricone",2017-05-12,73706,29,false,sartoip888,2017-07-13T10:21:41Z,"","Bacci Bros Records",0.347,0.459,4,-11.238,0,0.0366,0.919,0.942,0.101,0.112,85.154,3
spotify:track:52vtGUZRSGls4Lff6AGVrX,"The Surrender (La Resa) (From ""La Resa dei Conti - The Big Gundown"")","Once Upon a Time in the West - Ennio Morricone Music Collection (The Complete Edition)","Ennio Morricone",2016,170880,20,false,sartoip888,2017-07-13T10:21:45Z,"","Bacci Bros Records",0.249,0.334,4,-8.949,0,0.0298,0.676,0.0815,0.0878,0.0729,101.869,4
spotify:track:6c3d7ofF9UNFpVq6SxHwC1,"Un amico - Remastered","Un Amico (From ""Inglourious Basterds"") - Single","Ennio Morricone",1973,156933,27,false,sartoip888,2017-07-13T10:21:52Z,"","EMI General Music srl",0.199,0.75,7,-2.733,1,0.034,0.0826,0.857,0.339,0.435,142.722,4
spotify:track:1UoUZjnpCZsWbxTcrI3lpg,"Rabbia e Tarantella (From ""Inglourious Basterds"")","Ennio Morricone & Quentin Tarantino: Soundtracks Collection (The Complete Edition)","Ennio Morricone",2016-02-27,235240,29,false,sartoip888,2017-07-13T10:21:54Z,"","Bacci Bros Records",0.618,0.308,9,-14.819,1,0.0644,0.746,0.0391,0.0949,0.755,115.329,4
spotify:track:5WRPV0uLJz0tVUqHb79f3X,"Winged","Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack","James Russo",2012-01-01,8573,1,false,sartoip888,2017-07-13T13:08:14Z,"","Loma Vista",0,0.376,6,-12.392,1,0,0.683,0,0.289,0,0,0
spotify:track:008wXvCVu8W8vCbq5VQDlC,"Django","Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack","Luis Bacalov;Rocky Roberts",2012-01-01,173693,46,false,sartoip888,2017-07-13T13:08:14Z,"włoscy wokaliści i autorzy piosenek","Loma Vista",0.456,0.736,2,-4.818,0,0.0292,0.485,0.00000647,0.109,0.482,97.211,3
spotify:track:0lJn8b8MXJYBeGgh9O9vPQ,"The Braying Mule","Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack","Ennio Morricone",2012-01-01,153186,39,false,sartoip888,2017-07-13T13:08:14Z,"","Loma Vista",0.725,0.541,9,-11.214,1,0.0555,0.822,0.0127,0.122,0.107,95.395,4
spotify:track:6c92bA7ZIRqda1CmxtEHAq,"""In The Case Django, After You...""","Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack","Christoph Waltz;Jamie Foxx",2012-01-01,38760,28,false,sartoip888,2017-07-13T13:08:14Z,"","Loma Vista",0.716,0.348,3,-22.484,0,0.701,0.684,0.00000767,0.437,0.847,99.534,4
spotify:track:342v3Is0g1CfidoxekA4f8,"Lo Chiamavano King (His Name Is King)","Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack","Luis Bacalov;Edda Dell'Orso",2012-01-01,117960,49,false,sartoip888,2017-07-13T13:08:14Z,"","Loma Vista",0.519,0.662,9,-4.398,0,0.0513,0.527,0.00000314,0.106,0.607,90.222,4
spotify:track:3Mo3oLTEgfFXocDHx6IS2V,"Freedom","Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack","Anthony Hamilton;Elayna Boynton",2012-01-01,236653,27,false,sartoip888,2017-07-13T13:08:14Z,"neo soul,r&b,quiet storm","Loma Vista",0.773,0.389,1,-8.444,0,0.0337,0.579,0.00000787,0.124,0.338,111.975,4
spotify:track:4DStzFYAzRgiRiIJtENmcm,"Five-Thousand-Dollar Nigga's And Gummy Mouth Bitches","Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack","Don Johnson;Christoph Waltz",2012-01-01,56386,22,true,sartoip888,2017-07-13T13:08:14Z,"","Loma Vista",0.555,0.295,11,-16.741,0,0.917,0.924,0,0.555,0.652,84.711,3
spotify:track:4sf0209tJCWaJBBIGjqkW8,"La Corsa (2nd Version)","Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack","Luis Bacalov",2012-01-01,138426,25,false,sartoip888,2017-07-13T13:08:14Z,"","Loma Vista",0.0788,0.451,4,-7.014,0,0.0367,0.66,0.871,0.141,0.0747,66.704,4
spotify:track:4Cq8hOILk53zJbEHBQqphE,"Sneaky Schultz And The Demise Of Sharp","Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack","Don Straud",2012-01-01,34266,21,false,sartoip888,2017-07-13T13:08:14Z,"","Loma Vista",0.713,0.384,1,-13.814,1,0.95,0.704,0,0.719,0.772,78.769,1
spotify:track:17Zyvm4M0I1BzzfLnoByMN,"I Got A Name","Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack","Jim Croce",2012-01-01,195053,19,false,sartoip888,2017-07-13T13:08:14Z,"folk rock,wokaliści i autorzy piosenek","Loma Vista",0.548,0.74,4,-9.338,1,0.0398,0.775,0.0000296,0.341,0.606,87.321,4
spotify:track:3NC2ivJvUnb5zzGqMoVzzn,"I Giorni Dell’ira","Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack","Riz Ortolani",2012-01-01,185800,11,false,sartoip888,2017-07-13T13:08:14Z,"","Loma Vista",0.511,0.682,0,-10.635,0,0.0503,0.553,0.911,0.123,0.481,134.438,4
spotify:track:62tM0aOGoG262JQiTqk6hw,"100 Black Coffins","Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack","Rick Ross",2012-01-01,223893,18,true,sartoip888,2017-07-13T13:08:14Z,"southern hip-hop","Loma Vista",0.583,0.887,9,-7.774,0,0.427,0.0419,0,0.426,0.252,142.244,4
spotify:track:1BQF3dRMhaX5mlhbbKAnoa,"Nicaragua","Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack","Jerry Goldsmith;Pat Metheny",2012-01-01,209173,5,false,sartoip888,2017-07-13T13:08:14Z,"ścieżka dźwiękowa,jazz fusion,jazz","Loma Vista",0.555,0.288,2,-9.346,0,0.0309,0.577,0.577,0.559,0.428,80.421,4
spotify:track:0YdjKczZZA4VmPTheih9Xf,"Hildi's Hot Box","Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack","Samuel L. Jackson;Leonardo Dicaprio;Christoph Waltz",2012-01-01,76146,5,true,sartoip888,2017-07-13T13:08:14Z,"","Loma Vista",0.721,0.342,6,-13.479,1,0.956,0.945,0,0.73,0.441,61,3
