Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0fB5YmoryErnk6zc0gLLPy,"Rather Lovely Thing","The Assassination of Jesse James By the Coward Robert Ford","Nick Cave;Warren Ellis",2008-09-17,193040,0,false,sartoip888,2019-10-31T16:19:55Z,"","Mute, a BMG Company",0.125,0.384,0,-12.249,0,0.0304,0.36,0.875,0.11,0.0371,148.858,4
spotify:track:45PYnerywG8aPRLqyMNdbS,"Moving On","The Assassination of Jesse James By the Coward Robert Ford","Nick Cave;Warren Ellis",2008-09-17,152160,0,false,sartoip888,2019-10-31T16:19:55Z,"","Mute, a BMG Company",0.568,0.154,3,-14.992,1,0.0299,0.918,0.776,0.111,0.0752,169.975,4
spotify:track:3fqssz6GxUIVgH5QxF0tXh,"Song for Jesse","The Assassination of Jesse James By the Coward Robert Ford","Nick Cave;Warren Ellis",2008-09-17,155693,0,false,sartoip888,2019-10-31T16:19:55Z,"","Mute, a BMG Company",0.396,0.14,3,-18.382,1,0.0356,0.948,0.469,0.326,0.0697,77.204,3
spotify:track:4vc9KOmJxkLbrWKBIGdzlS,"Falling","The Assassination of Jesse James By the Coward Robert Ford","Nick Cave;Warren Ellis",2008-09-17,174346,0,false,sartoip888,2019-10-31T16:19:55Z,"","Mute, a BMG Company",0.145,0.236,9,-12.07,0,0.0352,0.34,0.943,0.109,0.212,74.326,1
spotify:track:65jc3aumDKlwvxAfwTXBv6,"Cowgirl","The Assassination of Jesse James By the Coward Robert Ford","Nick Cave;Warren Ellis",2008-09-17,245733,0,false,sartoip888,2019-10-31T16:19:55Z,"","Mute, a BMG Company",0.219,0.402,9,-10.114,1,0.0304,0.0395,0.882,0.178,0.242,101.495,3
spotify:track:105hlSL4mgBaDrfrFcROSy,"The Money Train","The Assassination of Jesse James By the Coward Robert Ford","Nick Cave;Warren Ellis",2008-09-17,158373,0,false,sartoip888,2019-10-31T16:19:55Z,"","Mute, a BMG Company",0.245,0.19,2,-13.346,0,0.0353,0.372,0.889,0.107,0.0373,59.593,4
spotify:track:3buV0hT4g8GOIa8l2OJIJN,"What Must Be Done","The Assassination of Jesse James By the Coward Robert Ford","Nick Cave;Warren Ellis",2008-09-17,117813,0,false,sartoip888,2019-10-31T16:19:55Z,"","Mute, a BMG Company",0.186,0.118,0,-15.754,0,0.037,0.937,0.97,0.101,0.087,79.952,3
spotify:track:6btSfv0Z2WzZJPZPAUqrVW,"Another Rather Lovely Thing","The Assassination of Jesse James By the Coward Robert Ford","Nick Cave;Warren Ellis",2008-09-17,207960,0,false,sartoip888,2019-10-31T16:19:55Z,"","Mute, a BMG Company",0.245,0.214,0,-15.609,0,0.0358,0.542,0.916,0.13,0.0441,59.802,4
spotify:track:3EYACSZUJzIOdZOITjYRui,"Carnival","The Assassination of Jesse James By the Coward Robert Ford","Nick Cave;Warren Ellis",2008-09-17,172013,0,false,sartoip888,2019-10-31T16:19:55Z,"","Mute, a BMG Company",0.305,0.321,5,-14.622,1,0.0317,0.352,0.843,0.104,0.36,112.279,3
spotify:track:7GxZvBgCSjbbbtljHc12OG,"Last Ride Back to KC","The Assassination of Jesse James By the Coward Robert Ford","Nick Cave;Warren Ellis",2008-09-17,324000,0,false,sartoip888,2019-10-31T16:19:55Z,"","Mute, a BMG Company",0.061,0.0962,9,-17.459,0,0.0449,0.526,0.751,0.0781,0.0385,60.103,5
spotify:track:45F6dJVB0Oh0xcqVZlzIlA,"What Happens Next","The Assassination of Jesse James By the Coward Robert Ford","Nick Cave;Warren Ellis",2008-09-17,128026,0,false,sartoip888,2019-10-31T16:19:55Z,"","Mute, a BMG Company",0.17,0.274,2,-13.986,0,0.0401,0.463,0.941,0.101,0.105,124.189,4
spotify:track:06bQDJZxx9emm03474fgJE,"Destined for Great Things","The Assassination of Jesse James By the Coward Robert Ford","Nick Cave;Warren Ellis",2008-09-17,145960,0,false,sartoip888,2019-10-31T16:19:55Z,"","Mute, a BMG Company",0.0688,0.0825,2,-17.919,0,0.0388,0.845,0.961,0.0832,0.0728,64.855,4
spotify:track:0hrVtrMLJMBPqALW2vkxbh,"Counting the Stars","The Assassination of Jesse James By the Coward Robert Ford","Nick Cave;Warren Ellis",2008-09-17,79826,0,false,sartoip888,2019-10-31T16:19:55Z,"","Mute, a BMG Company",0.463,0.00345,0,-26.779,0,0.0731,0.993,0.906,0.208,0.568,128.795,4
spotify:track:2qqXskNxJuTVaF53Ddiuk8,"Song for Bob","The Assassination of Jesse James By the Coward Robert Ford","Nick Cave;Warren Ellis",2008-09-17,363320,0,false,sartoip888,2019-10-31T16:19:55Z,"","Mute, a BMG Company",0.181,0.202,5,-13.289,1,0.036,0.756,0.936,0.109,0.0374,55.538,4
