Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3g7Le9RJRy9jMkrnvAl9iS,"The Last Man","The Fountain OST","Clint Mansell",2006-11-10,369200,39,false,sartoip888,2019-10-31T16:22:02Z,"ścieżka dźwiękowa","Nonesuch",0.0784,0.033,2,-25.372,0,0.0464,0.993,0.945,0.0722,0.0326,78.748,4
spotify:track:3nSKdQfLUjWETz9DmlXP78,"Holy Dread! (feat. Kronos Quartet)","The Fountain OST","Clint Mansell;Kronos Quartet",2006-11-10,231693,27,false,sartoip888,2019-10-31T16:22:02Z,"ścieżka dźwiękowa,minimalizm,awangarda","Nonesuch",0.224,0.186,10,-14.186,1,0.036,0.406,0.941,0.165,0.0374,121.996,4
spotify:track:2OPWO9fNI2wZYxTL56ze75,"Tree of Life (feat. Kronos Quartet)","The Fountain OST","Clint Mansell;Kronos Quartet",2006-11-10,224880,30,false,sartoip888,2019-10-31T16:22:02Z,"ścieżka dźwiękowa,minimalizm,awangarda","Nonesuch",0.227,0.436,2,-12.239,0,0.0336,0.563,0.807,0.0984,0.0396,115.77,4
spotify:track:7dU4TLTzGZk9FroEGlMbFi,"Stay with Me (feat. Kronos Quartet)","The Fountain OST","Clint Mansell;Kronos Quartet",2006-11-10,216440,33,false,sartoip888,2019-10-31T16:22:02Z,"ścieżka dźwiękowa,minimalizm,awangarda","Nonesuch",0.102,0.148,7,-21.929,0,0.0339,0.929,0.932,0.123,0.113,84.272,4
spotify:track:70o6VzgRVa7ypK40LoT3GF,"Death Is a Disease","The Fountain OST","Clint Mansell",2006-11-10,154200,29,false,sartoip888,2019-10-31T16:22:02Z,"ścieżka dźwiękowa","Nonesuch",0.4,0.179,9,-22.059,0,0.0304,0.742,0.957,0.0631,0.0382,112.98,4
spotify:track:785Uvxf6tosqsMbu1yUVT8,"Xibalba (feat. Kronos Quartet)","The Fountain OST","Clint Mansell;Kronos Quartet",2006-11-10,322666,33,false,sartoip888,2019-10-31T16:22:02Z,"ścieżka dźwiękowa,minimalizm,awangarda","Nonesuch",0.0919,0.123,2,-23.173,0,0.0376,0.989,0.95,0.0943,0.0432,86.646,4
spotify:track:68QYOMnW4SzkdvSIE2EPbF,"First Snow (feat. Kronos Quartet)","The Fountain OST","Clint Mansell;Kronos Quartet",2006-11-10,188506,35,false,sartoip888,2019-10-31T16:22:02Z,"ścieżka dźwiękowa,minimalizm,awangarda","Nonesuch",0.198,0.169,9,-18.467,0,0.0369,0.894,0.918,0.0935,0.057,65.883,5
spotify:track:2T7DPSbgzbZZv525SpWbx5,"Finish It (feat. Kronos Quartet)","The Fountain OST","Clint Mansell;Kronos Quartet",2006-11-10,265360,27,false,sartoip888,2019-10-31T16:22:02Z,"ścieżka dźwiękowa,minimalizm,awangarda","Nonesuch",0.306,0.0889,10,-16.763,1,0.0371,0.916,0.934,0.138,0.0522,113.478,4
spotify:track:3RoQX4ou3qYEASsuC7YAWD,"Death Is the Road to Awe (feat. Kronos Quartet)","The Fountain OST","Clint Mansell;Kronos Quartet",2006-11-10,505600,37,false,sartoip888,2019-10-31T16:22:02Z,"ścieżka dźwiękowa,minimalizm,awangarda","Nonesuch",0.187,0.411,2,-12.058,0,0.0358,0.606,0.877,0.0975,0.0763,110.6,4
spotify:track:2pr6us08iPNzIex5q6fMvI,"Together We Will Live Forever","The Fountain OST","Clint Mansell",2006-11-10,301733,48,false,sartoip888,2019-10-31T16:22:02Z,"ścieżka dźwiękowa","Nonesuch",0.483,0.0176,7,-25.501,0,0.052,0.994,0.928,0.0912,0.2,76.384,4
