Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2sw8teIvVMRZKKYD5p795f,"Main Title Theme - Westworld","Westworld: Season 1 (Music from the HBO Series)","Ramin Djawadi",2016-12-05,101461,49,false,sartoip888,2019-12-27T15:57:24Z,"ścieżka dźwiękowa","WaterTower Music",0.464,0.361,5,-11.171,1,0.0291,0.636,0.952,0.11,0.063,111.168,3
spotify:track:6GnihxGXNy1CRiiNrsqYeM,"Sweetwater","Westworld: Season 1 (Music from the HBO Series)","Ramin Djawadi",2016-12-05,173135,40,false,sartoip888,2019-12-27T15:57:24Z,"ścieżka dźwiękowa","WaterTower Music",0.599,0.307,4,-16.103,0,0.0343,0.706,0.844,0.104,0.0663,83.882,4
spotify:track:7c9UV6hVi1x9yBeolePYNZ,"Black Hole Sun","Westworld: Season 1 (Music from the HBO Series)","Ramin Djawadi",2016-12-05,149201,37,false,sartoip888,2019-12-27T15:57:24Z,"ścieżka dźwiękowa","WaterTower Music",0.767,0.243,5,-15.702,0,0.048,0.984,0.91,0.0991,0.308,98.997,4
spotify:track:6rSVuRt7xl4GsEQv4tphSl,"Paint It, Black","Westworld: Season 1 (Music from the HBO Series)","Ramin Djawadi",2016-12-05,344017,45,false,sartoip888,2019-12-27T15:57:24Z,"ścieżka dźwiękowa","WaterTower Music",0.163,0.335,9,-11.332,0,0.0433,0.611,0.882,0.0911,0.0868,62.537,4
spotify:track:0gXXLzNzgXK8WkgVDKG3Kw,"This World","Westworld: Season 1 (Music from the HBO Series)","Ramin Djawadi",2016-12-05,149331,38,false,sartoip888,2019-12-27T15:57:24Z,"ścieżka dźwiękowa","WaterTower Music",0.155,0.0451,0,-20.023,1,0.0424,0.897,0.913,0.0937,0.036,145.824,4
spotify:track:6NPzSWfIF2YSNavlc4R1RY,"Online","Westworld: Season 1 (Music from the HBO Series)","Ramin Djawadi",2016-12-05,259200,29,false,sartoip888,2019-12-27T15:57:24Z,"ścieżka dźwiękowa","WaterTower Music",0.185,0.0667,4,-26.062,1,0.0422,0.918,0.809,0.11,0.027,111.242,4
spotify:track:1fVi0sx8lVSWvD7MjZw7in,"No Surprises","Westworld: Season 1 (Music from the HBO Series)","Ramin Djawadi",2016-12-05,242268,35,false,sartoip888,2019-12-27T15:57:24Z,"ścieżka dźwiękowa","WaterTower Music",0.747,0.313,5,-14.504,1,0.0637,0.942,0.82,0.0841,0.557,139.986,4
spotify:track:1pm8TqG9dNIcMGTQNzjYh9,"Dr. Ford","Westworld: Season 1 (Music from the HBO Series)","Ramin Djawadi",2016-12-05,330237,44,false,sartoip888,2019-12-27T15:57:24Z,"ścieżka dźwiękowa","WaterTower Music",0.276,0.0691,11,-18.269,0,0.0396,0.837,0.693,0.0596,0.0383,129.69,4
spotify:track:5Scfv6ysjsV03pLFENFaDL,"A Forest","Westworld: Season 1 (Music from the HBO Series)","Ramin Djawadi",2016-12-05,168913,31,false,sartoip888,2019-12-27T15:57:24Z,"ścieżka dźwiękowa","WaterTower Music",0.757,0.185,9,-16.673,0,0.047,0.984,0.881,0.111,0.278,121.046,4
spotify:track:5ZqqudYxIktSnMlpJwK4Ye,"Reveries","Westworld: Season 1 (Music from the HBO Series)","Ramin Djawadi",2016-12-05,180036,33,false,sartoip888,2019-12-27T15:57:24Z,"ścieżka dźwiękowa","WaterTower Music",0.157,0.0908,6,-21.462,0,0.0463,0.957,0.932,0.0998,0.0491,73.789,3
spotify:track:3AegxUxAwElyMb9b1AGeNg,"Nitro Heist","Westworld: Season 1 (Music from the HBO Series)","Ramin Djawadi",2016-12-05,211988,31,false,sartoip888,2019-12-27T15:57:24Z,"ścieżka dźwiękowa","WaterTower Music",0.728,0.495,4,-11.505,0,0.0265,0.271,0.84,0.0965,0.479,102.017,4
spotify:track:7CrSqDlyBY0kl9nJEKpmbq,"Motion Picture Soundtrack","Westworld: Season 1 (Music from the HBO Series)","Vitamin String Quartet",2016-12-05,162151,47,false,sartoip888,2019-12-27T15:57:24Z,"orkiestra","WaterTower Music",0.117,0.0272,7,-19.629,1,0.0426,0.92,0.0962,0.0758,0.0333,149.975,5
spotify:track:36WaFhuV14OhNZzuKYKTHK,"Freeze All Motor Functions","Westworld: Season 1 (Music from the HBO Series)","Ramin Djawadi",2016-12-05,183798,29,false,sartoip888,2019-12-27T15:57:24Z,"ścieżka dźwiękowa","WaterTower Music",0.497,0.0971,2,-22.185,1,0.0293,0.56,0.943,0.112,0.0383,102.033,4
spotify:track:4jz0mS8VqgSOe6pAbcus0E,"Pariah","Westworld: Season 1 (Music from the HBO Series)","Ramin Djawadi",2016-12-05,188810,26,false,sartoip888,2019-12-27T15:57:24Z,"ścieżka dźwiękowa","WaterTower Music",0.338,0.257,5,-16.417,1,0.0277,0.776,0.589,0.111,0.0491,129.879,3
spotify:track:5k1KQJtcs4Wsh0JTFmhUfB,"Fake Plastic Trees","Westworld: Season 1 (Music from the HBO Series)","Ramin Djawadi",2016-12-05,134084,31,false,sartoip888,2019-12-27T15:57:24Z,"ścieżka dźwiękowa","WaterTower Music",0.648,0.0784,9,-23.505,1,0.0417,0.992,0.826,0.142,0.561,147.037,4
spotify:track:0RpQBTPx2390bbTjm5xLJr,"MIB","Westworld: Season 1 (Music from the HBO Series)","Ramin Djawadi",2016-12-05,186123,27,false,sartoip888,2019-12-27T15:57:24Z,"ścieżka dźwiękowa","WaterTower Music",0.185,0.158,7,-17.389,1,0.0381,0.327,0.828,0.108,0.0455,91.055,4
spotify:track:5jMS7Cevj2OKrIYcs6q8Aw,"The Maze","Westworld: Season 1 (Music from the HBO Series)","Ramin Djawadi",2016-12-05,245290,27,false,sartoip888,2019-12-27T15:57:24Z,"ścieżka dźwiękowa","WaterTower Music",0.41,0.374,2,-16.637,1,0.0375,0.499,0.811,0.0867,0.0648,74.011,4
spotify:track:3jb5n6KllNkxTijoREKmXX,"House of the Rising Sun","Westworld: Season 1 (Music from the HBO Series)","Ramin Djawadi",2016-12-05,84560,38,false,sartoip888,2019-12-27T15:57:24Z,"ścieżka dźwiękowa","WaterTower Music",0.686,0.342,9,-13.594,0,0.0404,0.988,0.946,0.161,0.964,120.945,3
spotify:track:17JDYeoJtzRSyfhYg9jFs1,"Trompe l'oeil","Westworld: Season 1 (Music from the HBO Series)","Ramin Djawadi",2016-12-05,304398,29,false,sartoip888,2019-12-27T15:57:24Z,"ścieżka dźwiękowa","WaterTower Music",0.154,0.216,4,-14.352,0,0.0337,0.164,0.816,0.128,0.0367,95.952,3
spotify:track:6YJwB3oyJO5UOYSX0RLUXC,"What Does This Mean","Westworld: Season 1 (Music from the HBO Series)","Ramin Djawadi",2016-12-05,184297,28,false,sartoip888,2019-12-27T15:57:24Z,"ścieżka dźwiękowa","WaterTower Music",0.0842,0.123,4,-18.528,0,0.0399,0.951,0.93,0.0874,0.0342,71.629,3
spotify:track:11kPpQfm6PEwlRmEb7C1lJ,"Something I Can Never Have","Westworld: Season 1 (Music from the HBO Series)","Vitamin String Quartet",2016-12-05,356138,26,false,sartoip888,2019-12-27T15:57:24Z,"orkiestra","WaterTower Music",0.495,0.0949,5,-17.8,1,0.0385,0.665,0.735,0.106,0.153,108.596,4
spotify:track:41Hg3Gz3qxTk1bXnJsSmHd,"White Hats","Westworld: Season 1 (Music from the HBO Series)","Ramin Djawadi",2016-12-05,147502,23,false,sartoip888,2019-12-27T15:57:24Z,"ścieżka dźwiękowa","WaterTower Music",0.126,0.331,11,-14.608,1,0.031,0.487,0.923,0.298,0.0374,179.692,3
